Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,26021,1990,27.0,19.4,18.5,10.4,8.1,6.1,7.0,9.7,15.0,16.8,23.4,23.2,15.4
IDCJAC0003,26021,1991,23.7,26.5,18.7,11.3,8.6,5.7,7.0,8.6,13.0,18.3,22.6,25.1,15.8
IDCJAC0003,26021,1992,23.5,24.1,16.4,11.2,7.3,6.2,7.5,9.2,11.3,17.4,21.2,20.0,14.6
IDCJAC0003,26021,1993,24.8,20.5,16.7,13.7,8.3,5.6,6.8,8.8,13.9,18.9,21.6,23.1,15.2
IDCJAC0003,26021,1994,26.1,20.9,17.4,10.8,7.1,6.3,8.2,13.3,13.2,17.0,18.6,26.2,15.4
IDCJAC0003,26021,1995,25.3,22.7,15.8,11.0,7.7,5.9,6.5,10.8,14.0,17.6,22.3,24.8,15.4
IDCJAC0003,26021,1996,25.4,23.4,16.6,10.1,7.2,6.5,6.4,10.0,13.8,19.3,21.9,25.4,15.5
IDCJAC0003,26021,1997,26.8,22.6,16.4,10.3,6.3,6.3,7.1,9.6,14.1,19.5,23.1,25.2,15.6
IDCJAC0003,26021,1998,24.3,22.7,17.7,10.1,6.7,6.3,7.3,10.2,13.4,18.3,23.6,23.7,15.4
IDCJAC0003,26021,1999,27.0,21.8,17.0,11.1,7.5,6.9,6.8,10.1,13.2,18.2,22.4,23.1,15.4
IDCJAC0003,26021,2000,24.0,24.2,16.7,12.1,6.9,6.1,7.4,10.7,11.5,17.6,24.6,28.3,15.8
IDCJAC0003,26021,2001,25.2,23.0,16.9,12.0,7.5,5.5,7.0,10.0,13.9,17.1,20.4,21.1,15.0
IDCJAC0003,26021,2002,24.9,20.5,17.8,12.7,8.6,6.3,6.4,11.2,13.5,15.9,23.6,24.4,15.5
IDCJAC0003,26021,2003,27.6,21.4,17.2,13.2,8.2,6.2,7.4,9.7,14.9,16.8,23.6,25.6,16.0
IDCJAC0003,26021,2004,22.5,22.8,17.0,11.5,8.1,5.3,7.0,9.6,13.5,20.6,21.3,23.7,15.2
IDCJAC0003,26021,2005,24.4,19.4,16.7,13.4,7.7,6.5,6.5,9.3,15.4,17.4,22.7,null,null
IDCJAC0003,26021,2006,27.4,21.8,18.1,9.3,6.6,6.8,6.3,10.5,15.3,22.9,24.5,26.9,16.4
IDCJAC0003,26021,2007,24.9,24.2,18.4,11.7,7.3,6.2,7.7,10.5,14.2,18.1,24.9,26.1,16.2
IDCJAC0003,26021,2008,28.2,22.0,17.8,11.9,7.3,5.9,6.6,9.7,15.1,19.1,20.8,23.2,15.6
IDCJAC0003,26021,2009,30.0,22.2,15.8,11.0,7.0,6.3,6.3,10.1,13.6,19.5,23.2,26.2,15.9
IDCJAC0003,26021,2010,26.1,22.4,16.4,9.8,7.8,6.2,7.1,8.9,12.5,18.9,20.1,25.2,15.1
IDCJAC0003,26021,2011,24.4,19.5,15.0,10.9,6.7,6.4,6.2,9.9,13.5,17.2,20.6,27.0,14.8
IDCJAC0003,26021,2012,25.3,20.3,16.1,12.2,7.8,5.7,6.7,9.4,14.3,17.7,23.5,25.5,15.4
IDCJAC0003,26021,2013,26.7,23.0,15.5,11.2,7.6,5.7,6.5,9.6,12.6,15.2,19.9,25.2,14.9
IDCJAC0003,26021,2014,27.1,21.0,15.7,10.5,7.3,5.8,6.9,9.9,14.7,17.9,21.2,23.5,15.1
IDCJAC0003,26021,2015,22.0,21.5,15.3,9.4,7.8,6.4,7.0,9.9,14.0,20.5,19.7,27.1,15.1
IDCJAC0003,26021,2016,23.6,20.1,14.4,12.6,8.6,6.8,6.8,10.6,12.0,18.1,20.0,22.5,14.7
IDCJAC0003,26021,2017,23.5,20.1,15.6,10.0,8.0,7.3,8.3,10.2,13.0,17.8,23.1,21.0,14.8
IDCJAC0003,26021,2018,24.2,19.5,15.5,11.9,7.0,7.2,7.7,10.1,13.7,17.1,17.9,21.5,14.4
IDCJAC0003,26021,2019,24.9,19.8,14.8,10.0,7.8,7.4,7.7,10.0,13.7,18.0,19.1,24.6,14.8
IDCJAC0003,26021,2020,22.0,19.0,14.5,9.7,8.3,7.5,8.2,10.2,13.6,15.1,null,null,null
