Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,8315,2017,12,28.0
IDCJAC0003,8315,2018,01,27.1
IDCJAC0003,8315,2018,02,25.8
IDCJAC0003,8315,2018,03,21.2
IDCJAC0003,8315,2018,04,17.5
IDCJAC0003,8315,2018,05,13.9
IDCJAC0003,8315,2018,06,11.8
IDCJAC0003,8315,2018,07,11.9
IDCJAC0003,8315,2018,08,15.3
IDCJAC0003,8315,2018,09,19.5
IDCJAC0003,8315,2018,10,21.8
IDCJAC0003,8315,2018,11,25.2
IDCJAC0003,8315,2018,12,26.2
IDCJAC0003,8315,2019,01,28.5
IDCJAC0003,8315,2019,02,26.9
IDCJAC0003,8315,2019,03,19.0
IDCJAC0003,8315,2019,04,17.0
IDCJAC0003,8315,2019,05,13.8
IDCJAC0003,8315,2019,06,11.5
IDCJAC0003,8315,2019,07,13.7
IDCJAC0003,8315,2019,08,16.0
IDCJAC0003,8315,2019,09,21.0
IDCJAC0003,8315,2019,10,23.9
IDCJAC0003,8315,2019,11,27.8
IDCJAC0003,8315,2019,12,29.8
IDCJAC0003,8315,2020,01,29.4
IDCJAC0003,8315,2020,02,23.4
IDCJAC0003,8315,2020,03,20.4
IDCJAC0003,8315,2020,04,16.4
IDCJAC0003,8315,2020,05,13.1
IDCJAC0003,8315,2020,06,12.4
IDCJAC0003,8315,2020,07,13.5
IDCJAC0003,8315,2020,08,15.1
IDCJAC0003,8315,2020,09,19.4
IDCJAC0003,8315,2020,10,20.9
