Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,31011,2007,01,21.5
IDCJAC0003,31011,2007,02,18.2
IDCJAC0003,31011,2007,03,23.1
IDCJAC0003,31011,2007,04,20.2
IDCJAC0003,31011,2007,05,16.3
IDCJAC0003,31011,2007,06,13.2
IDCJAC0003,31011,2007,07,18.3
IDCJAC0003,31011,2007,08,17.8
IDCJAC0003,31011,2007,09,23.2
IDCJAC0003,31011,2007,10,23.7
IDCJAC0003,31011,2007,11,21.9
IDCJAC0003,31011,2007,12,23.9
IDCJAC0003,31011,2008,01,21.1
IDCJAC0003,31011,2008,02,19.9
IDCJAC0003,31011,2008,03,17.4
IDCJAC0003,31011,2008,04,21.1
IDCJAC0003,31011,2008,05,17.4
IDCJAC0003,31011,2008,06,14.4
IDCJAC0003,31011,2008,07,15.3
IDCJAC0003,31011,2008,08,19.0
IDCJAC0003,31011,2008,09,20.5
IDCJAC0003,31011,2008,10,21.0
IDCJAC0003,31011,2008,11,23.3
IDCJAC0003,31011,2008,12,22.7
IDCJAC0003,31011,2009,01,18.0
IDCJAC0003,31011,2009,02,18.8
IDCJAC0003,31011,2009,03,23.0
IDCJAC0003,31011,2009,04,19.3
IDCJAC0003,31011,2009,05,15.0
IDCJAC0003,31011,2009,06,16.7
IDCJAC0003,31011,2009,07,17.0
IDCJAC0003,31011,2009,08,19.7
IDCJAC0003,31011,2009,09,22.2
IDCJAC0003,31011,2009,10,22.8
IDCJAC0003,31011,2009,11,20.6
IDCJAC0003,31011,2009,12,23.4
IDCJAC0003,31011,2010,01,16.4
IDCJAC0003,31011,2010,02,21.8
IDCJAC0003,31011,2010,03,18.9
IDCJAC0003,31011,2010,04,14.7
IDCJAC0003,31011,2010,05,17.5
IDCJAC0003,31011,2010,06,16.2
IDCJAC0003,31011,2010,07,12.7
IDCJAC0003,31011,2010,08,16.9
IDCJAC0003,31011,2010,09,18.6
IDCJAC0003,31011,2010,10,20.1
IDCJAC0003,31011,2010,11,20.3
IDCJAC0003,31011,2010,12,21.8
IDCJAC0003,31011,2011,01,19.3
IDCJAC0003,31011,2011,02,16.8
IDCJAC0003,31011,2011,03,18.1
IDCJAC0003,31011,2011,04,18.0
IDCJAC0003,31011,2011,05,18.0
IDCJAC0003,31011,2011,06,16.1
IDCJAC0003,31011,2011,07,16.4
IDCJAC0003,31011,2011,08,18.6
IDCJAC0003,31011,2011,09,21.3
IDCJAC0003,31011,2011,10,20.9
IDCJAC0003,31011,2011,11,22.5
IDCJAC0003,31011,2011,12,21.4
IDCJAC0003,31011,2012,01,25.3
IDCJAC0003,31011,2012,02,20.5
IDCJAC0003,31011,2012,03,15.9
IDCJAC0003,31011,2012,04,17.7
IDCJAC0003,31011,2012,05,15.9
IDCJAC0003,31011,2012,06,16.9
IDCJAC0003,31011,2012,07,17.4
IDCJAC0003,31011,2012,08,20.2
IDCJAC0003,31011,2012,09,21.7
IDCJAC0003,31011,2012,10,22.5
IDCJAC0003,31011,2012,11,24.3
IDCJAC0003,31011,2012,12,26.3
IDCJAC0003,31011,2013,01,21.7
IDCJAC0003,31011,2013,02,23.3
IDCJAC0003,31011,2013,03,18.8
IDCJAC0003,31011,2013,04,19.0
IDCJAC0003,31011,2013,05,15.0
IDCJAC0003,31011,2013,06,15.6
IDCJAC0003,31011,2013,07,15.1
IDCJAC0003,31011,2013,08,20.5
IDCJAC0003,31011,2013,09,22.8
IDCJAC0003,31011,2013,10,22.3
IDCJAC0003,31011,2013,11,18.4
IDCJAC0003,31011,2013,12,22.3
IDCJAC0003,31011,2014,01,19.2
IDCJAC0003,31011,2014,02,15.5
IDCJAC0003,31011,2014,03,17.4
IDCJAC0003,31011,2014,04,17.1
IDCJAC0003,31011,2014,05,16.1
IDCJAC0003,31011,2014,06,14.2
IDCJAC0003,31011,2014,07,16.8
IDCJAC0003,31011,2014,08,17.9
IDCJAC0003,31011,2014,09,22.3
IDCJAC0003,31011,2014,10,24.8
IDCJAC0003,31011,2014,11,23.3
IDCJAC0003,31011,2014,12,23.5
IDCJAC0003,31011,2015,01,20.2
IDCJAC0003,31011,2015,02,19.7
IDCJAC0003,31011,2015,03,19.9
IDCJAC0003,31011,2015,04,18.8
IDCJAC0003,31011,2015,05,17.1
IDCJAC0003,31011,2015,06,14.0
IDCJAC0003,31011,2015,07,16.4
IDCJAC0003,31011,2015,08,19.4
IDCJAC0003,31011,2015,09,21.3
IDCJAC0003,31011,2015,10,22.1
IDCJAC0003,31011,2015,11,22.1
IDCJAC0003,31011,2015,12,18.1
IDCJAC0003,31011,2016,01,22.9
IDCJAC0003,31011,2016,02,23.1
IDCJAC0003,31011,2016,03,18.3
IDCJAC0003,31011,2016,04,18.1
IDCJAC0003,31011,2016,05,15.5
IDCJAC0003,31011,2016,06,14.9
IDCJAC0003,31011,2016,07,15.8
IDCJAC0003,31011,2016,08,17.7
IDCJAC0003,31011,2016,09,20.0
IDCJAC0003,31011,2016,10,23.4
IDCJAC0003,31011,2016,11,26.0
IDCJAC0003,31011,2016,12,24.4
IDCJAC0003,31011,2017,01,21.6
IDCJAC0003,31011,2017,02,21.4
IDCJAC0003,31011,2017,03,22.5
IDCJAC0003,31011,2017,04,17.6
IDCJAC0003,31011,2017,05,17.2
IDCJAC0003,31011,2017,06,14.4
IDCJAC0003,31011,2017,07,16.2
IDCJAC0003,31011,2017,08,19.5
IDCJAC0003,31011,2017,09,21.4
IDCJAC0003,31011,2017,10,21.8
IDCJAC0003,31011,2017,11,23.4
IDCJAC0003,31011,2017,12,27.0
IDCJAC0003,31011,2018,01,21.1
IDCJAC0003,31011,2018,02,22.0
IDCJAC0003,31011,2018,03,17.1
IDCJAC0003,31011,2018,04,19.7
IDCJAC0003,31011,2018,05,16.5
IDCJAC0003,31011,2018,06,16.1
IDCJAC0003,31011,2018,07,16.8
IDCJAC0003,31011,2018,08,19.9
IDCJAC0003,31011,2018,09,21.5
IDCJAC0003,31011,2018,10,25.0
IDCJAC0003,31011,2018,11,24.8
IDCJAC0003,31011,2018,12,19.6
IDCJAC0003,31011,2019,01,19.8
IDCJAC0003,31011,2019,02,22.0
IDCJAC0003,31011,2019,03,18.8
IDCJAC0003,31011,2019,04,17.8
IDCJAC0003,31011,2019,05,16.3
