Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066006,2020,04,29,11.6
IDCJAC0016,066006,2020,04,30,3.4
IDCJAC0016,066006,2020,05,01,13.9
IDCJAC0016,066006,2020,05,02,14.0
IDCJAC0016,066006,2020,05,03,14.0
IDCJAC0016,066006,2020,05,04,13.2
IDCJAC0016,066006,2020,05,05,11.7
IDCJAC0016,066006,2020,05,06,13.6
IDCJAC0016,066006,2020,05,07,11.0
IDCJAC0016,066006,2020,05,08,13.3
IDCJAC0016,066006,2020,05,09,11.1
IDCJAC0016,066006,2020,05,10,13.1
IDCJAC0016,066006,2020,05,11,13.0
IDCJAC0016,066006,2020,05,12,12.7
IDCJAC0016,066006,2020,05,13,9.5
IDCJAC0016,066006,2020,05,14,9.0
IDCJAC0016,066006,2020,05,15,7.4
IDCJAC0016,066006,2020,05,16,9.1
IDCJAC0016,066006,2020,05,17,10.1
IDCJAC0016,066006,2020,05,18,8.0
IDCJAC0016,066006,2020,05,19,11.8
IDCJAC0016,066006,2020,05,20,11.3
IDCJAC0016,066006,2020,05,21,4.5
IDCJAC0016,066006,2020,05,22,5.5
IDCJAC0016,066006,2020,05,23,7.0
IDCJAC0016,066006,2020,05,24,5.1
IDCJAC0016,066006,2020,05,25,4.8
IDCJAC0016,066006,2020,05,26,7.7
IDCJAC0016,066006,2020,05,27,9.8
IDCJAC0016,066006,2020,05,28,11.5
IDCJAC0016,066006,2020,05,29,5.4
IDCJAC0016,066006,2020,05,30,10.7
IDCJAC0016,066006,2020,05,31,9.0
IDCJAC0016,066006,2020,06,01,11.4
IDCJAC0016,066006,2020,06,02,5.8
IDCJAC0016,066006,2020,06,03,11.0
IDCJAC0016,066006,2020,06,04,9.8
IDCJAC0016,066006,2020,06,05,11.2
IDCJAC0016,066006,2020,06,06,11.0
IDCJAC0016,066006,2020,06,07,8.2
IDCJAC0016,066006,2020,06,08,10.1
IDCJAC0016,066006,2020,06,09,10.4
IDCJAC0016,066006,2020,06,10,5.8
IDCJAC0016,066006,2020,06,11,10.8
IDCJAC0016,066006,2020,06,12,4.1
IDCJAC0016,066006,2020,06,13,10.0
IDCJAC0016,066006,2020,06,14,9.6
IDCJAC0016,066006,2020,06,15,11.0
IDCJAC0016,066006,2020,06,16,10.9
IDCJAC0016,066006,2020,06,17,6.4
IDCJAC0016,066006,2020,06,18,9.7
IDCJAC0016,066006,2020,06,19,10.7
IDCJAC0016,066006,2020,06,20,10.7
IDCJAC0016,066006,2020,06,21,7.8
IDCJAC0016,066006,2020,06,22,8.9
IDCJAC0016,066006,2020,06,23,10.9
IDCJAC0016,066006,2020,06,24,9.0
IDCJAC0016,066006,2020,06,25,11.0
IDCJAC0016,066006,2020,06,26,10.8
IDCJAC0016,066006,2020,06,27,7.9
IDCJAC0016,066006,2020,06,28,8.1
IDCJAC0016,066006,2020,06,29,9.2
IDCJAC0016,066006,2020,06,30,10.1
IDCJAC0016,066006,2020,07,01,11.1
IDCJAC0016,066006,2020,07,02,11.1
IDCJAC0016,066006,2020,07,03,11.2
IDCJAC0016,066006,2020,07,04,10.6
IDCJAC0016,066006,2020,07,05,11.1
IDCJAC0016,066006,2020,07,06,11.3
IDCJAC0016,066006,2020,07,07,8.6
IDCJAC0016,066006,2020,07,08,6.2
IDCJAC0016,066006,2020,07,09,10.7
IDCJAC0016,066006,2020,07,10,8.1
IDCJAC0016,066006,2020,07,11,5.9
IDCJAC0016,066006,2020,07,12,11.2
IDCJAC0016,066006,2020,07,13,10.8
IDCJAC0016,066006,2020,07,14,7.0
IDCJAC0016,066006,2020,07,15,6.9
IDCJAC0016,066006,2020,07,16,7.5
IDCJAC0016,066006,2020,07,17,6.5
IDCJAC0016,066006,2020,07,18,10.1
IDCJAC0016,066006,2020,07,19,11.5
IDCJAC0016,066006,2020,07,20,12.2
IDCJAC0016,066006,2020,07,21,12.3
IDCJAC0016,066006,2020,07,22,11.8
IDCJAC0016,066006,2020,07,23,12.5
IDCJAC0016,066006,2020,07,24,12.1
IDCJAC0016,066006,2020,07,25,8.1
IDCJAC0016,066006,2020,07,26,3.3
IDCJAC0016,066006,2020,07,27,3.8
IDCJAC0016,066006,2020,07,28,7.8
IDCJAC0016,066006,2020,07,29,12.9
IDCJAC0016,066006,2020,07,30,12.6
IDCJAC0016,066006,2020,07,31,12.5
IDCJAC0016,066006,2020,08,01,12.7
IDCJAC0016,066006,2020,08,02,13.1
IDCJAC0016,066006,2020,08,03,12.6
IDCJAC0016,066006,2020,08,04,12.2
IDCJAC0016,066006,2020,08,05,13.9
IDCJAC0016,066006,2020,08,06,14.0
IDCJAC0016,066006,2020,08,07,4.0
IDCJAC0016,066006,2020,08,08,7.9
IDCJAC0016,066006,2020,08,09,8.6
IDCJAC0016,066006,2020,08,10,9.0
IDCJAC0016,066006,2020,08,11,11.7
IDCJAC0016,066006,2020,08,12,8.8
IDCJAC0016,066006,2020,08,13,14.6
IDCJAC0016,066006,2020,08,14,8.8
IDCJAC0016,066006,2020,08,15,14.0
IDCJAC0016,066006,2020,08,16,14.9
IDCJAC0016,066006,2020,08,17,15.4
