Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,23034,1990,01,27.0
IDCJAC0003,23034,1990,02,21.3
IDCJAC0003,23034,1990,03,20.4
IDCJAC0003,23034,1990,04,13.0
IDCJAC0003,23034,1990,05,9.8
IDCJAC0003,23034,1990,06,7.6
IDCJAC0003,23034,1990,07,8.0
IDCJAC0003,23034,1990,08,10.9
IDCJAC0003,23034,1990,09,17.3
IDCJAC0003,23034,1990,10,20.2
IDCJAC0003,23034,1990,11,26.7
IDCJAC0003,23034,1990,12,23.5
IDCJAC0003,23034,1991,01,25.3
IDCJAC0003,23034,1991,02,28.1
IDCJAC0003,23034,1991,03,20.1
IDCJAC0003,23034,1991,04,13.3
IDCJAC0003,23034,1991,05,9.9
IDCJAC0003,23034,1991,06,6.8
IDCJAC0003,23034,1991,07,7.9
IDCJAC0003,23034,1991,08,10.1
IDCJAC0003,23034,1991,09,14.3
IDCJAC0003,23034,1991,10,22.0
IDCJAC0003,23034,1991,11,25.4
IDCJAC0003,23034,1991,12,27.6
IDCJAC0003,23034,1992,01,27.4
IDCJAC0003,23034,1992,02,23.5
IDCJAC0003,23034,1992,03,17.6
IDCJAC0003,23034,1992,04,12.8
IDCJAC0003,23034,1992,05,8.9
IDCJAC0003,23034,1992,06,7.6
IDCJAC0003,23034,1992,07,8.8
IDCJAC0003,23034,1992,08,10.2
IDCJAC0003,23034,1992,09,12.8
IDCJAC0003,23034,1992,10,17.6
IDCJAC0003,23034,1992,11,21.6
IDCJAC0003,23034,1992,12,22.2
IDCJAC0003,23034,1993,01,24.8
IDCJAC0003,23034,1993,02,24.3
IDCJAC0003,23034,1993,03,17.8
IDCJAC0003,23034,1993,04,14.3
IDCJAC0003,23034,1993,05,9.5
IDCJAC0003,23034,1993,06,7.2
IDCJAC0003,23034,1993,07,7.8
IDCJAC0003,23034,1993,08,9.9
IDCJAC0003,23034,1993,09,14.4
IDCJAC0003,23034,1993,10,20.1
IDCJAC0003,23034,1993,11,25.4
IDCJAC0003,23034,1993,12,23.7
IDCJAC0003,23034,1994,01,26.1
IDCJAC0003,23034,1994,02,21.6
IDCJAC0003,23034,1994,03,20.5
IDCJAC0003,23034,1994,04,12.9
IDCJAC0003,23034,1994,05,8.9
IDCJAC0003,23034,1994,06,6.0
IDCJAC0003,23034,1994,07,10.1
IDCJAC0003,23034,1994,08,14.7
IDCJAC0003,23034,1994,09,14.9
IDCJAC0003,23034,1994,10,19.2
IDCJAC0003,23034,1994,11,20.4
IDCJAC0003,23034,1994,12,30.5
IDCJAC0003,23034,1995,01,27.7
IDCJAC0003,23034,1995,02,25.5
IDCJAC0003,23034,1995,03,18.8
IDCJAC0003,23034,1995,04,13.1
IDCJAC0003,23034,1995,05,8.3
IDCJAC0003,23034,1995,06,6.8
IDCJAC0003,23034,1995,07,7.5
IDCJAC0003,23034,1995,08,13.3
IDCJAC0003,23034,1995,09,16.4
IDCJAC0003,23034,1995,10,20.7
IDCJAC0003,23034,1995,11,23.3
IDCJAC0003,23034,1995,12,26.5
IDCJAC0003,23034,1996,01,28.5
IDCJAC0003,23034,1996,02,23.2
IDCJAC0003,23034,1996,03,19.6
IDCJAC0003,23034,1996,04,11.7
IDCJAC0003,23034,1996,05,10.0
IDCJAC0003,23034,1996,06,8.0
IDCJAC0003,23034,1996,07,8.0
IDCJAC0003,23034,1996,08,11.0
IDCJAC0003,23034,1996,09,15.9
IDCJAC0003,23034,1996,10,22.7
IDCJAC0003,23034,1996,11,26.6
IDCJAC0003,23034,1996,12,29.6
IDCJAC0003,23034,1997,01,28.0
IDCJAC0003,23034,1997,02,24.2
IDCJAC0003,23034,1997,03,19.2
IDCJAC0003,23034,1997,04,13.1
IDCJAC0003,23034,1997,05,8.8
IDCJAC0003,23034,1997,06,7.9
IDCJAC0003,23034,1997,07,9.9
IDCJAC0003,23034,1997,08,11.8
IDCJAC0003,23034,1997,09,14.4
IDCJAC0003,23034,1997,10,20.3
