Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,91148,1990,01,25.8
IDCJAC0003,91148,1990,02,20.1
IDCJAC0003,91148,1990,03,17.0
IDCJAC0003,91148,1990,04,9.5
IDCJAC0003,91148,1990,05,6.9
IDCJAC0003,91148,1990,06,4.8
IDCJAC0003,91148,1990,07,5.8
IDCJAC0003,91148,1990,08,9.4
IDCJAC0003,91148,1990,09,14.0
IDCJAC0003,91148,1990,10,17.7
IDCJAC0003,91148,1990,11,23.2
IDCJAC0003,91148,1990,12,22.0
IDCJAC0003,91148,1991,01,21.4
IDCJAC0003,91148,1991,02,22.8
IDCJAC0003,91148,1991,03,16.8
IDCJAC0003,91148,1991,04,10.9
IDCJAC0003,91148,1991,05,7.9
IDCJAC0003,91148,1991,06,4.5
IDCJAC0003,91148,1991,07,6.3
IDCJAC0003,91148,1991,08,7.0
IDCJAC0003,91148,1991,09,12.5
IDCJAC0003,91148,1991,10,19.7
IDCJAC0003,91148,1991,11,22.2
IDCJAC0003,91148,1991,12,23.7
IDCJAC0003,91148,1992,01,23.2
IDCJAC0003,91148,1992,02,22.7
IDCJAC0003,91148,1992,03,15.3
IDCJAC0003,91148,1992,04,8.6
IDCJAC0003,91148,1992,05,6.6
IDCJAC0003,91148,1992,06,5.5
IDCJAC0003,91148,1992,07,5.2
IDCJAC0003,91148,1992,08,8.0
IDCJAC0003,91148,1992,09,13.1
IDCJAC0003,91148,1992,10,17.6
IDCJAC0003,91148,1992,11,23.4
IDCJAC0003,91148,1992,12,23.0
IDCJAC0003,91148,1993,01,25.3
IDCJAC0003,91148,1993,02,20.4
IDCJAC0003,91148,1993,03,15.2
IDCJAC0003,91148,1993,04,10.8
IDCJAC0003,91148,1993,05,6.6
IDCJAC0003,91148,1993,06,4.5
IDCJAC0003,91148,1993,07,5.7
IDCJAC0003,91148,1993,08,7.0
IDCJAC0003,91148,1993,09,13.2
IDCJAC0003,91148,1993,10,16.3
IDCJAC0003,91148,1993,11,22.7
IDCJAC0003,91148,1993,12,21.7
IDCJAC0003,91148,1994,01,24.6
IDCJAC0003,91148,1994,02,17.7
IDCJAC0003,91148,1994,03,16.1
IDCJAC0003,91148,1994,04,9.4
IDCJAC0003,91148,1994,05,5.6
IDCJAC0003,91148,1994,06,5.4
IDCJAC0003,91148,1994,07,6.6
IDCJAC0003,91148,1994,08,12.1
IDCJAC0003,91148,1994,09,13.1
IDCJAC0003,91148,1994,10,17.4
IDCJAC0003,91148,1994,11,19.7
IDCJAC0003,91148,1994,12,26.9
IDCJAC0003,91148,1995,01,22.1
IDCJAC0003,91148,1995,02,22.4
IDCJAC0003,91148,1995,03,14.9
IDCJAC0003,91148,1995,04,9.5
IDCJAC0003,91148,1995,05,7.6
IDCJAC0003,91148,1995,06,4.6
IDCJAC0003,91148,1995,07,5.7
IDCJAC0003,91148,1995,08,9.7
IDCJAC0003,91148,1995,09,13.3
IDCJAC0003,91148,1995,10,19.0
IDCJAC0003,91148,1995,11,19.4
IDCJAC0003,91148,1995,12,24.9
IDCJAC0003,91148,1996,01,24.2
IDCJAC0003,91148,1996,02,21.9
IDCJAC0003,91148,1996,03,15.0
IDCJAC0003,91148,1996,04,10.9
IDCJAC0003,91148,1996,05,6.8
IDCJAC0003,91148,1996,06,4.8
IDCJAC0003,91148,1996,07,5.5
IDCJAC0003,91148,1996,08,8.6
IDCJAC0003,91148,1996,09,12.3
IDCJAC0003,91148,1996,10,19.1
IDCJAC0003,91148,1996,11,23.0
IDCJAC0003,91148,1996,12,27.4
IDCJAC0003,91148,1997,01,24.5
IDCJAC0003,91148,1997,02,18.2
IDCJAC0003,91148,1997,03,15.3
IDCJAC0003,91148,1997,04,10.3
IDCJAC0003,91148,1997,05,6.0
IDCJAC0003,91148,1997,06,5.3
IDCJAC0003,91148,1997,07,5.8
IDCJAC0003,91148,1997,08,8.5
IDCJAC0003,91148,1997,09,13.5
IDCJAC0003,91148,1997,10,18.1
IDCJAC0003,91148,1997,11,22.2
IDCJAC0003,91148,1997,12,25.4
IDCJAC0003,91148,1998,01,24.7
IDCJAC0003,91148,1998,02,20.5
IDCJAC0003,91148,1998,03,16.5
IDCJAC0003,91148,1998,04,8.4
IDCJAC0003,91148,1998,05,6.3
IDCJAC0003,91148,1998,06,5.0
IDCJAC0003,91148,1998,07,6.1
IDCJAC0003,91148,1998,08,9.2
