Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,48027,1990,26.8,25.2,20.8,10.5,12.1,10.1,9.8,11.7,19.5,23.5,29.2,30.6,19.1
IDCJAC0003,48027,1991,26.9,28.1,24.2,17.2,13.1,9.2,10.8,14.3,19.5,24.1,26.9,27.3,20.1
IDCJAC0003,48027,1992,30.8,22.8,22.6,16.0,12.3,9.2,11.3,13.7,18.5,22.6,26.9,22.2,19.1
IDCJAC0003,48027,1993,28.6,24.5,21.7,17.3,12.3,10.3,10.1,13.3,17.2,21.3,29.1,26.0,19.3
IDCJAC0003,48027,1994,31.1,20.8,23.3,17.9,13.4,10.0,12.3,16.5,19.5,23.2,24.5,31.1,20.3
IDCJAC0003,48027,1995,25.8,27.0,23.0,17.0,10.1,9.7,11.0,16.0,17.8,22.8,20.7,30.3,19.3
IDCJAC0003,48027,1996,27.1,25.9,22.5,17.4,12.8,9.9,9.9,14.4,19.3,24.4,27.8,28.0,20.0
IDCJAC0003,48027,1997,25.3,26.2,23.5,19.0,11.5,10.7,12.5,15.8,18.2,22.6,26.5,28.2,20.0
IDCJAC0003,48027,1998,24.1,25.6,24.2,15.2,12.0,10.0,9.7,14.3,17.4,22.9,26.2,29.7,19.3
IDCJAC0003,48027,1999,25.9,24.0,20.5,17.2,12.1,10.8,11.9,15.0,18.2,21.5,23.6,24.1,18.7
IDCJAC0003,48027,2000,30.1,23.3,18.2,15.2,12.2,10.3,11.8,13.2,20.0,20.5,22.7,30.1,19.0
IDCJAC0003,48027,2001,28.0,23.9,22.4,17.4,12.7,10.8,11.1,15.9,18.9,22.8,26.4,28.9,19.9
IDCJAC0003,48027,2002,29.7,20.7,22.9,16.1,12.3,11.4,13.6,15.7,20.7,26.2,26.8,29.0,20.4
IDCJAC0003,48027,2003,30.2,21.4,23.2,16.4,13.1,11.0,11.9,14.3,20.1,22.4,26.5,27.7,19.9
IDCJAC0003,48027,2004,28.9,24.8,23.0,18.4,13.2,10.8,11.6,14.4,19.9,24.6,26.4,29.3,20.4
IDCJAC0003,48027,2005,29.3,28.3,23.4,17.9,13.9,9.4,11.5,15.8,19.0,21.5,25.6,null,null
IDCJAC0003,48027,2006,26.9,25.8,21.1,17.3,13.6,10.6,10.6,15.4,21.1,25.8,27.9,25.6,20.1
IDCJAC0003,48027,2007,26.3,24.3,20.1,16.7,12.3,10.0,11.6,15.0,19.9,23.1,21.1,27.2,19.0
IDCJAC0003,48027,2008,27.3,24.4,22.6,17.7,12.9,9.0,10.9,14.2,19.8,24.7,22.1,28.3,19.5
IDCJAC0003,48027,2009,28.2,24.1,21.6,15.7,12.1,9.4,10.4,14.2,18.5,21.5,29.5,26.9,19.3
IDCJAC0003,48027,2010,29.0,20.9,20.3,15.9,11.7,10.2,10.2,12.7,18.1,20.7,22.2,26.0,18.2
IDCJAC0003,48027,2011,26.8,22.6,17.8,16.1,11.7,10.4,10.5,13.9,18.4,22.5,21.7,26.3,18.2
IDCJAC0003,48027,2012,25.1,23.4,21.1,16.9,12.9,9.8,11.6,15.4,19.6,24.0,25.2,29.3,19.5
IDCJAC0003,48027,2013,29.3,24.0,20.7,17.3,11.9,9.2,11.5,14.9,18.9,24.7,26.2,27.3,19.7
IDCJAC0003,48027,2014,29.0,23.3,18.3,15.2,11.4,10.0,11.6,14.5,18.4,23.7,26.4,25.8,19.0
IDCJAC0003,48027,2015,23.6,24.1,21.7,14.2,11.2,10.1,10.9,13.4,19.5,22.3,27.2,26.4,18.7
IDCJAC0003,48027,2016,24.2,25.6,18.8,17.6,12.5,9.4,11.3,13.5,16.0,23.2,26.7,25.3,18.7
IDCJAC0003,48027,2017,25.8,26.1,19.8,15.5,12.6,10.9,12.2,15.1,18.8,22.6,26.0,26.4,19.3
IDCJAC0003,48027,2018,26.8,23.8,21.0,16.7,13.0,10.8,12.5,15.0,19.2,22.9,24.2,29.2,19.6
IDCJAC0003,48027,2019,26.7,25.4,20.2,16.1,12.5,11.3,11.9,15.4,19.4,22.9,27.1,30.0,19.9
IDCJAC0003,48027,2020,27.2,23.0,19.5,14.9,13.0,10.8,11.9,14.3,18.7,22.4,null,null,null
