Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,3003,1990,01,22.9
IDCJAC0003,3003,1990,02,25.1
IDCJAC0003,3003,1990,03,24.1
IDCJAC0003,3003,1990,04,21.4
IDCJAC0003,3003,1990,05,17.7
IDCJAC0003,3003,1990,06,16.1
IDCJAC0003,3003,1990,07,17.3
IDCJAC0003,3003,1990,08,20.1
IDCJAC0003,3003,1990,09,23.6
IDCJAC0003,3003,1990,10,26.8
IDCJAC0003,3003,1990,11,27.0
IDCJAC0003,3003,1990,12,26.5
IDCJAC0003,3003,1991,01,20.3
IDCJAC0003,3003,1991,02,22.1
IDCJAC0003,3003,1991,03,25.2
IDCJAC0003,3003,1991,04,19.5
IDCJAC0003,3003,1991,05,19.6
IDCJAC0003,3003,1991,06,15.9
IDCJAC0003,3003,1991,07,17.6
IDCJAC0003,3003,1991,08,20.8
IDCJAC0003,3003,1991,09,23.7
IDCJAC0003,3003,1991,10,26.0
IDCJAC0003,3003,1991,11,27.6
IDCJAC0003,3003,1991,12,28.1
IDCJAC0003,3003,1992,01,27.1
IDCJAC0003,3003,1992,02,26.8
IDCJAC0003,3003,1992,03,23.4
IDCJAC0003,3003,1992,04,19.0
IDCJAC0003,3003,1992,05,17.8
IDCJAC0003,3003,1992,06,16.6
IDCJAC0003,3003,1992,07,17.9
IDCJAC0003,3003,1992,08,18.6
IDCJAC0003,3003,1992,09,23.1
IDCJAC0003,3003,1992,10,26.8
IDCJAC0003,3003,1992,11,27.9
IDCJAC0003,3003,1992,12,28.3
IDCJAC0003,3003,1993,01,24.3
IDCJAC0003,3003,1993,02,22.4
IDCJAC0003,3003,1993,03,25.3
IDCJAC0003,3003,1993,04,21.5
IDCJAC0003,3003,1993,05,17.1
IDCJAC0003,3003,1993,06,14.4
IDCJAC0003,3003,1993,07,17.4
IDCJAC0003,3003,1993,08,17.8
IDCJAC0003,3003,1993,09,20.6
IDCJAC0003,3003,1993,10,25.8
IDCJAC0003,3003,1993,11,27.6
IDCJAC0003,3003,1993,12,24.4
IDCJAC0003,3003,1994,01,25.7
IDCJAC0003,3003,1994,02,21.7
IDCJAC0003,3003,1994,03,23.7
IDCJAC0003,3003,1994,04,21.2
IDCJAC0003,3003,1994,05,18.5
IDCJAC0003,3003,1994,06,17.2
IDCJAC0003,3003,1994,07,19.0
IDCJAC0003,3003,1994,08,22.3
IDCJAC0003,3003,1994,09,23.4
IDCJAC0003,3003,1994,10,25.4
IDCJAC0003,3003,1994,11,28.2
IDCJAC0003,3003,1994,12,25.7
IDCJAC0003,3003,1995,01,23.3
IDCJAC0003,3003,1995,02,18.0
IDCJAC0003,3003,1995,03,23.9
IDCJAC0003,3003,1995,04,20.6
IDCJAC0003,3003,1995,05,16.9
IDCJAC0003,3003,1995,06,16.7
IDCJAC0003,3003,1995,07,17.9
IDCJAC0003,3003,1995,08,22.5
IDCJAC0003,3003,1995,09,24.9
IDCJAC0003,3003,1995,10,27.6
IDCJAC0003,3003,1995,11,27.3
IDCJAC0003,3003,1995,12,22.7
IDCJAC0003,3003,1996,01,26.2
IDCJAC0003,3003,1996,02,22.8
IDCJAC0003,3003,1996,03,22.3
IDCJAC0003,3003,1996,04,19.9
IDCJAC0003,3003,1996,05,20.1
IDCJAC0003,3003,1996,06,17.7
