Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,86282,1990,26.0,20.6,18.8,9.0,8.6,6.3,6.8,10.1,13.5,17.4,22.7,22.9,15.2
IDCJAC0003,86282,1991,23.5,25.1,18.2,11.5,8.6,5.1,6.3,9.0,13.0,20.2,23.2,22.9,15.5
IDCJAC0003,86282,1992,22.6,21.3,15.1,11.6,7.7,6.4,7.4,8.9,10.3,15.3,20.3,20.8,14.0
IDCJAC0003,86282,1993,24.8,19.6,13.9,13.3,7.7,6.4,6.3,8.6,12.2,17.7,22.5,21.4,14.5
IDCJAC0003,86282,1994,23.8,17.1,17.5,10.2,6.6,5.8,8.5,13.4,11.6,16.5,19.2,26.6,14.7
IDCJAC0003,86282,1995,21.4,20.6,17.3,10.7,7.0,5.4,5.3,11.6,14.0,16.6,19.8,22.2,14.3
IDCJAC0003,86282,1996,23.5,19.8,15.6,10.1,6.4,6.2,6.2,9.2,12.9,18.3,21.4,23.3,14.4
IDCJAC0003,86282,1997,25.4,22.0,14.8,11.1,5.4,5.7,6.6,10.4,14.1,16.6,23.1,25.9,15.1
IDCJAC0003,86282,1998,23.3,23.6,17.5,10.8,7.5,6.4,6.9,9.6,12.8,17.5,22.1,24.7,15.2
IDCJAC0003,86282,1999,23.7,20.0,15.7,12.2,8.5,6.7,6.8,9.1,14.3,18.4,22.5,21.3,14.9
IDCJAC0003,86282,2000,22.1,23.2,17.7,12.0,7.2,5.6,6.9,10.4,14.0,16.4,20.3,27.3,15.3
IDCJAC0003,86282,2001,23.2,23.1,17.0,11.3,7.8,6.0,6.2,9.0,13.9,18.2,18.9,23.1,14.8
IDCJAC0003,86282,2002,22.4,20.9,16.9,11.0,8.3,6.5,8.0,10.5,15.5,18.4,22.4,23.4,15.3
IDCJAC0003,86282,2003,26.7,21.6,17.5,12.8,8.4,6.1,8.0,10.0,14.9,16.2,23.8,24.4,15.9
IDCJAC0003,86282,2004,23.8,21.4,18.6,12.1,8.2,6.6,7.2,10.7,12.1,19.2,20.7,24.0,15.4
IDCJAC0003,86282,2005,24.5,19.3,18.1,13.4,9.4,6.3,6.5,10.4,13.8,19.3,22.9,null,null
IDCJAC0003,86282,2006,26.1,23.2,19.2,11.0,7.2,6.0,6.3,10.8,14.9,23.2,23.6,26.6,16.5
IDCJAC0003,86282,2007,24.4,22.7,17.9,12.9,8.1,6.3,7.1,11.1,14.6,19.5,23.3,24.4,16.0
IDCJAC0003,86282,2008,25.8,20.9,17.8,11.9,7.3,5.6,6.8,9.0,15.5,18.4,20.6,23.5,15.3
IDCJAC0003,86282,2009,29.6,22.6,14.7,11.4,7.5,5.9,7.3,9.9,13.0,17.5,23.3,25.9,15.7
IDCJAC0003,86282,2010,26.2,20.5,16.2,10.6,8.0,6.2,6.3,8.9,11.9,18.3,20.1,22.3,14.6
IDCJAC0003,86282,2011,21.8,18.2,14.8,12.5,6.6,6.8,6.4,9.5,13.1,16.4,19.5,25.4,14.2
IDCJAC0003,86282,2012,24.6,19.4,13.6,12.1,7.2,5.8,6.5,10.1,14.4,16.1,21.4,25.1,14.7
IDCJAC0003,86282,2013,26.9,23.0,17.0,10.8,7.9,5.9,7.2,9.7,13.0,15.5,17.5,22.5,14.7
IDCJAC0003,86282,2014,25.2,21.2,14.5,9.1,7.4,5.9,7.2,10.0,13.9,17.6,21.4,23.7,14.8
IDCJAC0003,86282,2015,22.3,19.6,16.1,10.7,7.9,6.5,6.9,8.7,14.2,19.7,21.1,27.2,15.1
IDCJAC0003,86282,2016,20.4,20.7,14.2,11.9,8.9,6.7,7.5,10.2,12.4,17.3,19.2,22.8,14.3
IDCJAC0003,86282,2017,23.4,19.9,16.6,10.7,8.4,7.3,8.3,9.9,13.6,17.4,22.3,22.4,15.0
IDCJAC0003,86282,2018,23.3,20.4,16.3,11.1,7.2,7.1,8.3,10.6,14.6,18.4,18.8,21.4,14.8
IDCJAC0003,86282,2019,25.1,20.4,15.4,11.4,8.1,7.5,7.8,9.9,14.0,18.5,19.7,24.3,15.2
IDCJAC0003,86282,2020,21.8,17.6,14.8,10.2,8.4,7.4,7.6,10.5,14.6,14.6,null,null,null
