Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,5007,1990,01,26.4
IDCJAC0003,5007,1990,02,27.3
IDCJAC0003,5007,1990,03,23.0
IDCJAC0003,5007,1990,04,18.7
IDCJAC0003,5007,1990,05,17.5
IDCJAC0003,5007,1990,06,12.5
IDCJAC0003,5007,1990,07,14.8
IDCJAC0003,5007,1990,08,17.3
IDCJAC0003,5007,1990,09,24.0
IDCJAC0003,5007,1990,10,27.3
IDCJAC0003,5007,1990,11,28.6
IDCJAC0003,5007,1990,12,29.4
IDCJAC0003,5007,1991,01,28.5
IDCJAC0003,5007,1991,02,26.0
IDCJAC0003,5007,1991,03,23.2
IDCJAC0003,5007,1991,04,20.2
IDCJAC0003,5007,1991,05,17.0
IDCJAC0003,5007,1991,06,12.6
IDCJAC0003,5007,1991,07,15.8
IDCJAC0003,5007,1991,08,19.2
IDCJAC0003,5007,1991,09,23.5
IDCJAC0003,5007,1991,10,25.8
IDCJAC0003,5007,1991,11,29.1
IDCJAC0003,5007,1991,12,26.9
IDCJAC0003,5007,1992,01,29.2
IDCJAC0003,5007,1992,02,28.6
IDCJAC0003,5007,1992,03,24.2
IDCJAC0003,5007,1992,04,18.3
IDCJAC0003,5007,1992,05,13.6
IDCJAC0003,5007,1992,06,12.1
IDCJAC0003,5007,1992,07,15.5
IDCJAC0003,5007,1992,08,18.2
IDCJAC0003,5007,1992,09,22.2
IDCJAC0003,5007,1992,10,27.9
IDCJAC0003,5007,1992,11,30.4
IDCJAC0003,5007,1992,12,31.4
IDCJAC0003,5007,1993,01,29.7
IDCJAC0003,5007,1993,02,25.9
IDCJAC0003,5007,1993,03,24.9
IDCJAC0003,5007,1993,04,18.5
IDCJAC0003,5007,1993,05,14.6
IDCJAC0003,5007,1993,06,13.3
IDCJAC0003,5007,1993,07,16.1
IDCJAC0003,5007,1993,08,18.1
IDCJAC0003,5007,1993,09,23.5
IDCJAC0003,5007,1993,10,27.5
IDCJAC0003,5007,1993,11,27.3
IDCJAC0003,5007,1993,12,30.6
IDCJAC0003,5007,1994,01,29.1
IDCJAC0003,5007,1994,02,23.5
IDCJAC0003,5007,1994,03,25.3
IDCJAC0003,5007,1994,04,18.8
IDCJAC0003,5007,1994,05,17.2
IDCJAC0003,5007,1994,06,13.7
IDCJAC0003,5007,1994,07,16.7
IDCJAC0003,5007,1994,08,19.7
IDCJAC0003,5007,1994,09,24.3
IDCJAC0003,5007,1994,10,26.7
IDCJAC0003,5007,1994,11,29.5
IDCJAC0003,5007,1994,12,29.2
IDCJAC0003,5007,1995,01,29.2
IDCJAC0003,5007,1995,02,23.7
IDCJAC0003,5007,1995,03,25.4
IDCJAC0003,5007,1995,04,18.0
IDCJAC0003,5007,1995,05,15.5
IDCJAC0003,5007,1995,06,13.3
IDCJAC0003,5007,1995,07,15.7
IDCJAC0003,5007,1995,08,20.8
IDCJAC0003,5007,1995,09,23.8
IDCJAC0003,5007,1995,10,27.6
IDCJAC0003,5007,1995,11,27.9
IDCJAC0003,5007,1995,12,27.9
IDCJAC0003,5007,1996,01,31.1
IDCJAC0003,5007,1996,02,27.1
IDCJAC0003,5007,1996,03,24.8
IDCJAC0003,5007,1996,04,20.5
IDCJAC0003,5007,1996,05,18.4
IDCJAC0003,5007,1996,06,11.5
IDCJAC0003,5007,1996,07,14.7
IDCJAC0003,5007,1996,08,19.2
IDCJAC0003,5007,1996,09,25.2
IDCJAC0003,5007,1996,10,27.4
IDCJAC0003,5007,1996,11,30.4
IDCJAC0003,5007,1996,12,30.1
IDCJAC0003,5007,1997,01,28.1
IDCJAC0003,5007,1997,02,24.7
IDCJAC0003,5007,1997,03,26.9
IDCJAC0003,5007,1997,04,20.5
IDCJAC0003,5007,1997,05,14.4
IDCJAC0003,5007,1997,06,14.6
IDCJAC0003,5007,1997,07,16.6
IDCJAC0003,5007,1997,08,18.6
IDCJAC0003,5007,1997,09,24.1
IDCJAC0003,5007,1997,10,28.1
IDCJAC0003,5007,1997,11,29.5
IDCJAC0003,5007,1997,12,29.6
IDCJAC0003,5007,1998,01,29.8
IDCJAC0003,5007,1998,02,27.4
IDCJAC0003,5007,1998,03,24.8
IDCJAC0003,5007,1998,04,17.0
IDCJAC0003,5007,1998,05,15.3
IDCJAC0003,5007,1998,06,13.5
IDCJAC0003,5007,1998,07,13.9
IDCJAC0003,5007,1998,08,20.3
IDCJAC0003,5007,1998,09,24.6
IDCJAC0003,5007,1998,10,27.3
IDCJAC0003,5007,1998,11,30.0
IDCJAC0003,5007,1998,12,28.9
IDCJAC0003,5007,1999,01,28.3
IDCJAC0003,5007,1999,02,24.8
IDCJAC0003,5007,1999,03,22.8
