Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,15135,2020,01,01,26.4,1,Y
IDCJAC0011,15135,2020,01,02,27.5,1,Y
IDCJAC0011,15135,2020,01,03,27.5,1,Y
IDCJAC0011,15135,2020,01,04,27.9,1,Y
IDCJAC0011,15135,2020,01,05,28.3,1,Y
IDCJAC0011,15135,2020,01,06,26.4,1,Y
IDCJAC0011,15135,2020,01,07,27.6,1,Y
IDCJAC0011,15135,2020,01,08,23.6,1,Y
IDCJAC0011,15135,2020,01,09,25.8,1,Y
IDCJAC0011,15135,2020,01,10,27.6,1,Y
IDCJAC0011,15135,2020,01,11,26.9,1,Y
IDCJAC0011,15135,2020,01,12,30.4,1,Y
IDCJAC0011,15135,2020,01,13,29.9,1,Y
IDCJAC0011,15135,2020,01,14,26.8,1,Y
IDCJAC0011,15135,2020,01,15,28.3,1,Y
IDCJAC0011,15135,2020,01,16,28.8,1,Y
IDCJAC0011,15135,2020,01,17,26.2,1,Y
IDCJAC0011,15135,2020,01,18,29.7,1,Y
IDCJAC0011,15135,2020,01,19,23.1,1,Y
IDCJAC0011,15135,2020,01,20,22.5,1,Y
IDCJAC0011,15135,2020,01,21,23.2,1,Y
IDCJAC0011,15135,2020,01,22,24.8,1,Y
IDCJAC0011,15135,2020,01,23,25.6,1,Y
IDCJAC0011,15135,2020,01,24,23.7,1,Y
IDCJAC0011,15135,2020,01,25,23.6,1,Y
IDCJAC0011,15135,2020,01,26,24.2,1,Y
IDCJAC0011,15135,2020,01,27,27.1,1,Y
IDCJAC0011,15135,2020,01,28,30.0,1,Y
IDCJAC0011,15135,2020,01,29,27.6,1,Y
IDCJAC0011,15135,2020,01,30,23.2,1,Y
IDCJAC0011,15135,2020,01,31,26.4,1,Y
IDCJAC0011,15135,2020,02,01,24.8,1,N
IDCJAC0011,15135,2020,02,02,23.5,1,N
IDCJAC0011,15135,2020,02,03,23.0,1,N
IDCJAC0011,15135,2020,02,04,22.8,1,N
IDCJAC0011,15135,2020,02,05,24.8,1,N
IDCJAC0011,15135,2020,02,06,26.9,1,N
IDCJAC0011,15135,2020,02,07,27.4,1,N
IDCJAC0011,15135,2020,02,08,25.1,1,N
IDCJAC0011,15135,2020,02,09,27.4,1,N
IDCJAC0011,15135,2020,02,10,27.9,1,N
IDCJAC0011,15135,2020,02,11,29.8,1,N
IDCJAC0011,15135,2020,02,12,26.5,1,Y
IDCJAC0011,15135,2020,02,13,26.9,1,N
IDCJAC0011,15135,2020,02,14,29.0,1,N
IDCJAC0011,15135,2020,02,15,30.1,1,N
IDCJAC0011,15135,2020,02,16,29.6,1,N
IDCJAC0011,15135,2020,02,17,30.3,1,N
IDCJAC0011,15135,2020,02,18,30.3,1,N
IDCJAC0011,15135,2020,02,19,29.1,1,N
IDCJAC0011,15135,2020,02,20,27.4,1,N
IDCJAC0011,15135,2020,02,21,27.0,1,N
IDCJAC0011,15135,2020,02,22,26.9,1,N
IDCJAC0011,15135,2020,02,23,25.5,1,N
IDCJAC0011,15135,2020,02,24,28.4,1,N
IDCJAC0011,15135,2020,02,25,24.4,1,N
IDCJAC0011,15135,2020,02,26,25.7,1,N
IDCJAC0011,15135,2020,02,27,24.8,1,N
IDCJAC0011,15135,2020,02,28,25.2,1,N
IDCJAC0011,15135,2020,02,29,25.5,1,N
IDCJAC0011,15135,2020,03,01,26.3,1,N
IDCJAC0011,15135,2020,03,02,26.7,1,N
IDCJAC0011,15135,2020,03,03,20.1,1,N
IDCJAC0011,15135,2020,03,04,19.1,1,N
IDCJAC0011,15135,2020,03,05,21.5,1,N
IDCJAC0011,15135,2020,03,06,21.8,1,N
IDCJAC0011,15135,2020,03,07,22.0,1,N
IDCJAC0011,15135,2020,03,08,22.4,1,N
IDCJAC0011,15135,2020,03,09,22.7,1,N
IDCJAC0011,15135,2020,03,10,22.5,1,N
IDCJAC0011,15135,2020,03,11,24.0,1,N
IDCJAC0011,15135,2020,03,12,25.5,1,N
IDCJAC0011,15135,2020,03,13,23.6,1,N
IDCJAC0011,15135,2020,03,14,25.1,1,N
IDCJAC0011,15135,2020,03,15,24.0,1,N
IDCJAC0011,15135,2020,03,16,22.7,1,N
IDCJAC0011,15135,2020,03,17,24.0,1,Y
IDCJAC0011,15135,2020,03,18,24.8,1,N
IDCJAC0011,15135,2020,03,19,24.8,1,Y
IDCJAC0011,15135,2020,03,20,22.6,1,N
IDCJAC0011,15135,2020,03,21,22.3,1,N
IDCJAC0011,15135,2020,03,22,23.2,1,N
IDCJAC0011,15135,2020,03,23,24.3,1,N
IDCJAC0011,15135,2020,03,24,25.2,1,N
IDCJAC0011,15135,2020,03,25,24.7,1,N
IDCJAC0011,15135,2020,03,26,23.5,1,N
IDCJAC0011,15135,2020,03,27,25.5,1,N
IDCJAC0011,15135,2020,03,28,24.1,1,N
IDCJAC0011,15135,2020,03,29,24.1,1,N
IDCJAC0011,15135,2020,03,30,23.4,1,N
IDCJAC0011,15135,2020,03,31,25.4,1,N
IDCJAC0011,15135,2020,04,01,24.9,1,Y
IDCJAC0011,15135,2020,04,02,26.2,1,Y
IDCJAC0011,15135,2020,04,03,24.7,1,Y
IDCJAC0011,15135,2020,04,04,27.3,1,Y
IDCJAC0011,15135,2020,04,05,20.6,1,Y
IDCJAC0011,15135,2020,04,06,19.9,1,Y
IDCJAC0011,15135,2020,04,07,19.7,1,Y
IDCJAC0011,15135,2020,04,08,21.2,1,Y
IDCJAC0011,15135,2020,04,09,23.2,1,Y
IDCJAC0011,15135,2020,04,10,21.3,1,Y
IDCJAC0011,15135,2020,04,11,21.6,1,Y
IDCJAC0011,15135,2020,04,12,22.7,1,Y
IDCJAC0011,15135,2020,04,13,19.8,1,Y
IDCJAC0011,15135,2020,04,14,22.3,1,Y
IDCJAC0011,15135,2020,04,15,21.7,1,Y
IDCJAC0011,15135,2020,04,16,19.7,1,Y
IDCJAC0011,15135,2020,04,17,22.6,1,Y
IDCJAC0011,15135,2020,04,18,24.0,1,Y
IDCJAC0011,15135,2020,04,19,23.0,1,Y
IDCJAC0011,15135,2020,04,20,23.6,1,Y
IDCJAC0011,15135,2020,04,21,23.5,1,Y
IDCJAC0011,15135,2020,04,22,25.2,1,Y
IDCJAC0011,15135,2020,04,23,24.8,1,Y
IDCJAC0011,15135,2020,04,24,24.1,1,Y
IDCJAC0011,15135,2020,04,25,23.6,1,Y
IDCJAC0011,15135,2020,04,26,23.2,1,Y
IDCJAC0011,15135,2020,04,27,23.8,1,Y
IDCJAC0011,15135,2020,04,28,22.7,1,Y
IDCJAC0011,15135,2020,04,29,22.8,1,Y
IDCJAC0011,15135,2020,04,30,22.7,1,Y
IDCJAC0011,15135,2020,05,01,13.4,1,N
IDCJAC0011,15135,2020,05,02,13.1,1,N
IDCJAC0011,15135,2020,05,03,13.7,1,N
IDCJAC0011,15135,2020,05,04,15.0,1,N
IDCJAC0011,15135,2020,05,05,14.9,1,N
IDCJAC0011,15135,2020,05,06,15.3,1,N
IDCJAC0011,15135,2020,05,07,16.9,1,N
IDCJAC0011,15135,2020,05,08,18.6,1,N
IDCJAC0011,15135,2020,05,09,18.2,1,N
IDCJAC0011,15135,2020,05,10,18.2,1,N
IDCJAC0011,15135,2020,05,11,14.3,1,N
IDCJAC0011,15135,2020,05,12,14.5,1,N
IDCJAC0011,15135,2020,05,13,16.4,1,N
IDCJAC0011,15135,2020,05,14,15.3,1,N
IDCJAC0011,15135,2020,05,15,15.3,1,Y
IDCJAC0011,15135,2020,05,16,16.4,1,N
IDCJAC0011,15135,2020,05,17,17.0,1,N
IDCJAC0011,15135,2020,05,18,17.3,1,N
IDCJAC0011,15135,2020,05,19,18.7,1,N
IDCJAC0011,15135,2020,05,20,21.9,1,N
IDCJAC0011,15135,2020,05,21,14.5,1,N
IDCJAC0011,15135,2020,05,22,13.9,1,N
IDCJAC0011,15135,2020,05,23,6.7,1,N
IDCJAC0011,15135,2020,05,24,8.9,1,N
IDCJAC0011,15135,2020,05,25,10.4,1,N
IDCJAC0011,15135,2020,05,26,10.1,1,N
IDCJAC0011,15135,2020,05,27,16.0,1,N
IDCJAC0011,15135,2020,05,28,16.8,1,N
IDCJAC0011,15135,2020,05,29,16.6,1,N
IDCJAC0011,15135,2020,05,30,17.3,1,N
IDCJAC0011,15135,2020,05,31,18.4,1,N
IDCJAC0011,15135,2020,06,01,18.2,1,N
IDCJAC0011,15135,2020,06,02,15.1,1,N
IDCJAC0011,15135,2020,06,03,12.2,1,N
IDCJAC0011,15135,2020,06,04,13.0,1,N
IDCJAC0011,15135,2020,06,05,12.4,1,N
IDCJAC0011,15135,2020,06,06,14.4,1,N
IDCJAC0011,15135,2020,06,07,15.1,1,N
IDCJAC0011,15135,2020,06,08,13.3,1,N
IDCJAC0011,15135,2020,06,09,14.4,1,N
IDCJAC0011,15135,2020,06,10,16.6,1,N
IDCJAC0011,15135,2020,06,11,17.0,1,N
IDCJAC0011,15135,2020,06,12,14.8,1,N
IDCJAC0011,15135,2020,06,13,14.9,1,N
IDCJAC0011,15135,2020,06,14,16.9,1,N
IDCJAC0011,15135,2020,06,15,15.8,1,N
IDCJAC0011,15135,2020,06,16,14.3,1,Y
IDCJAC0011,15135,2020,06,17,14.0,1,Y
IDCJAC0011,15135,2020,06,18,15.1,1,N
IDCJAC0011,15135,2020,06,19,17.3,1,N
IDCJAC0011,15135,2020,06,20,17.8,1,N
IDCJAC0011,15135,2020,06,21,16.0,1,N
IDCJAC0011,15135,2020,06,22,10.7,1,N
IDCJAC0011,15135,2020,06,23,9.6,1,Y
IDCJAC0011,15135,2020,06,24,7.8,1,N
IDCJAC0011,15135,2020,06,25,8.7,1,Y
IDCJAC0011,15135,2020,06,26,10.9,1,N
IDCJAC0011,15135,2020,06,27,11.9,1,Y
IDCJAC0011,15135,2020,06,28,12.3,1,N
IDCJAC0011,15135,2020,06,29,12.4,1,N
IDCJAC0011,15135,2020,06,30,13.8,1,N
IDCJAC0011,15135,2020,07,01,15.0,1,N
IDCJAC0011,15135,2020,07,02,15.6,1,Y
IDCJAC0011,15135,2020,07,03,17.6,1,N
IDCJAC0011,15135,2020,07,04,12.8,1,N
IDCJAC0011,15135,2020,07,05,12.3,1,N
IDCJAC0011,15135,2020,07,06,10.4,1,N
IDCJAC0011,15135,2020,07,07,10.9,1,N
IDCJAC0011,15135,2020,07,08,11.8,1,N
IDCJAC0011,15135,2020,07,09,13.1,1,N
IDCJAC0011,15135,2020,07,10,15.4,1,N
IDCJAC0011,15135,2020,07,11,15.4,1,N
IDCJAC0011,15135,2020,07,12,12.7,1,N
IDCJAC0011,15135,2020,07,13,9.6,1,N
IDCJAC0011,15135,2020,07,14,8.6,1,N
IDCJAC0011,15135,2020,07,15,9.8,1,N
IDCJAC0011,15135,2020,07,16,11.3,1,N
IDCJAC0011,15135,2020,07,17,11.0,1,N
IDCJAC0011,15135,2020,07,18,12.4,1,N
IDCJAC0011,15135,2020,07,19,13.0,1,N
IDCJAC0011,15135,2020,07,20,16.1,1,N
IDCJAC0011,15135,2020,07,21,12.5,1,N
IDCJAC0011,15135,2020,07,22,10.8,1,N
IDCJAC0011,15135,2020,07,23,11.5,1,N
IDCJAC0011,15135,2020,07,24,13.9,1,N
IDCJAC0011,15135,2020,07,25,14.5,1,N
IDCJAC0011,15135,2020,07,26,13.0,1,N
IDCJAC0011,15135,2020,07,27,11.7,1,N
IDCJAC0011,15135,2020,07,28,10.8,1,N
IDCJAC0011,15135,2020,07,29,9.6,1,N
IDCJAC0011,15135,2020,07,30,12.3,1,N
IDCJAC0011,15135,2020,07,31,13.5,1,N
IDCJAC0011,15135,2020,08,01,12.5,1,N
IDCJAC0011,15135,2020,08,02,13.4,1,N
IDCJAC0011,15135,2020,08,03,14.9,1,N
IDCJAC0011,15135,2020,08,04,15.6,1,N
IDCJAC0011,15135,2020,08,05,17.0,1,N
IDCJAC0011,15135,2020,08,06,19.7,1,N
IDCJAC0011,15135,2020,08,07,9.1,1,N
IDCJAC0011,15135,2020,08,08,11.4,1,N
IDCJAC0011,15135,2020,08,09,11.8,1,N
IDCJAC0011,15135,2020,08,10,11.5,1,Y
IDCJAC0011,15135,2020,08,11,14.2,1,N
IDCJAC0011,15135,2020,08,12,18.0,1,Y
IDCJAC0011,15135,2020,08,13,18.8,1,N
IDCJAC0011,15135,2020,08,14,21.1,1,N
IDCJAC0011,15135,2020,08,15,16.5,1,N
IDCJAC0011,15135,2020,08,16,16.2,1,N
IDCJAC0011,15135,2020,08,17,19.3,1,N
IDCJAC0011,15135,2020,08,18,20.0,1,N
IDCJAC0011,15135,2020,08,19,20.3,1,N
IDCJAC0011,15135,2020,08,20,17.6,1,N
IDCJAC0011,15135,2020,08,21,16.1,1,N
IDCJAC0011,15135,2020,08,22,16.5,1,N
IDCJAC0011,15135,2020,08,23,15.6,1,N
IDCJAC0011,15135,2020,08,24,14.7,1,N
IDCJAC0011,15135,2020,08,25,16.9,1,N
IDCJAC0011,15135,2020,08,26,18.6,1,N
IDCJAC0011,15135,2020,08,27,18.4,1,N
IDCJAC0011,15135,2020,08,28,18.2,1,N
IDCJAC0011,15135,2020,08,29,16.3,1,N
IDCJAC0011,15135,2020,08,30,16.2,1,N
IDCJAC0011,15135,2020,08,31,18.8,1,N
IDCJAC0011,15135,2020,09,01,19.4,1,N
IDCJAC0011,15135,2020,09,02,18.3,1,N
IDCJAC0011,15135,2020,09,03,18.8,1,N
IDCJAC0011,15135,2020,09,04,22.5,1,N
IDCJAC0011,15135,2020,09,05,22.1,1,Y
IDCJAC0011,15135,2020,09,06,20.9,1,N
IDCJAC0011,15135,2020,09,07,19.4,1,N
IDCJAC0011,15135,2020,09,08,21.0,1,Y
IDCJAC0011,15135,2020,09,09,20.0,1,N
IDCJAC0011,15135,2020,09,10,19.4,1,N
IDCJAC0011,15135,2020,09,11,20.4,1,N
IDCJAC0011,15135,2020,09,12,20.9,1,N
IDCJAC0011,15135,2020,09,13,19.5,1,N
IDCJAC0011,15135,2020,09,14,19.7,1,N
IDCJAC0011,15135,2020,09,15,20.2,1,N
IDCJAC0011,15135,2020,09,16,20.4,1,N
