Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,8051,2014,01,01,26.1,1,Y
IDCJAC0010,8051,2014,01,02,26.6,1,Y
IDCJAC0010,8051,2014,01,03,27.5,1,Y
IDCJAC0010,8051,2014,01,04,28.6,1,Y
IDCJAC0010,8051,2014,01,05,32.9,1,Y
IDCJAC0010,8051,2014,01,06,33.0,1,Y
IDCJAC0010,8051,2014,01,07,28.4,1,Y
IDCJAC0010,8051,2014,01,08,28.6,1,Y
IDCJAC0010,8051,2014,01,09,28.6,1,Y
IDCJAC0010,8051,2014,01,10,39.7,1,Y
IDCJAC0010,8051,2014,01,11,46.1,1,Y
IDCJAC0010,8051,2014,01,12,34.4,1,Y
IDCJAC0010,8051,2014,01,13,28.7,1,Y
IDCJAC0010,8051,2014,01,14,26.6,1,Y
IDCJAC0010,8051,2014,01,15,26.8,1,Y
IDCJAC0010,8051,2014,01,16,26.8,1,Y
IDCJAC0010,8051,2014,01,17,35.2,1,Y
IDCJAC0010,8051,2014,01,18,42.2,1,Y
IDCJAC0010,8051,2014,01,19,41.9,1,Y
IDCJAC0010,8051,2014,01,20,43.1,1,Y
IDCJAC0010,8051,2014,01,21,43.0,1,Y
IDCJAC0010,8051,2014,01,22,32.1,1,Y
IDCJAC0010,8051,2014,01,23,31.1,1,Y
IDCJAC0010,8051,2014,01,24,34.0,1,Y
IDCJAC0010,8051,2014,01,25,37.6,1,Y
IDCJAC0010,8051,2014,01,26,30.8,1,Y
IDCJAC0010,8051,2014,01,27,26.9,1,Y
IDCJAC0010,8051,2014,01,28,32.8,1,Y
IDCJAC0010,8051,2014,01,29,39.9,1,Y
IDCJAC0010,8051,2014,01,30,38.3,1,Y
IDCJAC0010,8051,2014,01,31,28.6,1,Y
IDCJAC0010,8051,2014,02,01,28.0,1,Y
IDCJAC0010,8051,2014,02,02,28.8,1,Y
IDCJAC0010,8051,2014,02,03,40.4,1,Y
IDCJAC0010,8051,2014,02,04,40.8,1,Y
IDCJAC0010,8051,2014,02,05,34.3,1,Y
IDCJAC0010,8051,2014,02,06,31.5,1,Y
IDCJAC0010,8051,2014,02,07,29.6,1,Y
IDCJAC0010,8051,2014,02,08,30.1,1,Y
IDCJAC0010,8051,2014,02,09,38.9,1,Y
IDCJAC0010,8051,2014,02,10,27.3,1,Y
IDCJAC0010,8051,2014,02,11,32.7,1,Y
IDCJAC0010,8051,2014,02,12,38.2,1,Y
IDCJAC0010,8051,2014,02,13,36.6,1,Y
IDCJAC0010,8051,2014,02,14,36.9,1,Y
IDCJAC0010,8051,2014,02,15,32.2,1,Y
IDCJAC0010,8051,2014,02,16,28.8,1,Y
IDCJAC0010,8051,2014,02,17,33.6,1,Y
IDCJAC0010,8051,2014,02,18,41.4,1,Y
IDCJAC0010,8051,2014,02,19,44.1,1,Y
IDCJAC0010,8051,2014,02,20,42.3,1,Y
IDCJAC0010,8051,2014,02,21,38.2,1,Y
IDCJAC0010,8051,2014,02,22,38.4,1,Y
IDCJAC0010,8051,2014,02,23,34.0,1,Y
IDCJAC0010,8051,2014,02,24,34.7,1,Y
IDCJAC0010,8051,2014,02,25,33.9,1,Y
IDCJAC0010,8051,2014,02,26,36.0,1,Y
IDCJAC0010,8051,2014,02,27,39.4,1,Y
IDCJAC0010,8051,2014,02,28,41.0,1,Y
IDCJAC0010,8051,2014,03,01,40.3,1,Y
IDCJAC0010,8051,2014,03,02,40.9,1,Y
IDCJAC0010,8051,2014,03,03,28.6,1,Y
IDCJAC0010,8051,2014,03,04,29.4,1,Y
IDCJAC0010,8051,2014,03,05,36.0,1,Y
IDCJAC0010,8051,2014,03,06,32.8,1,Y
IDCJAC0010,8051,2014,03,07,27.9,1,Y
IDCJAC0010,8051,2014,03,08,27.0,1,Y
IDCJAC0010,8051,2014,03,09,26.7,1,Y
IDCJAC0010,8051,2014,03,10,28.1,1,Y
IDCJAC0010,8051,2014,03,11,36.1,1,Y
IDCJAC0010,8051,2014,03,12,40.6,1,Y
IDCJAC0010,8051,2014,03,13,35.9,1,Y
IDCJAC0010,8051,2014,03,14,26.6,1,Y
IDCJAC0010,8051,2014,03,15,29.2,1,Y
IDCJAC0010,8051,2014,03,16,29.3,1,Y
IDCJAC0010,8051,2014,03,17,27.0,1,Y
IDCJAC0010,8051,2014,03,18,30.8,1,Y
IDCJAC0010,8051,2014,03,19,33.0,1,Y
IDCJAC0010,8051,2014,03,20,31.4,1,Y
IDCJAC0010,8051,2014,03,21,34.5,1,Y
IDCJAC0010,8051,2014,03,22,29.8,1,Y
IDCJAC0010,8051,2014,03,23,32.3,1,Y
IDCJAC0010,8051,2014,03,24,36.5,1,Y
IDCJAC0010,8051,2014,03,25,33.8,1,Y
IDCJAC0010,8051,2014,03,26,29.5,1,Y
IDCJAC0010,8051,2014,03,27,29.4,1,Y
IDCJAC0010,8051,2014,03,28,35.6,1,Y
IDCJAC0010,8051,2014,03,29,24.8,1,Y
IDCJAC0010,8051,2014,03,30,25.4,1,Y
IDCJAC0010,8051,2014,03,31,25.9,1,Y
IDCJAC0010,8051,2014,04,01,27.0,1,Y
IDCJAC0010,8051,2014,04,02,29.2,1,Y
IDCJAC0010,8051,2014,04,03,32.4,1,Y
IDCJAC0010,8051,2014,04,04,33.9,1,Y
IDCJAC0010,8051,2014,04,05,28.8,1,Y
IDCJAC0010,8051,2014,04,06,25.8,1,Y
IDCJAC0010,8051,2014,04,07,26.2,1,Y
IDCJAC0010,8051,2014,04,08,31.1,1,Y
IDCJAC0010,8051,2014,04,09,33.9,1,Y
IDCJAC0010,8051,2014,04,10,35.3,1,Y
IDCJAC0010,8051,2014,04,11,36.1,1,Y
IDCJAC0010,8051,2014,04,12,33.4,1,Y
IDCJAC0010,8051,2014,04,13,36.0,1,Y
IDCJAC0010,8051,2014,04,14,35.7,1,Y
IDCJAC0010,8051,2014,04,15,30.3,1,Y
IDCJAC0010,8051,2014,04,16,27.8,1,Y
IDCJAC0010,8051,2014,04,17,26.7,1,Y
IDCJAC0010,8051,2014,04,18,35.0,1,Y
IDCJAC0010,8051,2014,04,19,26.2,1,Y
IDCJAC0010,8051,2014,04,20,25.3,1,Y
IDCJAC0010,8051,2014,04,21,27.1,1,Y
IDCJAC0010,8051,2014,04,22,27.7,1,Y
IDCJAC0010,8051,2014,04,23,25.4,1,Y
IDCJAC0010,8051,2014,04,24,23.9,1,Y
IDCJAC0010,8051,2014,04,25,23.8,1,Y
IDCJAC0010,8051,2014,04,26,26.9,1,Y
IDCJAC0010,8051,2014,04,27,24.3,1,Y
IDCJAC0010,8051,2014,04,28,21.6,1,Y
IDCJAC0010,8051,2014,04,29,22.1,1,Y
IDCJAC0010,8051,2014,04,30,24.3,1,Y
IDCJAC0010,8051,2014,05,01,23.2,1,Y
IDCJAC0010,8051,2014,05,02,23.2,1,Y
IDCJAC0010,8051,2014,05,03,25.1,1,Y
IDCJAC0010,8051,2014,05,04,21.7,1,Y
IDCJAC0010,8051,2014,05,05,20.6,1,Y
IDCJAC0010,8051,2014,05,06,24.1,1,Y
IDCJAC0010,8051,2014,05,07,23.1,1,Y
IDCJAC0010,8051,2014,05,08,21.1,1,Y
IDCJAC0010,8051,2014,05,09,22.2,1,Y
IDCJAC0010,8051,2014,05,10,22.8,1,Y
IDCJAC0010,8051,2014,05,11,24.8,1,Y
IDCJAC0010,8051,2014,05,12,22.8,1,Y
IDCJAC0010,8051,2014,05,13,24.2,1,Y
IDCJAC0010,8051,2014,05,14,23.3,1,Y
IDCJAC0010,8051,2014,05,15,23.6,1,Y
IDCJAC0010,8051,2014,05,16,23.0,1,Y
IDCJAC0010,8051,2014,05,17,24.5,1,Y
IDCJAC0010,8051,2014,05,18,24.1,1,Y
IDCJAC0010,8051,2014,05,19,23.9,1,Y
IDCJAC0010,8051,2014,05,20,23.2,1,Y
IDCJAC0010,8051,2014,05,21,24.0,1,Y
IDCJAC0010,8051,2014,05,22,23.4,1,Y
IDCJAC0010,8051,2014,05,23,22.9,1,Y
IDCJAC0010,8051,2014,05,24,21.0,1,Y
IDCJAC0010,8051,2014,05,25,21.5,1,Y
IDCJAC0010,8051,2014,05,26,21.6,1,Y
IDCJAC0010,8051,2014,05,27,23.0,1,Y
IDCJAC0010,8051,2014,05,28,21.4,1,Y
IDCJAC0010,8051,2014,05,29,21.4,1,Y
IDCJAC0010,8051,2014,05,30,21.9,1,Y
IDCJAC0010,8051,2014,05,31,21.3,1,Y
IDCJAC0010,8051,2014,06,01,22.9,1,Y
IDCJAC0010,8051,2014,06,02,23.5,1,Y
IDCJAC0010,8051,2014,06,03,23.5,1,Y
IDCJAC0010,8051,2014,06,04,26.2,1,Y
IDCJAC0010,8051,2014,06,05,28.2,1,Y
IDCJAC0010,8051,2014,06,06,25.4,1,Y
IDCJAC0010,8051,2014,06,07,25.1,1,Y
IDCJAC0010,8051,2014,06,08,22.8,1,Y
IDCJAC0010,8051,2014,06,09,24.8,1,Y
IDCJAC0010,8051,2014,06,10,18.5,1,Y
IDCJAC0010,8051,2014,06,11,17.7,1,Y
IDCJAC0010,8051,2014,06,12,18.1,1,Y
IDCJAC0010,8051,2014,06,13,19.3,1,Y
IDCJAC0010,8051,2014,06,14,19.8,1,Y
IDCJAC0010,8051,2014,06,15,21.4,1,Y
IDCJAC0010,8051,2014,06,16,23.0,1,Y
IDCJAC0010,8051,2014,06,17,23.2,1,Y
IDCJAC0010,8051,2014,06,18,19.6,1,Y
IDCJAC0010,8051,2014,06,19,20.6,1,Y
