Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,86282,2020,01,01,9.3,1,N
IDCJAC0011,86282,2020,01,02,10.1,1,N
IDCJAC0011,86282,2020,01,03,11.4,1,N
IDCJAC0011,86282,2020,01,04,18.3,1,N
IDCJAC0011,86282,2020,01,05,12.0,1,N
IDCJAC0011,86282,2020,01,06,11.5,1,N
IDCJAC0011,86282,2020,01,07,11.8,1,N
IDCJAC0011,86282,2020,01,08,16.0,1,N
IDCJAC0011,86282,2020,01,09,16.3,1,N
IDCJAC0011,86282,2020,01,10,19.2,1,N
IDCJAC0011,86282,2020,01,11,11.4,1,N
IDCJAC0011,86282,2020,01,12,11.7,1,N
IDCJAC0011,86282,2020,01,13,11.1,1,N
IDCJAC0011,86282,2020,01,14,16.2,1,N
IDCJAC0011,86282,2020,01,15,18.8,1,N
IDCJAC0011,86282,2020,01,16,14.9,1,N
IDCJAC0011,86282,2020,01,17,11.6,1,N
IDCJAC0011,86282,2020,01,18,11.8,1,N
IDCJAC0011,86282,2020,01,19,16.5,1,N
IDCJAC0011,86282,2020,01,20,16.7,1,N
IDCJAC0011,86282,2020,01,21,13.3,1,N
IDCJAC0011,86282,2020,01,22,13.1,1,N
IDCJAC0011,86282,2020,01,23,12.4,1,N
IDCJAC0011,86282,2020,01,24,10.2,1,N
IDCJAC0011,86282,2020,01,25,12.4,1,N
IDCJAC0011,86282,2020,01,26,13.0,1,N
IDCJAC0011,86282,2020,01,27,10.8,1,N
IDCJAC0011,86282,2020,01,28,11.6,1,N
IDCJAC0011,86282,2020,01,29,16.0,1,N
IDCJAC0011,86282,2020,01,30,14.9,1,N
IDCJAC0011,86282,2020,01,31,20.3,1,N
IDCJAC0011,86282,2020,02,01,23.0,1,N
IDCJAC0011,86282,2020,02,02,12.9,1,N
IDCJAC0011,86282,2020,02,03,11.7,1,N
IDCJAC0011,86282,2020,02,04,10.7,1,N
IDCJAC0011,86282,2020,02,05,10.9,1,N
IDCJAC0011,86282,2020,02,06,14.4,1,N
IDCJAC0011,86282,2020,02,07,15.7,1,N
IDCJAC0011,86282,2020,02,08,15.6,1,N
IDCJAC0011,86282,2020,02,09,15.6,1,N
IDCJAC0011,86282,2020,02,10,17.3,1,N
IDCJAC0011,86282,2020,02,11,17.3,1,N
IDCJAC0011,86282,2020,02,12,17.5,1,N
IDCJAC0011,86282,2020,02,13,17.4,1,N
IDCJAC0011,86282,2020,02,14,19.1,1,N
IDCJAC0011,86282,2020,02,15,18.0,1,N
IDCJAC0011,86282,2020,02,16,15.2,1,N
IDCJAC0011,86282,2020,02,17,13.8,1,N
IDCJAC0011,86282,2020,02,18,16.4,1,N
IDCJAC0011,86282,2020,02,19,12.8,1,N
IDCJAC0011,86282,2020,02,20,12.1,1,N
IDCJAC0011,86282,2020,02,21,11.8,1,N
IDCJAC0011,86282,2020,02,22,9.3,1,N
IDCJAC0011,86282,2020,02,23,10.9,1,N
IDCJAC0011,86282,2020,02,24,15.4,1,N
IDCJAC0011,86282,2020,02,25,16.9,1,N
IDCJAC0011,86282,2020,02,26,12.9,1,N
IDCJAC0011,86282,2020,02,27,7.2,1,N
IDCJAC0011,86282,2020,02,28,12.7,1,N
IDCJAC0011,86282,2020,02,29,11.7,1,N
IDCJAC0011,86282,2020,03,01,10.8,1,N
IDCJAC0011,86282,2020,03,02,11.8,1,N
IDCJAC0011,86282,2020,03,03,12.4,1,N
IDCJAC0011,86282,2020,03,04,12.5,1,N
IDCJAC0011,86282,2020,03,05,14.8,1,N
IDCJAC0011,86282,2020,03,06,13.9,1,N
IDCJAC0011,86282,2020,03,07,13.4,1,N
IDCJAC0011,86282,2020,03,08,11.9,1,N
IDCJAC0011,86282,2020,03,09,10.0,1,N
IDCJAC0011,86282,2020,03,10,9.0,1,N
IDCJAC0011,86282,2020,03,11,12.2,1,N
IDCJAC0011,86282,2020,03,12,17.2,1,N
IDCJAC0011,86282,2020,03,13,17.9,1,N
IDCJAC0011,86282,2020,03,14,11.3,1,N
IDCJAC0011,86282,2020,03,15,11.2,1,N
IDCJAC0011,86282,2020,03,16,7.5,1,N
IDCJAC0011,86282,2020,03,17,12.3,1,N
IDCJAC0011,86282,2020,03,18,18.0,1,N
IDCJAC0011,86282,2020,03,19,17.9,1,N
IDCJAC0011,86282,2020,03,20,12.2,1,N
IDCJAC0011,86282,2020,03,21,11.1,1,N
IDCJAC0011,86282,2020,03,22,9.6,1,N
IDCJAC0011,86282,2020,03,23,8.3,1,N
IDCJAC0011,86282,2020,03,24,6.1,1,N
IDCJAC0011,86282,2020,03,25,10.9,1,N
IDCJAC0011,86282,2020,03,26,10.8,1,N
IDCJAC0011,86282,2020,03,27,9.5,1,N
