Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,36031,2020,01,01,43.9,1,N
IDCJAC0010,36031,2020,01,02,43.1,1,Y
IDCJAC0010,36031,2020,01,03,41.3,1,Y
IDCJAC0010,36031,2020,01,04,40.2,1,N
IDCJAC0010,36031,2020,01,05,40.2,1,N
IDCJAC0010,36031,2020,01,06,40.3,1,N
IDCJAC0010,36031,2020,01,07,40.3,1,N
IDCJAC0010,36031,2020,01,08,40.0,1,N
IDCJAC0010,36031,2020,01,09,41.3,1,N
IDCJAC0010,36031,2020,01,10,40.8,1,N
IDCJAC0010,36031,2020,01,11,41.9,1,N
IDCJAC0010,36031,2020,01,12,40.0,1,Y
IDCJAC0010,36031,2020,01,13,40.9,1,N
IDCJAC0010,36031,2020,01,14,40.7,1,N
IDCJAC0010,36031,2020,01,15,39.5,1,N
IDCJAC0010,36031,2020,01,16,40.2,1,N
IDCJAC0010,36031,2020,01,17,39.2,1,N
IDCJAC0010,36031,2020,01,18,40.0,1,N
IDCJAC0010,36031,2020,01,19,43.2,1,N
IDCJAC0010,36031,2020,01,20,41.2,1,N
IDCJAC0010,36031,2020,01,21,40.4,1,N
IDCJAC0010,36031,2020,01,22,39.5,1,N
IDCJAC0010,36031,2020,01,23,39.3,1,N
IDCJAC0010,36031,2020,01,24,32.6,1,N
IDCJAC0010,36031,2020,01,25,34.0,1,N
IDCJAC0010,36031,2020,01,26,34.8,1,N
IDCJAC0010,36031,2020,01,27,26.9,1,N
IDCJAC0010,36031,2020,01,28,33.2,1,N
IDCJAC0010,36031,2020,01,29,35.0,1,N
IDCJAC0010,36031,2020,01,30,37.2,1,N
IDCJAC0010,36031,2020,01,31,36.6,1,N
IDCJAC0010,36031,2020,02,01,37.0,1,N
IDCJAC0010,36031,2020,02,02,36.9,1,N
IDCJAC0010,36031,2020,02,03,39.7,1,N
IDCJAC0010,36031,2020,02,04,36.7,1,N
IDCJAC0010,36031,2020,02,05,35.2,1,Y
IDCJAC0010,36031,2020,02,06,35.1,1,N
IDCJAC0010,36031,2020,02,07,36.4,1,N
IDCJAC0010,36031,2020,02,08,36.3,1,Y
IDCJAC0010,36031,2020,02,09,38.0,1,N
IDCJAC0010,36031,2020,02,10,38.7,1,N
IDCJAC0010,36031,2020,02,11,36.4,1,N
IDCJAC0010,36031,2020,02,12,37.7,1,N
IDCJAC0010,36031,2020,02,13,,,
IDCJAC0010,36031,2020,02,14,39.5,1,Y
IDCJAC0010,36031,2020,02,15,42.1,1,N
IDCJAC0010,36031,2020,02,16,42.2,1,N
IDCJAC0010,36031,2020,02,17,40.7,1,N
IDCJAC0010,36031,2020,02,18,40.9,1,N
IDCJAC0010,36031,2020,02,19,39.9,1,Y
IDCJAC0010,36031,2020,02,20,41.5,1,N
IDCJAC0010,36031,2020,02,21,41.1,1,N
IDCJAC0010,36031,2020,02,22,37.0,1,N
IDCJAC0010,36031,2020,02,23,32.5,1,N
IDCJAC0010,36031,2020,02,24,33.7,1,N
IDCJAC0010,36031,2020,02,25,32.4,1,N
IDCJAC0010,36031,2020,02,26,36.4,1,Y
IDCJAC0010,36031,2020,02,27,39.5,1,N
IDCJAC0010,36031,2020,02,28,38.7,1,N
IDCJAC0010,36031,2020,02,29,38.6,1,N
IDCJAC0010,36031,2020,03,01,38.7,1,N
IDCJAC0010,36031,2020,03,02,38.9,1,Y
IDCJAC0010,36031,2020,03,03,38.3,1,N
IDCJAC0010,36031,2020,03,04,35.0,1,N
IDCJAC0010,36031,2020,03,05,32.1,1,N
IDCJAC0010,36031,2020,03,06,33.3,1,Y
IDCJAC0010,36031,2020,03,07,33.9,1,N
IDCJAC0010,36031,2020,03,08,36.6,1,N
IDCJAC0010,36031,2020,03,09,33.2,1,N
IDCJAC0010,36031,2020,03,10,35.1,1,N
IDCJAC0010,36031,2020,03,11,34.8,1,Y
IDCJAC0010,36031,2020,03,12,33.8,1,N
IDCJAC0010,36031,2020,03,13,33.8,1,N
IDCJAC0010,36031,2020,03,14,33.7,1,N
IDCJAC0010,36031,2020,03,15,34.3,1,N
IDCJAC0010,36031,2020,03,16,34.6,1,N
IDCJAC0010,36031,2020,03,17,34.0,1,N
IDCJAC0010,36031,2020,03,18,34.3,1,N
IDCJAC0010,36031,2020,03,19,34.2,1,N
IDCJAC0010,36031,2020,03,20,34.6,1,N
IDCJAC0010,36031,2020,03,21,36.4,1,N
IDCJAC0010,36031,2020,03,22,37.4,1,N
IDCJAC0010,36031,2020,03,23,37.6,1,Y
IDCJAC0010,36031,2020,03,24,36.3,1,N
IDCJAC0010,36031,2020,03,25,35.6,1,N
IDCJAC0010,36031,2020,03,26,34.4,1,N
IDCJAC0010,36031,2020,03,27,35.6,1,N
IDCJAC0010,36031,2020,03,28,33.2,1,N
IDCJAC0010,36031,2020,03,29,35.9,1,N
IDCJAC0010,36031,2020,03,30,36.6,1,N
IDCJAC0010,36031,2020,03,31,36.9,1,N
IDCJAC0010,36031,2020,04,01,36.3,1,N
IDCJAC0010,36031,2020,04,02,36.2,1,N
IDCJAC0010,36031,2020,04,03,38.5,1,N
IDCJAC0010,36031,2020,04,04,35.1,1,N
IDCJAC0010,36031,2020,04,05,31.3,1,N
IDCJAC0010,36031,2020,04,06,32.1,1,Y
IDCJAC0010,36031,2020,04,07,34.3,1,N
IDCJAC0010,36031,2020,04,08,34.4,1,N
IDCJAC0010,36031,2020,04,09,33.0,1,N
IDCJAC0010,36031,2020,04,10,34.9,1,N
IDCJAC0010,36031,2020,04,11,34.0,1,N
IDCJAC0010,36031,2020,04,12,33.7,1,N
