Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066062,2019,01,01,31.6,1,Y
IDCJAC0010,066062,2019,01,02,29.8,1,Y
IDCJAC0010,066062,2019,01,03,28.8,1,Y
IDCJAC0010,066062,2019,01,04,32.2,1,Y
IDCJAC0010,066062,2019,01,05,37.8,1,Y
IDCJAC0010,066062,2019,01,06,22.0,1,Y
IDCJAC0010,066062,2019,01,07,25.6,1,Y
IDCJAC0010,066062,2019,01,08,28.4,1,Y
IDCJAC0010,066062,2019,01,09,30.4,1,Y
IDCJAC0010,066062,2019,01,10,22.3,1,Y
IDCJAC0010,066062,2019,01,11,27.9,1,Y
IDCJAC0010,066062,2019,01,12,28.8,1,Y
IDCJAC0010,066062,2019,01,13,27.8,1,Y
IDCJAC0010,066062,2019,01,14,28.4,1,Y
IDCJAC0010,066062,2019,01,15,29.0,1,Y
IDCJAC0010,066062,2019,01,16,30.3,1,Y
IDCJAC0010,066062,2019,01,17,29.0,1,Y
IDCJAC0010,066062,2019,01,18,32.4,1,Y
IDCJAC0010,066062,2019,01,19,26.4,1,Y
IDCJAC0010,066062,2019,01,20,26.6,1,Y
IDCJAC0010,066062,2019,01,21,26.6,1,Y
IDCJAC0010,066062,2019,01,22,29.3,1,Y
IDCJAC0010,066062,2019,01,23,29.8,1,Y
IDCJAC0010,066062,2019,01,24,28.0,1,Y
IDCJAC0010,066062,2019,01,25,30.2,1,Y
IDCJAC0010,066062,2019,01,26,35.1,1,Y
IDCJAC0010,066062,2019,01,27,34.4,1,Y
IDCJAC0010,066062,2019,01,28,30.6,1,Y
IDCJAC0010,066062,2019,01,29,29.6,1,Y
IDCJAC0010,066062,2019,01,30,28.4,1,Y
IDCJAC0010,066062,2019,01,31,39.6,1,Y
IDCJAC0010,066062,2019,02,01,22.4,1,Y
IDCJAC0010,066062,2019,02,02,26.8,1,Y
IDCJAC0010,066062,2019,02,03,29.8,1,Y
IDCJAC0010,066062,2019,02,04,29.5,1,Y
IDCJAC0010,066062,2019,02,05,29.2,1,Y
IDCJAC0010,066062,2019,02,06,28.9,1,Y
IDCJAC0010,066062,2019,02,07,29.2,1,Y
IDCJAC0010,066062,2019,02,08,30.4,1,Y
IDCJAC0010,066062,2019,02,09,31.3,1,Y
IDCJAC0010,066062,2019,02,10,25.7,1,Y
IDCJAC0010,066062,2019,02,11,27.2,1,Y
IDCJAC0010,066062,2019,02,12,36.3,1,Y
IDCJAC0010,066062,2019,02,13,26.8,1,Y
IDCJAC0010,066062,2019,02,14,25.8,1,Y
IDCJAC0010,066062,2019,02,15,27.4,1,Y
IDCJAC0010,066062,2019,02,16,28.1,1,Y
IDCJAC0010,066062,2019,02,17,29.4,1,Y
IDCJAC0010,066062,2019,02,18,29.3,1,Y
IDCJAC0010,066062,2019,02,19,31.2,1,Y
IDCJAC0010,066062,2019,02,20,22.2,1,Y
IDCJAC0010,066062,2019,02,21,22.8,1,Y
IDCJAC0010,066062,2019,02,22,23.1,1,Y
IDCJAC0010,066062,2019,02,23,21.1,1,Y
IDCJAC0010,066062,2019,02,24,26.6,1,Y
IDCJAC0010,066062,2019,02,25,25.7,1,Y
IDCJAC0010,066062,2019,02,26,27.3,1,Y
IDCJAC0010,066062,2019,02,27,27.7,1,Y
IDCJAC0010,066062,2019,02,28,28.6,1,Y
IDCJAC0010,066062,2019,03,01,28.1,1,Y
IDCJAC0010,066062,2019,03,02,27.9,1,Y
IDCJAC0010,066062,2019,03,03,27.9,1,Y
IDCJAC0010,066062,2019,03,04,28.2,1,Y
IDCJAC0010,066062,2019,03,05,28.6,1,Y
IDCJAC0010,066062,2019,03,06,35.6,1,Y
IDCJAC0010,066062,2019,03,07,23.9,1,Y
IDCJAC0010,066062,2019,03,08,27.2,1,Y
IDCJAC0010,066062,2019,03,09,24.3,1,Y
IDCJAC0010,066062,2019,03,10,27.9,1,Y
IDCJAC0010,066062,2019,03,11,28.3,1,Y
IDCJAC0010,066062,2019,03,12,34.6,1,Y
IDCJAC0010,066062,2019,03,13,24.3,1,Y
IDCJAC0010,066062,2019,03,14,26.6,1,Y
IDCJAC0010,066062,2019,03,15,24.1,1,Y
IDCJAC0010,066062,2019,03,16,24.1,1,Y
IDCJAC0010,066062,2019,03,17,20.5,1,Y
IDCJAC0010,066062,2019,03,18,22.1,1,Y
IDCJAC0010,066062,2019,03,19,26.9,1,Y
IDCJAC0010,066062,2019,03,20,27.5,1,Y
IDCJAC0010,066062,2019,03,21,26.6,1,Y
IDCJAC0010,066062,2019,03,22,26.9,1,Y
IDCJAC0010,066062,2019,03,23,27.7,1,Y
IDCJAC0010,066062,2019,03,24,33.0,1,Y
IDCJAC0010,066062,2019,03,25,26.0,1,Y
IDCJAC0010,066062,2019,03,26,26.6,1,Y
IDCJAC0010,066062,2019,03,27,24.3,1,Y
IDCJAC0010,066062,2019,03,28,25.9,1,Y
IDCJAC0010,066062,2019,03,29,26.2,1,Y
IDCJAC0010,066062,2019,03,30,26.5,1,Y
IDCJAC0010,066062,2019,03,31,22.5,1,Y
IDCJAC0010,066062,2019,04,01,20.8,1,Y
IDCJAC0010,066062,2019,04,02,23.4,1,Y
IDCJAC0010,066062,2019,04,03,25.1,1,Y
IDCJAC0010,066062,2019,04,04,23.7,1,Y
IDCJAC0010,066062,2019,04,05,23.7,1,Y
IDCJAC0010,066062,2019,04,06,27.7,1,Y
IDCJAC0010,066062,2019,04,07,25.0,1,Y
IDCJAC0010,066062,2019,04,08,32.5,1,Y
IDCJAC0010,066062,2019,04,09,28.2,1,Y
IDCJAC0010,066062,2019,04,10,21.3,1,Y
IDCJAC0010,066062,2019,04,11,20.6,1,Y
IDCJAC0010,066062,2019,04,12,22.2,1,Y
IDCJAC0010,066062,2019,04,13,26.4,1,Y
IDCJAC0010,066062,2019,04,14,23.9,1,Y
IDCJAC0010,066062,2019,04,15,24.0,1,Y
IDCJAC0010,066062,2019,04,16,25.7,1,Y
IDCJAC0010,066062,2019,04,17,24.8,1,Y
IDCJAC0010,066062,2019,04,18,26.0,1,Y
IDCJAC0010,066062,2019,04,19,26.0,1,Y
IDCJAC0010,066062,2019,04,20,24.8,1,Y
IDCJAC0010,066062,2019,04,21,25.2,1,Y
IDCJAC0010,066062,2019,04,22,25.2,1,Y
IDCJAC0010,066062,2019,04,23,25.5,1,Y
IDCJAC0010,066062,2019,04,24,25.0,1,Y
IDCJAC0010,066062,2019,04,25,26.7,1,Y
IDCJAC0010,066062,2019,04,26,29.5,1,Y
IDCJAC0010,066062,2019,04,27,20.9,1,Y
IDCJAC0010,066062,2019,04,28,23.6,1,Y
