Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86282,2020,01,01,26.3,1,N
IDCJAC0010,86282,2020,01,02,26.4,1,N
IDCJAC0010,86282,2020,01,03,36.9,1,N
IDCJAC0010,86282,2020,01,04,30.2,1,N
IDCJAC0010,86282,2020,01,05,15.7,1,N
IDCJAC0010,86282,2020,01,06,17.3,1,N
IDCJAC0010,86282,2020,01,07,19.9,1,N
IDCJAC0010,86282,2020,01,08,25.9,1,N
IDCJAC0010,86282,2020,01,09,33.7,1,N
IDCJAC0010,86282,2020,01,10,34.1,1,N
IDCJAC0010,86282,2020,01,11,19.5,1,N
IDCJAC0010,86282,2020,01,12,21.6,1,N
IDCJAC0010,86282,2020,01,13,32.7,1,N
IDCJAC0010,86282,2020,01,14,33.9,1,N
IDCJAC0010,86282,2020,01,15,38.3,1,N
IDCJAC0010,86282,2020,01,16,19.6,1,N
IDCJAC0010,86282,2020,01,17,25.3,1,N
IDCJAC0010,86282,2020,01,18,28.8,1,N
IDCJAC0010,86282,2020,01,19,29.1,1,N
IDCJAC0010,86282,2020,01,20,23.8,1,N
IDCJAC0010,86282,2020,01,21,24.2,1,N
IDCJAC0010,86282,2020,01,22,32.5,1,N
IDCJAC0010,86282,2020,01,23,23.6,1,N
IDCJAC0010,86282,2020,01,24,24.1,1,N
IDCJAC0010,86282,2020,01,25,28.0,1,N
IDCJAC0010,86282,2020,01,26,25.2,1,N
IDCJAC0010,86282,2020,01,27,25.1,1,N
IDCJAC0010,86282,2020,01,28,26.0,1,N
IDCJAC0010,86282,2020,01,29,31.6,1,N
IDCJAC0010,86282,2020,01,30,39.3,1,N
IDCJAC0010,86282,2020,01,31,43.6,1,N
IDCJAC0010,86282,2020,02,01,28.8,1,N
IDCJAC0010,86282,2020,02,02,24.4,1,N
IDCJAC0010,86282,2020,02,03,18.8,1,N
IDCJAC0010,86282,2020,02,04,19.6,1,N
IDCJAC0010,86282,2020,02,05,20.6,1,N
IDCJAC0010,86282,2020,02,06,28.4,1,N
IDCJAC0010,86282,2020,02,07,25.8,1,N
IDCJAC0010,86282,2020,02,08,29.9,1,N
IDCJAC0010,86282,2020,02,09,27.7,1,N
IDCJAC0010,86282,2020,02,10,27.6,1,N
IDCJAC0010,86282,2020,02,11,28.2,1,N
IDCJAC0010,86282,2020,02,12,25.8,1,N
IDCJAC0010,86282,2020,02,13,31.2,1,N
IDCJAC0010,86282,2020,02,14,34.2,1,N
IDCJAC0010,86282,2020,02,15,19.0,1,N
