Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,36031,2020,01,01,26.1,1,N
IDCJAC0011,36031,2020,01,02,28.7,1,N
IDCJAC0011,36031,2020,01,03,29.0,1,Y
IDCJAC0011,36031,2020,01,04,27.3,1,N
IDCJAC0011,36031,2020,01,05,25.2,1,N
IDCJAC0011,36031,2020,01,06,25.8,1,N
IDCJAC0011,36031,2020,01,07,28.5,1,N
IDCJAC0011,36031,2020,01,08,27.2,1,N
IDCJAC0011,36031,2020,01,09,28.5,1,N
IDCJAC0011,36031,2020,01,10,28.1,1,N
IDCJAC0011,36031,2020,01,11,27.6,1,N
IDCJAC0011,36031,2020,01,12,32.5,1,N
IDCJAC0011,36031,2020,01,13,29.7,1,Y
IDCJAC0011,36031,2020,01,14,28.5,1,N
IDCJAC0011,36031,2020,01,15,27.9,1,N
IDCJAC0011,36031,2020,01,16,23.7,1,N
IDCJAC0011,36031,2020,01,17,24.4,1,N
IDCJAC0011,36031,2020,01,18,23.9,1,N
IDCJAC0011,36031,2020,01,19,23.2,1,N
IDCJAC0011,36031,2020,01,20,28.8,1,N
IDCJAC0011,36031,2020,01,21,26.1,1,N
IDCJAC0011,36031,2020,01,22,29.1,1,N
IDCJAC0011,36031,2020,01,23,25.6,1,N
IDCJAC0011,36031,2020,01,24,22.5,1,N
IDCJAC0011,36031,2020,01,25,22.3,1,N
IDCJAC0011,36031,2020,01,26,24.8,1,N
IDCJAC0011,36031,2020,01,27,23.8,1,N
IDCJAC0011,36031,2020,01,28,22.3,1,N
IDCJAC0011,36031,2020,01,29,24.6,1,N
IDCJAC0011,36031,2020,01,30,24.8,1,N
IDCJAC0011,36031,2020,01,31,25.9,1,N
IDCJAC0011,36031,2020,02,01,23.8,1,N
IDCJAC0011,36031,2020,02,02,25.8,1,N
IDCJAC0011,36031,2020,02,03,25.1,1,N
IDCJAC0011,36031,2020,02,04,28.0,1,N
IDCJAC0011,36031,2020,02,05,23.0,1,N
IDCJAC0011,36031,2020,02,06,22.8,1,N
IDCJAC0011,36031,2020,02,07,23.9,1,N
IDCJAC0011,36031,2020,02,08,22.9,1,N
IDCJAC0011,36031,2020,02,09,21.6,1,Y
IDCJAC0011,36031,2020,02,10,24.2,1,N
IDCJAC0011,36031,2020,02,11,22.2,1,N
IDCJAC0011,36031,2020,02,12,21.2,1,N
