Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,26021,2020,01,01,8.5,1,Y
IDCJAC0011,26021,2020,01,02,6.7,1,Y
IDCJAC0011,26021,2020,01,03,10.8,1,Y
IDCJAC0011,26021,2020,01,04,16.4,1,Y
IDCJAC0011,26021,2020,01,05,12.1,1,Y
IDCJAC0011,26021,2020,01,06,7.8,1,Y
IDCJAC0011,26021,2020,01,07,7.0,1,Y
IDCJAC0011,26021,2020,01,08,9.2,1,Y
IDCJAC0011,26021,2020,01,09,12.5,1,Y
IDCJAC0011,26021,2020,01,10,19.5,1,Y
IDCJAC0011,26021,2020,01,11,12.2,1,Y
IDCJAC0011,26021,2020,01,12,13.0,1,Y
IDCJAC0011,26021,2020,01,13,8.3,1,Y
IDCJAC0011,26021,2020,01,14,11.8,1,Y
IDCJAC0011,26021,2020,01,15,15.3,1,Y
IDCJAC0011,26021,2020,01,16,12.0,1,Y
IDCJAC0011,26021,2020,01,17,8.7,1,Y
IDCJAC0011,26021,2020,01,18,12.1,1,Y
IDCJAC0011,26021,2020,01,19,13.5,1,Y
IDCJAC0011,26021,2020,01,20,13.8,1,Y
IDCJAC0011,26021,2020,01,21,6.9,1,Y
IDCJAC0011,26021,2020,01,22,12.4,1,Y
IDCJAC0011,26021,2020,01,23,10.5,1,Y
IDCJAC0011,26021,2020,01,24,11.3,1,Y
IDCJAC0011,26021,2020,01,25,14.6,1,Y
IDCJAC0011,26021,2020,01,26,15.6,1,Y
IDCJAC0011,26021,2020,01,27,7.9,1,Y
IDCJAC0011,26021,2020,01,28,8.8,1,Y
IDCJAC0011,26021,2020,01,29,8.9,1,Y
IDCJAC0011,26021,2020,01,30,14.8,1,Y
IDCJAC0011,26021,2020,01,31,20.9,1,Y
IDCJAC0011,26021,2020,02,01,15.1,1,N
IDCJAC0011,26021,2020,02,02,10.0,1,N
IDCJAC0011,26021,2020,02,03,12.1,1,N
IDCJAC0011,26021,2020,02,04,5.1,1,N
IDCJAC0011,26021,2020,02,05,8.1,1,N
IDCJAC0011,26021,2020,02,06,11.9,1,N
IDCJAC0011,26021,2020,02,07,15.1,1,N
IDCJAC0011,26021,2020,02,08,16.7,1,N
IDCJAC0011,26021,2020,02,09,16.1,1,N
IDCJAC0011,26021,2020,02,10,16.5,1,N
IDCJAC0011,26021,2020,02,11,16.0,1,N
IDCJAC0011,26021,2020,02,12,15.5,1,N
IDCJAC0011,26021,2020,02,13,16.2,1,N
IDCJAC0011,26021,2020,02,14,17.4,1,N
IDCJAC0011,26021,2020,02,15,15.1,1,N
IDCJAC0011,26021,2020,02,16,13.8,1,N
IDCJAC0011,26021,2020,02,17,10.7,1,N
IDCJAC0011,26021,2020,02,18,13.9,1,N
IDCJAC0011,26021,2020,02,19,13.3,1,N
IDCJAC0011,26021,2020,02,20,13.2,1,Y
IDCJAC0011,26021,2020,02,21,11.4,1,N
IDCJAC0011,26021,2020,02,22,6.1,1,N
IDCJAC0011,26021,2020,02,23,7.6,1,N
IDCJAC0011,26021,2020,02,24,12.8,1,N
IDCJAC0011,26021,2020,02,25,13.5,1,N
IDCJAC0011,26021,2020,02,26,12.4,1,N
IDCJAC0011,26021,2020,02,27,6.9,1,N
IDCJAC0011,26021,2020,02,28,12.8,1,N
IDCJAC0011,26021,2020,02,29,12.6,1,N
IDCJAC0011,26021,2020,03,01,11.3,1,Y
IDCJAC0011,26021,2020,03,02,10.6,1,Y
IDCJAC0011,26021,2020,03,03,11.0,1,Y
IDCJAC0011,26021,2020,03,04,10.0,1,Y
IDCJAC0011,26021,2020,03,05,14.7,1,Y
IDCJAC0011,26021,2020,03,06,13.2,1,Y
IDCJAC0011,26021,2020,03,07,9.2,1,Y
IDCJAC0011,26021,2020,03,08,7.7,1,Y
IDCJAC0011,26021,2020,03,09,8.0,1,Y
IDCJAC0011,26021,2020,03,10,6.2,1,Y
IDCJAC0011,26021,2020,03,11,11.2,1,Y
IDCJAC0011,26021,2020,03,12,16.6,1,Y
IDCJAC0011,26021,2020,03,13,19.0,1,Y
IDCJAC0011,26021,2020,03,14,9.5,1,Y
IDCJAC0011,26021,2020,03,15,11.4,1,Y
IDCJAC0011,26021,2020,03,16,5.2,1,Y
IDCJAC0011,26021,2020,03,17,11.0,1,Y
IDCJAC0011,26021,2020,03,18,17.6,1,Y
IDCJAC0011,26021,2020,03,19,18.3,1,Y
IDCJAC0011,26021,2020,03,20,14.1,1,Y
IDCJAC0011,26021,2020,03,21,13.2,1,Y
IDCJAC0011,26021,2020,03,22,9.7,1,Y
IDCJAC0011,26021,2020,03,23,6.5,1,Y
IDCJAC0011,26021,2020,03,24,6.0,1,Y
IDCJAC0011,26021,2020,03,25,6.5,1,Y
IDCJAC0011,26021,2020,03,26,5.4,1,Y
IDCJAC0011,26021,2020,03,27,4.9,1,Y
IDCJAC0011,26021,2020,03,28,10.5,1,Y
IDCJAC0011,26021,2020,03,29,17.3,1,Y
IDCJAC0011,26021,2020,03,30,10.3,1,Y
IDCJAC0011,26021,2020,03,31,11.0,1,Y
IDCJAC0011,26021,2020,04,01,7.8,1,N
IDCJAC0011,26021,2020,04,02,11.2,1,N
IDCJAC0011,26021,2020,04,03,12.1,1,N
IDCJAC0011,26021,2020,04,04,10.3,1,N
IDCJAC0011,26021,2020,04,05,8.2,1,N
IDCJAC0011,26021,2020,04,06,8.5,1,N
IDCJAC0011,26021,2020,04,07,9.5,1,N
IDCJAC0011,26021,2020,04,08,9.8,1,Y
IDCJAC0011,26021,2020,04,09,7.7,1,N
IDCJAC0011,26021,2020,04,10,10.2,1,N
IDCJAC0011,26021,2020,04,11,11.1,1,N
IDCJAC0011,26021,2020,04,12,10.4,1,N
IDCJAC0011,26021,2020,04,13,6.4,1,N
IDCJAC0011,26021,2020,04,14,9.7,1,N
