Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66062,2020,04,07,21.9,1,Y
IDCJAC0010,66062,2020,04,08,20.2,1,Y
IDCJAC0010,66062,2020,04,09,22.2,1,Y
IDCJAC0010,66062,2020,04,10,23.6,1,Y
IDCJAC0010,66062,2020,04,11,26.6,1,Y
IDCJAC0010,66062,2020,04,12,22.4,1,Y
IDCJAC0010,66062,2020,04,13,21.5,1,Y
IDCJAC0010,66062,2020,04,14,24.3,1,Y
IDCJAC0010,66062,2020,04,15,25.2,1,Y
IDCJAC0010,66062,2020,04,16,25.8,1,Y
IDCJAC0010,66062,2020,04,17,28.1,1,Y
IDCJAC0010,66062,2020,04,18,24.7,1,Y
IDCJAC0010,66062,2020,04,19,22.6,1,Y
IDCJAC0010,66062,2020,04,20,19.6,1,Y
IDCJAC0010,66062,2020,04,21,25.3,1,Y
IDCJAC0010,66062,2020,04,22,26.5,1,Y
IDCJAC0010,66062,2020,04,23,26.4,1,Y
IDCJAC0010,66062,2020,04,24,29.2,1,Y
IDCJAC0010,66062,2020,04,25,24.9,1,Y
IDCJAC0010,66062,2020,04,26,28.3,1,Y
IDCJAC0010,66062,2020,04,27,21.7,1,Y
IDCJAC0010,66062,2020,04,28,23.0,1,Y
IDCJAC0010,66062,2020,04,29,24.3,1,Y
IDCJAC0010,66062,2020,04,30,21.1,1,Y
IDCJAC0010,66062,2020,05,01,16.9,1,Y
IDCJAC0010,66062,2020,05,02,18.7,1,Y
IDCJAC0010,66062,2020,05,03,20.4,1,Y
IDCJAC0010,66062,2020,05,04,19.9,1,Y
IDCJAC0010,66062,2020,05,05,21.2,1,Y
IDCJAC0010,66062,2020,05,06,24.2,1,Y
IDCJAC0010,66062,2020,05,07,25.0,1,Y
IDCJAC0010,66062,2020,05,08,28.5,1,Y
IDCJAC0010,66062,2020,05,09,27.0,1,Y
IDCJAC0010,66062,2020,05,10,19.4,1,Y
IDCJAC0010,66062,2020,05,11,19.9,1,Y
IDCJAC0010,66062,2020,05,12,21.5,1,Y
IDCJAC0010,66062,2020,05,13,19.4,1,Y
IDCJAC0010,66062,2020,05,14,18.2,1,Y
IDCJAC0010,66062,2020,05,15,15.6,1,Y
IDCJAC0010,66062,2020,05,16,18.5,1,Y
IDCJAC0010,66062,2020,05,17,21.0,1,Y
IDCJAC0010,66062,2020,05,18,19.6,1,Y
IDCJAC0010,66062,2020,05,19,20.6,1,Y
IDCJAC0010,66062,2020,05,20,24.5,1,Y
IDCJAC0010,66062,2020,05,21,18.1,1,Y
IDCJAC0010,66062,2020,05,22,16.0,1,Y
IDCJAC0010,66062,2020,05,23,17.3,1,Y
IDCJAC0010,66062,2020,05,24,17.4,1,Y
IDCJAC0010,66062,2020,05,25,15.6,1,Y
IDCJAC0010,66062,2020,05,26,20.1,1,Y
IDCJAC0010,66062,2020,05,27,20.5,1,Y
IDCJAC0010,66062,2020,05,28,22.8,1,Y
IDCJAC0010,66062,2020,05,29,15.9,1,Y
IDCJAC0010,66062,2020,05,30,19.7,1,Y
IDCJAC0010,66062,2020,05,31,22.6,1,Y
IDCJAC0010,66062,2020,06,01,22.6,1,Y
IDCJAC0010,66062,2020,06,02,15.1,1,Y
IDCJAC0010,66062,2020,06,03,19.5,1,Y
IDCJAC0010,66062,2020,06,04,17.5,1,Y
IDCJAC0010,66062,2020,06,05,19.2,1,Y
IDCJAC0010,66062,2020,06,06,18.9,1,Y
IDCJAC0010,66062,2020,06,07,16.5,1,Y
IDCJAC0010,66062,2020,06,08,17.9,1,Y
IDCJAC0010,66062,2020,06,09,20.0,1,Y
IDCJAC0010,66062,2020,06,10,16.4,1,Y
IDCJAC0010,66062,2020,06,11,21.5,1,Y
IDCJAC0010,66062,2020,06,12,16.3,1,Y
IDCJAC0010,66062,2020,06,13,18.8,1,Y
IDCJAC0010,66062,2020,06,14,21.8,1,Y
IDCJAC0010,66062,2020,06,15,20.3,1,Y
IDCJAC0010,66062,2020,06,16,21.2,1,Y
IDCJAC0010,66062,2020,06,17,17.4,1,Y
IDCJAC0010,66062,2020,06,18,18.5,1,Y
