Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,8315,2020,01,01,28.4,1,N
IDCJAC0010,8315,2020,01,02,27.2,1,N
IDCJAC0010,8315,2020,01,03,25.3,1,N
IDCJAC0010,8315,2020,01,04,32.6,1,N
IDCJAC0010,8315,2020,01,05,38.3,1,N
IDCJAC0010,8315,2020,01,06,35.1,1,N
IDCJAC0010,8315,2020,01,07,29.4,1,N
IDCJAC0010,8315,2020,01,08,28.4,1,N
IDCJAC0010,8315,2020,01,09,29.2,1,N
IDCJAC0010,8315,2020,01,10,38.4,1,N
IDCJAC0010,8315,2020,01,11,38.6,1,N
IDCJAC0010,8315,2020,01,12,34.9,1,N
IDCJAC0010,8315,2020,01,13,31.0,1,N
IDCJAC0010,8315,2020,01,14,31.9,1,N
IDCJAC0010,8315,2020,01,15,32.5,1,N
IDCJAC0010,8315,2020,01,16,31.2,1,N
IDCJAC0010,8315,2020,01,17,30.8,1,N
IDCJAC0010,8315,2020,01,18,31.2,1,N
IDCJAC0010,8315,2020,01,19,37.8,1,N
IDCJAC0010,8315,2020,01,20,28.7,1,N
IDCJAC0010,8315,2020,01,21,27.2,1,N
IDCJAC0010,8315,2020,01,22,27.4,1,N
IDCJAC0010,8315,2020,01,23,28.9,1,N
IDCJAC0010,8315,2020,01,24,34.3,1,N
IDCJAC0010,8315,2020,01,25,31.7,1,N
IDCJAC0010,8315,2020,01,26,32.2,1,N
IDCJAC0010,8315,2020,01,27,38.5,1,N
IDCJAC0010,8315,2020,01,28,31.1,1,N
IDCJAC0010,8315,2020,01,29,27.7,1,N
IDCJAC0010,8315,2020,01,30,26.4,1,N
IDCJAC0010,8315,2020,01,31,27.3,1,N
IDCJAC0010,8315,2020,02,01,33.8,1,N
IDCJAC0010,8315,2020,02,02,42.8,1,N
IDCJAC0010,8315,2020,02,03,44.8,1,N
IDCJAC0010,8315,2020,02,04,32.5,1,N
IDCJAC0010,8315,2020,02,05,29.4,1,N
IDCJAC0010,8315,2020,02,06,29.4,1,N
IDCJAC0010,8315,2020,02,07,29.8,1,N
IDCJAC0010,8315,2020,02,08,29.4,1,N
IDCJAC0010,8315,2020,02,09,28.3,1,N
IDCJAC0010,8315,2020,02,10,34.1,1,N
IDCJAC0010,8315,2020,02,11,36.5,1,N
IDCJAC0010,8315,2020,02,12,34.7,1,N
IDCJAC0010,8315,2020,02,13,29.6,1,N
IDCJAC0010,8315,2020,02,14,29.3,1,N
IDCJAC0010,8315,2020,02,15,28.4,1,N
