Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066062,2019,01,01,21.7,1,Y
IDCJAC0011,066062,2019,01,02,21.4,1,Y
IDCJAC0011,066062,2019,01,03,21.4,1,Y
IDCJAC0011,066062,2019,01,04,20.9,1,Y
IDCJAC0011,066062,2019,01,05,22.6,1,Y
IDCJAC0011,066062,2019,01,06,17.9,1,Y
IDCJAC0011,066062,2019,01,07,18.3,1,Y
IDCJAC0011,066062,2019,01,08,20.7,1,Y
IDCJAC0011,066062,2019,01,09,20.8,1,Y
IDCJAC0011,066062,2019,01,10,20.9,1,Y
IDCJAC0011,066062,2019,01,11,20.3,1,Y
IDCJAC0011,066062,2019,01,12,20.7,1,Y
IDCJAC0011,066062,2019,01,13,21.8,1,Y
IDCJAC0011,066062,2019,01,14,21.6,1,Y
IDCJAC0011,066062,2019,01,15,22.5,1,Y
IDCJAC0011,066062,2019,01,16,22.2,1,Y
IDCJAC0011,066062,2019,01,17,22.8,1,Y
IDCJAC0011,066062,2019,01,18,22.8,1,Y
IDCJAC0011,066062,2019,01,19,23.5,1,Y
IDCJAC0011,066062,2019,01,20,20.8,1,Y
IDCJAC0011,066062,2019,01,21,21.9,1,Y
IDCJAC0011,066062,2019,01,22,22.1,1,Y
IDCJAC0011,066062,2019,01,23,22.2,1,Y
IDCJAC0011,066062,2019,01,24,21.9,1,Y
IDCJAC0011,066062,2019,01,25,22.1,1,Y
IDCJAC0011,066062,2019,01,26,23.2,1,Y
IDCJAC0011,066062,2019,01,27,23.2,1,Y
IDCJAC0011,066062,2019,01,28,22.7,1,Y
IDCJAC0011,066062,2019,01,29,22.9,1,Y
IDCJAC0011,066062,2019,01,30,22.7,1,Y
IDCJAC0011,066062,2019,01,31,22.8,1,Y
IDCJAC0011,066062,2019,02,01,18.2,1,Y
IDCJAC0011,066062,2019,02,02,18.2,1,Y
IDCJAC0011,066062,2019,02,03,21.6,1,Y
IDCJAC0011,066062,2019,02,04,21.6,1,Y
IDCJAC0011,066062,2019,02,05,22.5,1,Y
IDCJAC0011,066062,2019,02,06,22.5,1,Y
IDCJAC0011,066062,2019,02,07,22.6,1,Y
IDCJAC0011,066062,2019,02,08,22.5,1,Y
IDCJAC0011,066062,2019,02,09,20.5,1,Y
IDCJAC0011,066062,2019,02,10,18.2,1,Y
IDCJAC0011,066062,2019,02,11,17.3,1,Y
IDCJAC0011,066062,2019,02,12,19.4,1,Y
IDCJAC0011,066062,2019,02,13,19.0,1,Y
IDCJAC0011,066062,2019,02,14,17.4,1,Y
IDCJAC0011,066062,2019,02,15,18.2,1,Y
IDCJAC0011,066062,2019,02,16,18.8,1,Y
IDCJAC0011,066062,2019,02,17,19.3,1,Y
IDCJAC0011,066062,2019,02,18,21.3,1,Y
IDCJAC0011,066062,2019,02,19,22.3,1,Y
IDCJAC0011,066062,2019,02,20,18.9,1,Y
IDCJAC0011,066062,2019,02,21,19.6,1,Y
IDCJAC0011,066062,2019,02,22,18.7,1,Y
IDCJAC0011,066062,2019,02,23,18.3,1,Y
IDCJAC0011,066062,2019,02,24,18.5,1,Y
IDCJAC0011,066062,2019,02,25,19.4,1,Y
IDCJAC0011,066062,2019,02,26,16.6,1,Y
IDCJAC0011,066062,2019,02,27,19.4,1,Y
IDCJAC0011,066062,2019,02,28,20.3,1,Y
IDCJAC0011,066062,2019,03,01,21.0,1,Y
