Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,31011,2020,01,01,22.6,1,N
IDCJAC0011,31011,2020,01,02,23.2,1,Y
IDCJAC0011,31011,2020,01,03,23.7,1,N
IDCJAC0011,31011,2020,01,04,23.8,1,N
IDCJAC0011,31011,2020,01,05,23.9,1,N
IDCJAC0011,31011,2020,01,06,24.1,1,N
IDCJAC0011,31011,2020,01,07,24.8,1,Y
IDCJAC0011,31011,2020,01,08,25.1,1,N
IDCJAC0011,31011,2020,01,09,23.5,1,N
IDCJAC0011,31011,2020,01,10,24.5,1,N
IDCJAC0011,31011,2020,01,11,23.7,1,N
IDCJAC0011,31011,2020,01,12,24.0,1,N
IDCJAC0011,31011,2020,01,13,23.9,1,N
IDCJAC0011,31011,2020,01,14,24.0,1,N
IDCJAC0011,31011,2020,01,15,23.8,1,N
IDCJAC0011,31011,2020,01,16,24.7,1,N
IDCJAC0011,31011,2020,01,17,24.3,1,N
IDCJAC0011,31011,2020,01,18,26.0,1,N
IDCJAC0011,31011,2020,01,19,26.2,1,N
IDCJAC0011,31011,2020,01,20,24.3,1,N
IDCJAC0011,31011,2020,01,21,25.0,1,N
IDCJAC0011,31011,2020,01,22,26.8,1,N
IDCJAC0011,31011,2020,01,23,25.5,1,Y
IDCJAC0011,31011,2020,01,24,25.7,1,N
IDCJAC0011,31011,2020,01,25,24.3,1,Y
IDCJAC0011,31011,2020,01,26,24.3,1,N
IDCJAC0011,31011,2020,01,27,24.2,1,N
IDCJAC0011,31011,2020,01,28,24.8,1,N
IDCJAC0011,31011,2020,01,29,23.8,1,N
IDCJAC0011,31011,2020,01,30,24.1,1,N
IDCJAC0011,31011,2020,01,31,23.9,1,N
IDCJAC0011,31011,2020,02,01,23.9,1,N
IDCJAC0011,31011,2020,02,02,24.1,1,N
IDCJAC0011,31011,2020,02,03,24.2,1,N
IDCJAC0011,31011,2020,02,04,23.7,1,N
IDCJAC0011,31011,2020,02,05,23.9,1,Y
IDCJAC0011,31011,2020,02,06,24.1,1,N
IDCJAC0011,31011,2020,02,07,24.6,1,N
IDCJAC0011,31011,2020,02,08,24.5,1,N
IDCJAC0011,31011,2020,02,09,24.9,1,N
IDCJAC0011,31011,2020,02,10,26.0,1,N
IDCJAC0011,31011,2020,02,11,25.7,1,N
IDCJAC0011,31011,2020,02,12,26.3,1,N
IDCJAC0011,31011,2020,02,13,24.1,1,N
IDCJAC0011,31011,2020,02,14,24.3,1,N
IDCJAC0011,31011,2020,02,15,25.4,1,N
IDCJAC0011,31011,2020,02,16,26.4,1,N
IDCJAC0011,31011,2020,02,17,25.0,1,N
IDCJAC0011,31011,2020,02,18,25.1,1,N
IDCJAC0011,31011,2020,02,19,25.5,1,N
IDCJAC0011,31011,2020,02,20,25.4,1,N
IDCJAC0011,31011,2020,02,21,26.0,1,N
IDCJAC0011,31011,2020,02,22,24.7,1,N
IDCJAC0011,31011,2020,02,23,24.7,1,N
IDCJAC0011,31011,2020,02,24,24.6,1,N
IDCJAC0011,31011,2020,02,25,24.3,1,N
IDCJAC0011,31011,2020,02,26,24.2,1,N
IDCJAC0011,31011,2020,02,27,25.3,1,N
IDCJAC0011,31011,2020,02,28,23.7,1,N
IDCJAC0011,31011,2020,02,29,25.0,1,N
IDCJAC0011,31011,2020,03,01,24.9,1,Y
IDCJAC0011,31011,2020,03,02,24.3,1,Y
IDCJAC0011,31011,2020,03,03,22.6,1,Y
IDCJAC0011,31011,2020,03,04,23.4,1,Y
IDCJAC0011,31011,2020,03,05,26.1,1,Y
