Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,16001,2020,01,01,16.8,1,Y
IDCJAC0011,16001,2020,01,02,19.4,1,Y
IDCJAC0011,16001,2020,01,03,22.8,1,Y
IDCJAC0011,16001,2020,01,04,22.8,1,Y
IDCJAC0011,16001,2020,01,05,15.4,1,Y
IDCJAC0011,16001,2020,01,06,13.6,1,Y
IDCJAC0011,16001,2020,01,07,15.7,1,Y
IDCJAC0011,16001,2020,01,08,21.8,1,Y
IDCJAC0011,16001,2020,01,09,27.2,1,Y
IDCJAC0011,16001,2020,01,10,25.0,1,Y
IDCJAC0011,16001,2020,01,11,17.7,1,Y
IDCJAC0011,16001,2020,01,12,16.4,1,Y
IDCJAC0011,16001,2020,01,13,20.1,1,Y
IDCJAC0011,16001,2020,01,14,23.2,1,Y
IDCJAC0011,16001,2020,01,15,23.0,1,Y
IDCJAC0011,16001,2020,01,16,18.0,1,Y
IDCJAC0011,16001,2020,01,17,15.5,1,Y
IDCJAC0011,16001,2020,01,18,16.5,1,Y
IDCJAC0011,16001,2020,01,19,17.0,1,Y
IDCJAC0011,16001,2020,01,20,15.0,1,Y
IDCJAC0011,16001,2020,01,21,15.4,1,Y
IDCJAC0011,16001,2020,01,22,19.6,1,Y
IDCJAC0011,16001,2020,01,23,17.5,1,Y
IDCJAC0011,16001,2020,01,24,14.2,1,Y
IDCJAC0011,16001,2020,01,25,17.0,1,Y
IDCJAC0011,16001,2020,01,26,19.5,1,Y
IDCJAC0011,16001,2020,01,27,20.5,1,Y
IDCJAC0011,16001,2020,01,28,20.3,1,Y
IDCJAC0011,16001,2020,01,29,24.4,1,Y
IDCJAC0011,16001,2020,01,30,27.6,1,Y
IDCJAC0011,16001,2020,01,31,25.2,1,Y
IDCJAC0011,16001,2020,02,01,24.3,1,Y
IDCJAC0011,16001,2020,02,02,14.5,1,Y
IDCJAC0011,16001,2020,02,03,16.8,1,Y
IDCJAC0011,16001,2020,02,04,15.4,1,Y
IDCJAC0011,16001,2020,02,05,17.5,1,Y
IDCJAC0011,16001,2020,02,06,18.5,1,Y
IDCJAC0011,16001,2020,02,07,20.9,1,Y
IDCJAC0011,16001,2020,02,08,21.8,1,Y
