Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,3003,2020,01,01,28.3,1,N
IDCJAC0011,3003,2020,01,02,30.5,1,N
IDCJAC0011,3003,2020,01,03,25.1,1,N
IDCJAC0011,3003,2020,01,04,26.2,1,N
IDCJAC0011,3003,2020,01,05,24.1,1,N
IDCJAC0011,3003,2020,01,06,24.2,1,N
IDCJAC0011,3003,2020,01,07,24.2,1,N
IDCJAC0011,3003,2020,01,08,25.1,1,N
IDCJAC0011,3003,2020,01,09,25.9,1,N
IDCJAC0011,3003,2020,01,10,27.8,1,N
IDCJAC0011,3003,2020,01,11,28.4,1,N
IDCJAC0011,3003,2020,01,12,25.1,1,N
IDCJAC0011,3003,2020,01,13,23.2,1,N
IDCJAC0011,3003,2020,01,14,26.1,1,N
IDCJAC0011,3003,2020,01,15,28.8,1,N
IDCJAC0011,3003,2020,01,16,25.9,1,N
IDCJAC0011,3003,2020,01,17,29.8,1,N
IDCJAC0011,3003,2020,01,18,25.5,1,N
IDCJAC0011,3003,2020,01,19,23.9,1,N
IDCJAC0011,3003,2020,01,20,25.2,1,N
IDCJAC0011,3003,2020,01,21,28.9,1,N
IDCJAC0011,3003,2020,01,22,29.1,1,N
IDCJAC0011,3003,2020,01,23,28.7,1,N
IDCJAC0011,3003,2020,01,24,27.8,1,N
IDCJAC0011,3003,2020,01,25,29.2,1,N
IDCJAC0011,3003,2020,01,26,29.2,1,N
IDCJAC0011,3003,2020,01,27,26.6,1,N
IDCJAC0011,3003,2020,01,28,27.7,1,N
IDCJAC0011,3003,2020,01,29,29.7,1,N
IDCJAC0011,3003,2020,01,30,29.2,1,N
IDCJAC0011,3003,2020,01,31,29.0,1,N
IDCJAC0011,3003,2020,02,01,29.0,1,N
IDCJAC0011,3003,2020,02,02,28.8,1,N
IDCJAC0011,3003,2020,02,03,29.6,1,N
IDCJAC0011,3003,2020,02,04,29.8,1,N
IDCJAC0011,3003,2020,02,05,26.1,1,N
IDCJAC0011,3003,2020,02,06,25.5,1,N
IDCJAC0011,3003,2020,02,07,25.8,1,N
IDCJAC0011,3003,2020,02,08,24.7,1,N
IDCJAC0011,3003,2020,02,09,26.9,1,N
IDCJAC0011,3003,2020,02,10,28.5,1,N
IDCJAC0011,3003,2020,02,11,28.4,1,N
IDCJAC0011,3003,2020,02,12,28.5,1,N
IDCJAC0011,3003,2020,02,13,29.1,1,N
IDCJAC0011,3003,2020,02,14,29.0,1,N
IDCJAC0011,3003,2020,02,15,28.6,1,N
IDCJAC0011,3003,2020,02,16,28.9,1,N
IDCJAC0011,3003,2020,02,17,28.8,1,N
IDCJAC0011,3003,2020,02,18,29.5,1,N
IDCJAC0011,3003,2020,02,19,27.3,1,N
IDCJAC0011,3003,2020,02,20,22.8,1,N
IDCJAC0011,3003,2020,02,21,26.6,1,N
IDCJAC0011,3003,2020,02,22,26.9,1,N
IDCJAC0011,3003,2020,02,23,28.1,1,N
IDCJAC0011,3003,2020,02,24,27.4,1,N
IDCJAC0011,3003,2020,02,25,29.3,1,N
IDCJAC0011,3003,2020,02,26,29.2,1,N
IDCJAC0011,3003,2020,02,27,29.6,1,N
IDCJAC0011,3003,2020,02,28,27.7,1,N
IDCJAC0011,3003,2020,02,29,30.1,1,N
IDCJAC0011,3003,2020,03,01,25.2,1,Y
IDCJAC0011,3003,2020,03,02,26.8,1,Y
IDCJAC0011,3003,2020,03,03,25.2,1,Y
IDCJAC0011,3003,2020,03,04,23.5,1,Y
IDCJAC0011,3003,2020,03,05,24.9,1,Y
IDCJAC0011,3003,2020,03,06,24.5,1,Y
IDCJAC0011,3003,2020,03,07,25.2,1,Y
IDCJAC0011,3003,2020,03,08,24.8,1,Y
IDCJAC0011,3003,2020,03,09,25.0,1,Y
IDCJAC0011,3003,2020,03,10,25.4,1,Y
IDCJAC0011,3003,2020,03,11,25.9,1,Y
IDCJAC0011,3003,2020,03,12,26.5,1,Y
IDCJAC0011,3003,2020,03,13,29.7,1,Y
IDCJAC0011,3003,2020,03,14,30.0,1,Y
IDCJAC0011,3003,2020,03,15,29.5,1,Y
IDCJAC0011,3003,2020,03,16,26.9,1,Y
IDCJAC0011,3003,2020,03,17,26.9,1,Y
IDCJAC0011,3003,2020,03,18,29.5,1,Y
IDCJAC0011,3003,2020,03,19,27.7,1,Y
IDCJAC0011,3003,2020,03,20,26.6,1,Y
IDCJAC0011,3003,2020,03,21,27.0,1,Y
IDCJAC0011,3003,2020,03,22,25.6,1,Y
IDCJAC0011,3003,2020,03,23,29.1,1,Y
IDCJAC0011,3003,2020,03,24,29.6,1,Y
IDCJAC0011,3003,2020,03,25,26.8,1,Y
IDCJAC0011,3003,2020,03,26,27.1,1,Y
IDCJAC0011,3003,2020,03,27,25.3,1,Y
IDCJAC0011,3003,2020,03,28,30.3,1,Y
IDCJAC0011,3003,2020,03,29,29.5,1,Y
