Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,39083,2020,01,01,35.0,1,Y
IDCJAC0010,39083,2020,01,02,35.1,1,Y
IDCJAC0010,39083,2020,01,03,32.8,1,Y
IDCJAC0010,39083,2020,01,04,33.3,1,Y
IDCJAC0010,39083,2020,01,05,33.8,1,Y
IDCJAC0010,39083,2020,01,06,32.7,1,Y
IDCJAC0010,39083,2020,01,07,31.5,1,Y
IDCJAC0010,39083,2020,01,08,34.5,1,Y
IDCJAC0010,39083,2020,01,09,33.3,1,Y
IDCJAC0010,39083,2020,01,10,33.4,1,Y
IDCJAC0010,39083,2020,01,11,36.1,1,Y
IDCJAC0010,39083,2020,01,12,34.3,1,Y
IDCJAC0010,39083,2020,01,13,33.5,1,Y
IDCJAC0010,39083,2020,01,14,34.9,1,Y
IDCJAC0010,39083,2020,01,15,35.3,1,Y
IDCJAC0010,39083,2020,01,16,31.8,1,Y
IDCJAC0010,39083,2020,01,17,29.5,1,Y
IDCJAC0010,39083,2020,01,18,36.8,1,Y
IDCJAC0010,39083,2020,01,19,39.1,1,Y
IDCJAC0010,39083,2020,01,20,38.9,1,Y
IDCJAC0010,39083,2020,01,21,38.2,1,Y
IDCJAC0010,39083,2020,01,22,37.3,1,Y
IDCJAC0010,39083,2020,01,23,36.2,1,Y
IDCJAC0010,39083,2020,01,24,36.1,1,Y
IDCJAC0010,39083,2020,01,25,30.0,1,Y
IDCJAC0010,39083,2020,01,26,33.7,1,Y
IDCJAC0010,39083,2020,01,27,33.7,1,Y
IDCJAC0010,39083,2020,01,28,31.3,1,Y
IDCJAC0010,39083,2020,01,29,33.8,1,Y
IDCJAC0010,39083,2020,01,30,34.1,1,Y
IDCJAC0010,39083,2020,01,31,34.2,1,Y
IDCJAC0010,39083,2020,02,01,32.4,1,Y
IDCJAC0010,39083,2020,02,02,34.5,1,Y
IDCJAC0010,39083,2020,02,03,37.7,1,Y
IDCJAC0010,39083,2020,02,04,38.2,1,Y
IDCJAC0010,39083,2020,02,05,33.9,1,Y
IDCJAC0010,39083,2020,02,06,33.7,1,Y
IDCJAC0010,39083,2020,02,07,32.3,1,Y
IDCJAC0010,39083,2020,02,08,31.9,1,Y
IDCJAC0010,39083,2020,02,09,34.4,1,Y
IDCJAC0010,39083,2020,02,10,34.9,1,Y
IDCJAC0010,39083,2020,02,11,33.1,1,Y
IDCJAC0010,39083,2020,02,12,35.0,1,Y
IDCJAC0010,39083,2020,02,13,33.8,1,Y
IDCJAC0010,39083,2020,02,14,31.9,1,Y
IDCJAC0010,39083,2020,02,15,34.2,1,Y
IDCJAC0010,39083,2020,02,16,34.1,1,Y
IDCJAC0010,39083,2020,02,17,33.7,1,Y
IDCJAC0010,39083,2020,02,18,34.0,1,Y
IDCJAC0010,39083,2020,02,19,35.2,1,Y
IDCJAC0010,39083,2020,02,20,36.6,1,Y
IDCJAC0010,39083,2020,02,21,33.7,1,Y
IDCJAC0010,39083,2020,02,22,27.8,1,Y
IDCJAC0010,39083,2020,02,23,27.5,1,Y
IDCJAC0010,39083,2020,02,24,28.4,1,Y
IDCJAC0010,39083,2020,02,25,31.1,1,Y
IDCJAC0010,39083,2020,02,26,32.8,1,Y
IDCJAC0010,39083,2020,02,27,33.7,1,Y
IDCJAC0010,39083,2020,02,28,33.7,1,Y
IDCJAC0010,39083,2020,02,29,32.3,1,Y
IDCJAC0010,39083,2020,03,01,32.3,1,Y
IDCJAC0010,39083,2020,03,02,33.5,1,Y
IDCJAC0010,39083,2020,03,03,32.4,1,Y
IDCJAC0010,39083,2020,03,04,30.4,1,Y
IDCJAC0010,39083,2020,03,05,29.8,1,Y
IDCJAC0010,39083,2020,03,06,32.4,1,Y
IDCJAC0010,39083,2020,03,07,31.7,1,Y
IDCJAC0010,39083,2020,03,08,30.4,1,Y
IDCJAC0010,39083,2020,03,09,29.0,1,Y
IDCJAC0010,39083,2020,03,10,29.5,1,Y
IDCJAC0010,39083,2020,03,11,29.5,1,Y
IDCJAC0010,39083,2020,03,12,29.6,1,Y
IDCJAC0010,39083,2020,03,13,29.4,1,Y
IDCJAC0010,39083,2020,03,14,30.5,1,Y
IDCJAC0010,39083,2020,03,15,31.1,1,Y
IDCJAC0010,39083,2020,03,16,30.0,1,Y
IDCJAC0010,39083,2020,03,17,29.5,1,Y
IDCJAC0010,39083,2020,03,18,29.4,1,Y
IDCJAC0010,39083,2020,03,19,29.5,1,Y
IDCJAC0010,39083,2020,03,20,29.2,1,Y
IDCJAC0010,39083,2020,03,21,31.9,1,Y
IDCJAC0010,39083,2020,03,22,30.9,1,Y
IDCJAC0010,39083,2020,03,23,31.9,1,Y
IDCJAC0010,39083,2020,03,24,30.8,1,Y
IDCJAC0010,39083,2020,03,25,29.5,1,Y
IDCJAC0010,39083,2020,03,26,30.3,1,Y
IDCJAC0010,39083,2020,03,27,30.2,1,Y
IDCJAC0010,39083,2020,03,28,30.4,1,Y
IDCJAC0010,39083,2020,03,29,30.5,1,Y
IDCJAC0010,39083,2020,03,30,31.0,1,Y
IDCJAC0010,39083,2020,03,31,31.9,1,Y
IDCJAC0010,39083,2020,04,01,30.8,1,Y
IDCJAC0010,39083,2020,04,02,31.3,1,Y
IDCJAC0010,39083,2020,04,03,31.4,1,Y
IDCJAC0010,39083,2020,04,04,33.9,1,Y
IDCJAC0010,39083,2020,04,05,31.4,1,Y
IDCJAC0010,39083,2020,04,06,30.4,1,Y
IDCJAC0010,39083,2020,04,07,29.0,1,Y
IDCJAC0010,39083,2020,04,08,29.7,1,Y
IDCJAC0010,39083,2020,04,09,29.5,1,Y
IDCJAC0010,39083,2020,04,10,30.3,1,Y
IDCJAC0010,39083,2020,04,11,33.0,1,Y
IDCJAC0010,39083,2020,04,12,31.8,1,Y
IDCJAC0010,39083,2020,04,13,30.5,1,Y
IDCJAC0010,39083,2020,04,14,29.3,1,Y
IDCJAC0010,39083,2020,04,15,29.6,1,Y
IDCJAC0010,39083,2020,04,16,29.7,1,Y
IDCJAC0010,39083,2020,04,17,32.9,1,Y
IDCJAC0010,39083,2020,04,18,34.9,1,Y
IDCJAC0010,39083,2020,04,19,32.7,1,Y
IDCJAC0010,39083,2020,04,20,31.4,1,Y
IDCJAC0010,39083,2020,04,21,30.9,1,Y
IDCJAC0010,39083,2020,04,22,30.9,1,Y
IDCJAC0010,39083,2020,04,23,30.2,1,Y
IDCJAC0010,39083,2020,04,24,30.2,1,Y
IDCJAC0010,39083,2020,04,25,29.0,1,Y
IDCJAC0010,39083,2020,04,26,29.4,1,Y
IDCJAC0010,39083,2020,04,27,29.6,1,Y
IDCJAC0010,39083,2020,04,28,29.4,1,Y
IDCJAC0010,39083,2020,04,29,27.6,1,Y
IDCJAC0010,39083,2020,04,30,31.9,1,Y
IDCJAC0010,39083,2020,05,01,27.4,1,Y
IDCJAC0010,39083,2020,05,02,26.3,1,Y
IDCJAC0010,39083,2020,05,03,25.7,1,Y
IDCJAC0010,39083,2020,05,04,26.9,1,Y
IDCJAC0010,39083,2020,05,05,27.1,1,Y
IDCJAC0010,39083,2020,05,06,27.0,1,Y
IDCJAC0010,39083,2020,05,07,26.8,1,Y
IDCJAC0010,39083,2020,05,08,28.0,1,Y
IDCJAC0010,39083,2020,05,09,28.8,1,Y
IDCJAC0010,39083,2020,05,10,30.9,1,Y
IDCJAC0010,39083,2020,05,11,26.9,1,Y
IDCJAC0010,39083,2020,05,12,26.1,1,Y
IDCJAC0010,39083,2020,05,13,28.0,1,Y
IDCJAC0010,39083,2020,05,14,28.0,1,Y
IDCJAC0010,39083,2020,05,15,27.3,1,Y
IDCJAC0010,39083,2020,05,16,27.4,1,Y
IDCJAC0010,39083,2020,05,17,26.6,1,Y
IDCJAC0010,39083,2020,05,18,24.7,1,Y
IDCJAC0010,39083,2020,05,19,26.2,1,Y
IDCJAC0010,39083,2020,05,20,24.0,1,Y
IDCJAC0010,39083,2020,05,21,24.8,1,Y
IDCJAC0010,39083,2020,05,22,20.0,1,Y
IDCJAC0010,39083,2020,05,23,12.2,1,Y
IDCJAC0010,39083,2020,05,24,20.0,1,Y
IDCJAC0010,39083,2020,05,25,22.9,1,Y
IDCJAC0010,39083,2020,05,26,24.4,1,Y
IDCJAC0010,39083,2020,05,27,25.0,1,Y
IDCJAC0010,39083,2020,05,28,26.4,1,Y
IDCJAC0010,39083,2020,05,29,27.4,1,Y
IDCJAC0010,39083,2020,05,30,26.0,1,Y
IDCJAC0010,39083,2020,05,31,26.6,1,Y
IDCJAC0010,39083,2020,06,01,27.9,1,N
IDCJAC0010,39083,2020,06,02,25.2,1,N
IDCJAC0010,39083,2020,06,03,24.0,1,N
IDCJAC0010,39083,2020,06,04,24.6,1,N
IDCJAC0010,39083,2020,06,05,23.7,1,N
IDCJAC0010,39083,2020,06,06,25.1,1,N
IDCJAC0010,39083,2020,06,07,24.9,1,Y
IDCJAC0010,39083,2020,06,08,27.3,1,Y
IDCJAC0010,39083,2020,06,09,24.4,1,N
IDCJAC0010,39083,2020,06,10,24.1,1,N
IDCJAC0010,39083,2020,06,11,27.6,1,N
IDCJAC0010,39083,2020,06,12,,,
IDCJAC0010,39083,2020,06,13,25.2,1,N
IDCJAC0010,39083,2020,06,14,29.7,1,N
IDCJAC0010,39083,2020,06,15,26.6,1,N
IDCJAC0010,39083,2020,06,16,26.5,1,N
IDCJAC0010,39083,2020,06,17,24.8,1,N
IDCJAC0010,39083,2020,06,18,24.8,1,N
IDCJAC0010,39083,2020,06,19,23.0,1,N
IDCJAC0010,39083,2020,06,20,24.4,1,N
IDCJAC0010,39083,2020,06,21,25.6,1,N
IDCJAC0010,39083,2020,06,22,26.4,1,N
IDCJAC0010,39083,2020,06,23,23.6,1,N
IDCJAC0010,39083,2020,06,24,23.6,1,N
IDCJAC0010,39083,2020,06,25,23.4,1,N
IDCJAC0010,39083,2020,06,26,24.0,1,N
IDCJAC0010,39083,2020,06,27,25.0,1,N
IDCJAC0010,39083,2020,06,28,24.1,1,N
IDCJAC0010,39083,2020,06,29,24.1,1,N
IDCJAC0010,39083,2020,06,30,22.9,1,N
IDCJAC0010,39083,2020,07,01,25.2,1,Y
IDCJAC0010,39083,2020,07,02,26.0,1,N
IDCJAC0010,39083,2020,07,03,26.4,1,N
IDCJAC0010,39083,2020,07,04,23.8,1,N
IDCJAC0010,39083,2020,07,05,22.4,1,N
IDCJAC0010,39083,2020,07,06,22.4,1,N
IDCJAC0010,39083,2020,07,07,24.6,1,N
IDCJAC0010,39083,2020,07,08,24.6,1,N
IDCJAC0010,39083,2020,07,09,25.3,1,N
IDCJAC0010,39083,2020,07,10,24.7,1,N
IDCJAC0010,39083,2020,07,11,25.3,1,N
IDCJAC0010,39083,2020,07,12,27.7,1,N
IDCJAC0010,39083,2020,07,13,23.8,1,N
IDCJAC0010,39083,2020,07,14,21.9,1,N
IDCJAC0010,39083,2020,07,15,23.6,1,N
IDCJAC0010,39083,2020,07,16,22.8,1,N
IDCJAC0010,39083,2020,07,17,22.6,1,N
IDCJAC0010,39083,2020,07,18,24.4,1,N
IDCJAC0010,39083,2020,07,19,26.5,1,N
IDCJAC0010,39083,2020,07,20,27.2,1,N
IDCJAC0010,39083,2020,07,21,23.8,1,N
IDCJAC0010,39083,2020,07,22,18.3,1,N
IDCJAC0010,39083,2020,07,23,19.0,1,N
IDCJAC0010,39083,2020,07,24,24.2,1,N
IDCJAC0010,39083,2020,07,25,26.0,1,N
IDCJAC0010,39083,2020,07,26,27.3,1,N
IDCJAC0010,39083,2020,07,27,23.7,1,N
IDCJAC0010,39083,2020,07,28,23.8,1,N
IDCJAC0010,39083,2020,07,29,24.1,1,N
IDCJAC0010,39083,2020,07,30,25.4,1,N
IDCJAC0010,39083,2020,07,31,24.7,1,N
IDCJAC0010,39083,2020,08,01,24.7,1,Y
IDCJAC0010,39083,2020,08,02,23.9,1,Y
IDCJAC0010,39083,2020,08,03,24.4,1,Y
IDCJAC0010,39083,2020,08,04,26.1,1,Y
IDCJAC0010,39083,2020,08,05,27.3,1,Y
IDCJAC0010,39083,2020,08,06,27.2,1,Y
IDCJAC0010,39083,2020,08,07,22.0,1,Y
IDCJAC0010,39083,2020,08,08,27.2,1,Y
IDCJAC0010,39083,2020,08,09,22.5,1,Y
IDCJAC0010,39083,2020,08,10,22.9,1,Y
IDCJAC0010,39083,2020,08,11,23.5,1,Y
IDCJAC0010,39083,2020,08,12,26.1,1,Y
IDCJAC0010,39083,2020,08,13,27.9,1,Y
IDCJAC0010,39083,2020,08,14,28.6,1,Y
