'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2015-12,2230,11593,23905,2833,3514,3203,3408,5412,3848,0,0
2016-01,1979,8921,19713,2350,2203,1857,1930,2748,894,0,0
2016-02,2669,11839,26026,3079,2828,2733,3709,3652,1164,0,56000
2016-03,2491,11848,25194,3038,2780,2453,3349,3941,2007,0,0
2016-04,2452,11219,23663,3522,3106,2805,3381,5427,2315,10560,0
2016-05,2385,11513,25091,3916,3134,3212,3809,5365,1210,0,0
2016-06,2166,10716,23492,3603,3579,3714,4487,4853,7169,0,0
2016-07,2264,10894,23424,3727,3756,3369,4060,5280,1449,0,0
2016-08,2566,12189,27127,4050,3843,3993,4866,4784,2775,0,0
2016-09,2143,11740,28052,4104,4290,3920,5621,5726,3190,0,0
2016-10,2289,10705,27976,4294,4141,3365,4940,6439,1954,0,0
2016-11,2479,13980,34408,5479,4496,4153,5135,5209,3303,0,0
2016-12,2334,13496,38332,6306,6195,5589,8922,15771,3004,23988,0
2017-01,1947,10483,27144,4105,2809,2126,2518,2791,2487,0,0
2017-02,2726,12848,34734,4848,4406,3355,4644,3538,812,9000,0
2017-03,2944,13576,38230,5535,5304,4000,5863,6892,3154,25000,0
2017-04,2100,10738,32330,5140,4106,3254,5512,5887,1252,0,0
2017-05,2603,13420,39902,7028,6279,5802,6534,9989,6263,0,0
2017-06,2395,12331,39525,6644,6411,5915,8236,10025,5249,0,0
2017-07,2330,12294,43171,6628,6465,5291,6420,10117,2205,15000,0
2017-08,2605,12787,46492,8928,7661,5121,7654,7827,2882,0,0
2017-09,2138,11523,43058,9220,7821,5299,7395,8748,3900,0,0
2017-10,1997,11999,47365,10992,8541,5503,7675,11661,5189,0,0
2017-11,2136,12979,54959,14002,11091,7440,8876,14020,16574,13054,0
2017-12,1888,11848,51220,15310,11821,8685,12570,28046,4258,10898,129091
2018-01,1594,10650,42609,12663,7672,4114,4733,5926,4093,20162,34942
2018-02,1808,12267,49025,14329,10030,5896,6860,9286,11450,0,0
2018-03,2031,12337,50369,17518,11380,6812,8158,11504,6524,17344,339284
2018-04,1772,11046,44590,16520,9907,6795,8051,11043,10072,16519,0
2018-05,2058,12218,47688,22125,12998,8094,10169,15911,11718,37254,193702
2018-06,1576,9708,40810,24886,12174,8637,10449,16034,9083,5962,0
2018-07,1629,10166,43542,31158,13527,7930,9418,10571,9064,0,385566
2018-08,1690,10814,44301,37543,14238,9173,9749,12709,7513,5980,207051
2018-09,1435,10298,41634,42004,12994,7125,8621,10892,10643,25172,657275
2018-10,1645,11633,46901,51124,15560,7707,10435,13523,10720,19924,112459
2018-11,1778,11811,51440,61673,17494,8974,10701,19109,12593,0,205416
2018-12,1268,9883,41257,57268,19640,12026,14491,32485,18750,0,75092
2019-01,1043,9535,34571,52642,11040,4846,5302,6312,12712,47194,84749
2019-02,1459,10840,43402,62855,16922,7043,7159,13016,14260,11424,253440
2019-03,1276,11273,41528,66522,17598,8610,8548,12631,16158,0,0
2019-04,1090,9846,36630,59619,16895,6924,8228,10961,10341,6093,181003
2019-05,1414,10043,36977,67805,21330,9613,11004,17370,13578,0,252796
2019-06,1357,7852,28734,56433,18432,10639,12830,16824,11953,0,89216
2019-07,1308,8519,34950,71036,20912,9942,11235,17064,22046,5807,0
2019-08,1280,9260,34667,74415,20186,9227,12773,13920,18297,23986,218144
2019-09,1190,9162,36134,81330,22753,9714,12466,14067,9003,0,0
2019-10,1208,10052,37588,95373,26537,9968,12791,17287,12639,6861,255386
2019-11,1094,11000,36869,105765,29991,11142,14279,19346,23568,29327,300164
2019-12,871,8479,32777,106541,33120,14792,17622,35909,18416,8299,638827
2020-01,821,7526,26981,90035,21101,5993,5591,7569,12848,14793,0
2020-02,778,9719,31025,104273,27397,8646,8612,12940,21510,0,0
2020-03,1051,10077,33512,114324,33994,10459,10196,16488,12210,0,121540
2020-04,890,8218,24721,94120,30928,9006,9153,12992,19206,0,112414
2020-05,790,7705,21562,91434,30861,8686,8555,11781,4243,0,0
2020-06,347,3945,10381,55546,19479,4811,4321,6405,584,9470,131965
