'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,10,3,5,0,0,20,0,0,0,0,0
2007-02,10,7,5,8,0,0,0,0,0,0,0
2007-03,8,0,10,7,11,0,0,0,0,0,0
2007-04,7,3,5,0,0,0,0,0,0,0,0
2007-05,5,7,15,0,0,0,0,0,0,0,0
2007-06,16,16,11,8,0,0,0,0,0,0,0
2007-07,12,0,0,0,0,18,0,0,0,0,0
2007-08,29,12,10,0,11,0,0,0,0,0,0
2007-09,36,15,0,8,14,0,0,0,0,0,0
2007-10,45,15,0,9,0,0,0,0,0,0,0
2007-11,40,20,5,0,10,0,32,0,0,0,0
2007-12,38,15,10,15,0,17,0,0,0,0,0
2008-01,69,21,5,0,0,0,0,0,0,0,0
2008-02,70,16,16,0,0,0,0,0,0,0,0
2008-03,59,12,5,0,0,0,0,0,0,0,0
2008-04,99,22,0,16,0,0,0,0,0,0,0
2008-05,115,33,10,0,0,0,0,0,0,0,0
2008-06,108,37,10,9,0,0,0,0,0,0,0
2008-07,150,18,5,0,0,0,0,0,0,0,0
2008-08,179,39,28,7,0,0,0,0,0,0,0
2008-09,247,29,27,0,0,0,0,0,0,0,0
2008-10,418,29,31,9,0,0,0,0,0,0,0
2008-11,332,38,40,0,22,17,0,0,0,0,0
2008-12,383,39,31,8,13,0,26,0,0,0,0
2009-01,430,26,5,0,10,16,0,0,0,0,0
2009-02,558,45,30,0,0,0,0,0,0,0,0
2009-03,715,45,15,0,0,0,0,0,0,0,0
2009-04,726,47,17,0,0,0,0,0,0,0,0
2009-05,939,62,59,9,0,0,30,0,0,0,0
2009-06,866,34,43,0,23,37,0,0,0,0,0
2009-07,979,59,66,7,12,0,0,0,0,0,0
2009-08,1013,64,47,14,35,0,0,0,0,0,0
2009-09,902,97,84,0,10,64,0,0,0,0,0
2009-10,1498,112,131,0,0,0,0,0,0,0,0
2009-11,1895,116,161,36,0,16,0,0,0,0,0
2009-12,1785,138,84,21,0,0,30,0,0,0,0
2010-01,1758,180,84,7,0,0,0,0,0,0,0
2010-02,1815,323,90,7,10,16,0,0,0,0,0
2010-03,2459,342,151,61,10,0,0,0,0,0,0
2010-04,2098,478,134,22,10,0,0,0,0,0,0
2010-05,2491,627,193,44,0,0,0,60,300,0,0
2010-06,2441,611,228,74,31,54,61,0,0,0,0
2010-07,2602,784,291,25,43,16,37,0,0,0,0
2010-08,2593,934,376,30,25,79,0,0,0,0,0
2010-09,2208,1031,399,85,21,121,0,111,0,0,0
2010-10,2484,1106,438,47,54,63,33,74,200,0,0
2010-11,2686,1289,550,52,107,123,280,0,0,0,0
2010-12,2148,954,408,7,53,114,140,227,0,0,0
2011-01,3898,1607,618,48,84,155,196,152,0,0,0
2011-02,4463,1756,620,37,105,201,89,173,0,0,0
2011-03,5368,2724,857,38,139,225,173,0,0,0,0
2011-04,5473,2600,963,95,159,220,330,148,0,0,0
2011-05,8496,5158,1782,131,233,282,423,421,600,0,0
2011-06,10695,7685,3184,165,437,977,756,1440,0,0,0
2011-07,4765,3595,1443,39,87,108,37,55,0,0,0
2011-08,4567,5095,2034,76,220,97,220,0,0,0,0
2011-09,4314,4972,2503,137,125,149,165,0,0,0,0
2011-10,2556,943,299,97,101,68,90,0,0,0,0
2011-11,2555,858,340,107,74,17,97,0,0,0,0
2011-12,2538,1048,439,56,22,0,57,0,0,0,0
2012-01,2533,890,377,0,11,15,74,0,0,0,0
2012-02,4074,1226,650,47,30,34,0,0,290,0,0
2012-03,4674,1561,903,111,91,17,92,0,0,0,0
2012-04,4910,2009,954,70,163,52,30,56,0,0,0
2012-05,6850,3432,1718,353,178,153,67,0,239,0,0
2012-06,8015,5678,2214,443,166,230,296,110,0,0,0
2012-07,3720,2906,1304,63,150,164,55,0,0,0,0
2012-08,3167,2360,1081,87,125,160,30,0,0,10000,0
2012-09,2439,1926,909,46,75,151,186,0,0,0,0
