Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,31011,2007,21.5,18.2,23.1,20.2,16.3,13.2,18.3,17.8,23.2,23.7,21.9,23.9,20.1
IDCJAC0003,31011,2008,21.1,19.9,17.4,21.1,17.4,14.4,15.3,19.0,20.5,21.0,23.3,22.7,19.4
IDCJAC0003,31011,2009,18.0,18.8,23.0,19.3,15.0,16.7,17.0,19.7,22.2,22.8,20.6,23.4,19.7
IDCJAC0003,31011,2010,16.4,21.8,18.9,14.7,17.5,16.2,12.7,16.9,18.6,20.1,20.3,21.8,18.0
IDCJAC0003,31011,2011,19.3,16.8,18.1,18.0,18.0,16.1,16.4,18.6,21.3,20.9,22.5,21.4,18.9
IDCJAC0003,31011,2012,25.3,20.5,15.9,17.7,15.9,16.9,17.4,20.2,21.7,22.5,24.3,26.3,20.4
IDCJAC0003,31011,2013,21.7,23.3,18.8,19.0,15.0,15.6,15.1,20.5,22.8,22.3,18.4,22.3,19.6
IDCJAC0003,31011,2014,19.2,15.5,17.4,17.1,16.1,14.2,16.8,17.9,22.3,24.8,23.3,23.5,19.0
IDCJAC0003,31011,2015,20.2,19.7,19.9,18.8,17.1,14.0,16.4,19.4,21.3,22.1,22.1,18.1,19.1
IDCJAC0003,31011,2016,22.9,23.1,18.3,18.1,15.5,14.9,15.8,17.7,20.0,23.4,26.0,24.4,20.0
IDCJAC0003,31011,2017,21.6,21.4,22.5,17.6,17.2,14.4,16.2,19.5,21.4,21.8,23.4,27.0,20.3
IDCJAC0003,31011,2018,21.1,22.0,17.1,19.7,16.5,16.1,16.8,19.9,21.5,25.0,24.8,19.6,20.0
IDCJAC0003,31011,2019,19.8,22.0,18.8,17.8,16.3,15.2,16.8,19.0,23.4,23.4,26.9,24.5,20.3
IDCJAC0003,31011,2020,21.9,23.3,20.0,20.1,16.4,14.6,17.5,18.3,20.6,23.4,null,null,null
