Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,72150,1990,26.1,23.0,20.5,10.9,10.2,6.9,7.3,9.4,16.8,22.3,26.1,25.8,17.1
IDCJAC0003,72150,1991,27.2,27.3,21.4,15.6,11.8,6.1,7.2,9.8,14.7,24.4,26.9,23.6,18.0
IDCJAC0003,72150,1992,29.3,22.5,20.6,14.0,9.8,7.5,7.8,10.0,13.6,19.6,23.6,22.8,16.8
IDCJAC0003,72150,1993,28.7,22.4,18.6,15.8,10.6,7.3,8.0,9.7,13.7,19.7,26.9,24.1,17.1
IDCJAC0003,72150,1994,29.5,21.5,21.9,14.6,9.8,6.6,9.6,14.9,15.4,20.7,21.5,29.5,18.0
IDCJAC0003,72150,1995,25.4,26.8,21.3,13.8,8.0,7.1,6.3,14.2,16.2,21.2,20.5,28.0,17.4
IDCJAC0003,72150,1996,27.2,25.1,21.1,13.4,9.7,7.6,6.7,10.0,15.5,24.2,26.4,29.2,18.0
IDCJAC0003,72150,1997,29.8,25.4,21.7,16.6,10.0,8.7,9.8,11.0,14.9,23.1,27.8,30.6,19.1
IDCJAC0003,72150,1998,24.0,26.5,21.4,13.3,10.4,7.2,7.3,11.0,13.8,21.1,26.5,30.0,17.7
IDCJAC0003,72150,1999,27.3,25.8,19.0,16.2,10.6,7.7,9.2,13.1,16.3,19.5,25.8,25.9,18.0
IDCJAC0003,72150,2000,29.3,24.5,18.7,14.6,8.7,7.0,8.6,10.5,15.3,19.6,22.7,30.4,17.5
IDCJAC0003,72150,2001,25.8,24.1,20.5,15.1,10.9,8.4,9.1,11.8,16.5,20.0,25.3,27.7,17.9
IDCJAC0003,72150,2002,29.0,23.5,23.7,14.7,9.9,8.3,9.6,13.7,18.0,24.3,26.2,28.8,19.1
IDCJAC0003,72150,2003,30.7,24.5,21.8,15.0,10.8,6.4,9.2,11.1,16.8,20.3,26.1,27.3,18.3
IDCJAC0003,72150,2004,29.3,23.8,22.4,15.2,11.3,7.3,8.4,11.7,15.3,22.0,25.0,27.3,18.3
IDCJAC0003,72150,2005,27.4,23.7,21.9,15.8,11.5,8.1,8.6,12.7,15.5,20.0,25.6,null,null
IDCJAC0003,72150,2006,27.9,26.9,21.1,15.1,10.8,8.5,8.4,13.2,18.9,25.4,26.5,27.9,19.2
IDCJAC0003,72150,2007,28.1,25.0,20.2,15.5,10.1,8.0,8.8,12.4,17.3,22.4,23.7,27.0,18.2
IDCJAC0003,72150,2008,27.1,23.4,19.8,14.7,10.4,7.6,8.1,10.6,18.3,23.1,23.2,27.6,17.8
IDCJAC0003,72150,2009,30.7,24.4,18.7,14.1,10.6,7.0,8.4,11.1,15.8,20.6,27.4,29.1,18.2
IDCJAC0003,72150,2010,30.4,21.1,19.3,13.6,10.2,7.9,8.0,10.4,15.6,19.7,21.6,27.4,17.1
IDCJAC0003,72150,2011,26.5,20.5,17.2,14.5,10.2,7.9,8.1,12.4,15.0,20.2,21.9,28.3,16.9
IDCJAC0003,72150,2012,27.6,21.3,17.1,14.3,10.2,7.7,8.2,11.4,16.3,22.8,23.9,28.4,17.4
IDCJAC0003,72150,2013,28.5,23.6,21.0,14.9,9.8,7.6,8.2,11.0,16.3,20.8,23.0,26.9,17.6
IDCJAC0003,72150,2014,28.3,24.1,18.3,12.7,9.2,6.8,8.0,12.5,16.7,22.0,23.9,26.7,17.4
IDCJAC0003,72150,2015,24.7,23.3,19.3,12.2,9.7,8.3,8.3,9.5,17.4,21.4,26.0,28.0,17.3
IDCJAC0003,72150,2016,22.7,25.6,18.5,15.2,10.2,7.2,7.9,11.7,12.5,19.7,24.9,23.4,16.6
IDCJAC0003,72150,2017,26.3,23.3,18.1,13.6,10.3,9.5,8.9,12.3,16.1,20.7,24.6,23.6,17.3
IDCJAC0003,72150,2018,24.5,23.0,19.6,14.0,9.9,8.9,9.4,11.3,18.1,21.3,21.8,26.5,17.4
IDCJAC0003,72150,2019,25.1,22.5,17.0,15.0,10.1,8.9,9.2,12.0,16.4,20.7,24.6,27.6,17.4
IDCJAC0003,72150,2020,24.9,22.1,18.5,12.0,10.8,8.2,9.2,11.2,15.9,18.8,null,null,null
