Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,32040,2002,07,17.9
IDCJAC0003,32040,2002,08,19.5
IDCJAC0003,32040,2002,09,25.0
IDCJAC0003,32040,2002,10,25.9
IDCJAC0003,32040,2002,11,28.4
IDCJAC0003,32040,2002,12,28.4
IDCJAC0003,32040,2003,01,25.8
IDCJAC0003,32040,2003,02,23.9
IDCJAC0003,32040,2003,03,22.3
IDCJAC0003,32040,2003,04,20.2
IDCJAC0003,32040,2003,05,16.4
IDCJAC0003,32040,2003,06,15.4
IDCJAC0003,32040,2003,07,17.8
IDCJAC0003,32040,2003,08,19.6
IDCJAC0003,32040,2003,09,24.4
IDCJAC0003,32040,2003,10,25.3
IDCJAC0003,32040,2003,11,27.4
IDCJAC0003,32040,2003,12,27.0
IDCJAC0003,32040,2004,01,24.8
IDCJAC0003,32040,2004,02,22.9
IDCJAC0003,32040,2004,03,22.2
IDCJAC0003,32040,2004,04,19.1
IDCJAC0003,32040,2004,05,16.4
IDCJAC0003,32040,2004,06,16.9
IDCJAC0003,32040,2004,07,17.6
IDCJAC0003,32040,2004,08,21.8
IDCJAC0003,32040,2004,09,22.3
IDCJAC0003,32040,2004,10,25.4
IDCJAC0003,32040,2004,11,25.7
IDCJAC0003,32040,2004,12,25.3
IDCJAC0003,32040,2005,01,24.6
IDCJAC0003,32040,2005,02,28.4
IDCJAC0003,32040,2005,03,22.8
IDCJAC0003,32040,2005,04,21.7
IDCJAC0003,32040,2005,05,18.7
IDCJAC0003,32040,2005,06,14.3
IDCJAC0003,32040,2005,07,16.2
IDCJAC0003,32040,2005,08,18.2
IDCJAC0003,32040,2005,09,24.2
IDCJAC0003,32040,2005,10,25.2
IDCJAC0003,32040,2005,11,27.2
IDCJAC0003,32040,2006,01,22.6
IDCJAC0003,32040,2006,02,25.3
IDCJAC0003,32040,2006,03,21.2
IDCJAC0003,32040,2006,04,15.8
IDCJAC0003,32040,2006,05,14.8
IDCJAC0003,32040,2006,06,15.7
IDCJAC0003,32040,2006,07,16.9
IDCJAC0003,32040,2006,08,22.1
IDCJAC0003,32040,2006,09,24.5
IDCJAC0003,32040,2006,10,27.9
IDCJAC0003,32040,2006,11,28.3
IDCJAC0003,32040,2006,12,23.0
IDCJAC0003,32040,2007,01,20.7
IDCJAC0003,32040,2007,02,18.8
IDCJAC0003,32040,2007,03,23.7
IDCJAC0003,32040,2007,04,21.0
IDCJAC0003,32040,2007,05,17.0
IDCJAC0003,32040,2007,06,11.4
IDCJAC0003,32040,2007,07,18.1
IDCJAC0003,32040,2007,08,18.6
IDCJAC0003,32040,2007,09,23.1
IDCJAC0003,32040,2007,10,25.5
IDCJAC0003,32040,2007,11,24.5
IDCJAC0003,32040,2007,12,23.7
IDCJAC0003,32040,2008,01,21.2
IDCJAC0003,32040,2008,02,19.2
IDCJAC0003,32040,2008,03,20.1
IDCJAC0003,32040,2008,04,21.9
IDCJAC0003,32040,2008,05,17.3
IDCJAC0003,32040,2008,06,15.5
IDCJAC0003,32040,2008,07,15.0
IDCJAC0003,32040,2008,08,20.0
IDCJAC0003,32040,2008,09,21.2
