Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,76031,1990,27.9,23.4,21.2,13.5,9.7,8.6,8.7,11.4,18.1,21.4,28.3,27.6,18.3
IDCJAC0003,76031,1991,25.9,28.2,21.8,14.9,12.0,7.1,8.6,11.2,16.6,23.5,27.0,28.2,18.8
IDCJAC0003,76031,1992,28.5,25.2,20.2,14.9,9.4,8.1,9.6,12.1,15.0,20.5,24.2,22.1,17.5
IDCJAC0003,76031,1993,28.2,24.5,19.3,15.9,11.0,8.1,9.1,11.0,14.2,20.9,26.6,24.7,17.8
IDCJAC0003,76031,1994,27.5,23.5,22.2,14.8,10.7,7.9,10.8,15.3,17.0,20.4,24.0,30.6,18.7
IDCJAC0003,76031,1995,26.4,25.4,21.2,13.7,8.8,7.7,7.5,14.5,17.9,21.0,23.8,27.6,18.0
IDCJAC0003,76031,1996,29.5,24.5,21.3,14.3,10.8,8.7,7.9,12.6,17.4,24.2,27.1,28.0,18.9
IDCJAC0003,76031,1997,28.9,25.0,22.3,16.4,9.5,9.4,10.3,12.1,16.2,23.1,26.5,29.7,19.1
IDCJAC0003,76031,1998,26.8,25.4,22.0,15.3,11.0,9.2,8.7,13.2,17.6,21.3,25.5,30.7,18.9
IDCJAC0003,76031,1999,28.1,22.7,20.0,17.4,11.2,9.4,8.7,13.8,17.1,22.1,24.1,27.0,18.5
IDCJAC0003,76031,2000,28.8,25.2,19.7,15.5,11.0,8.4,9.8,12.2,16.6,20.5,24.9,30.0,18.6
IDCJAC0003,76031,2001,28.9,23.7,20.4,15.5,10.6,9.3,9.7,12.5,16.7,21.0,26.4,26.5,18.4
IDCJAC0003,76031,2002,29.6,26.4,22.3,15.7,11.2,9.2,10.8,14.3,18.8,23.7,26.2,28.9,19.8
IDCJAC0003,76031,2003,30.4,23.4,22.1,16.3,10.9,8.0,10.5,12.5,18.2,23.1,27.6,28.5,19.3
IDCJAC0003,76031,2004,29.9,26.2,23.7,16.4,11.7,8.5,9.0,13.4,17.4,24.9,25.8,29.3,19.7
IDCJAC0003,76031,2005,28.5,25.6,21.8,16.8,12.0,8.9,9.7,14.0,15.9,20.7,27.0,null,null
IDCJAC0003,76031,2006,28.7,27.1,21.5,14.2,11.1,9.1,8.7,13.9,19.6,26.3,26.1,28.0,19.5
IDCJAC0003,76031,2007,26.0,27.0,20.1,15.4,10.6,9.1,9.6,14.3,17.9,22.9,25.9,28.5,18.9
IDCJAC0003,76031,2008,28.1,25.7,20.6,14.6,11.0,8.7,8.9,12.0,18.1,23.8,23.8,26.8,18.5
IDCJAC0003,76031,2009,31.9,26.6,18.2,15.5,10.3,8.1,9.1,12.1,17.0,22.2,27.6,30.1,19.1
IDCJAC0003,76031,2010,30.4,23.6,19.8,13.9,10.5,8.5,9.0,12.0,15.7,20.8,23.0,29.0,18.0
IDCJAC0003,76031,2011,27.3,22.4,18.6,15.7,10.3,9.6,8.8,12.2,16.5,19.7,24.5,28.9,17.9
IDCJAC0003,76031,2012,27.1,23.1,19.2,15.7,11.1,8.7,8.9,12.4,17.7,23.0,25.6,29.0,18.5
IDCJAC0003,76031,2013,30.1,25.3,20.3,14.7,10.3,8.2,9.2,12.5,16.5,22.1,23.6,25.9,18.2
IDCJAC0003,76031,2014,28.9,24.0,19.0,13.0,9.6,8.8,9.3,13.4,16.6,22.4,24.4,28.7,18.2
IDCJAC0003,76031,2015,25.3,25.5,19.8,13.3,10.6,8.7,8.9,11.1,18.1,21.8,26.3,28.7,18.2
IDCJAC0003,76031,2016,24.2,26.1,19.1,14.9,10.5,8.7,9.5,12.8,15.3,21.4,24.6,25.8,17.7
IDCJAC0003,76031,2017,26.0,22.8,20.1,13.6,11.1,9.9,10.4,12.9,16.8,22.3,24.9,25.9,18.1
IDCJAC0003,76031,2018,26.3,23.0,20.0,14.9,10.6,9.3,10.6,13.1,18.5,22.3,24.5,25.8,18.2
IDCJAC0003,76031,2019,28.1,25.0,19.0,14.7,11.0,9.7,10.4,13.3,17.9,23.1,27.3,28.9,19.0
IDCJAC0003,76031,2020,26.3,22.8,18.3,13.1,11.5,9.6,10.6,13.0,16.7,19.5,null,null,null
