Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,5007,1990,26.4,27.3,23.0,18.7,17.5,12.5,14.8,17.3,24.0,27.3,28.6,29.4,22.2
IDCJAC0003,5007,1991,28.5,26.0,23.2,20.2,17.0,12.6,15.8,19.2,23.5,25.8,29.1,26.9,22.3
IDCJAC0003,5007,1992,29.2,28.6,24.2,18.3,13.6,12.1,15.5,18.2,22.2,27.9,30.4,31.4,22.6
IDCJAC0003,5007,1993,29.7,25.9,24.9,18.5,14.6,13.3,16.1,18.1,23.5,27.5,27.3,30.6,22.5
IDCJAC0003,5007,1994,29.1,23.5,25.3,18.8,17.2,13.7,16.7,19.7,24.3,26.7,29.5,29.2,22.8
IDCJAC0003,5007,1995,29.2,23.7,25.4,18.0,15.5,13.3,15.7,20.8,23.8,27.6,27.9,27.9,22.4
IDCJAC0003,5007,1996,31.1,27.1,24.8,20.5,18.4,11.5,14.7,19.2,25.2,27.4,30.4,30.1,23.4
IDCJAC0003,5007,1997,28.1,24.7,26.9,20.5,14.4,14.6,16.6,18.6,24.1,28.1,29.5,29.6,23.0
IDCJAC0003,5007,1998,29.8,27.4,24.8,17.0,15.3,13.5,13.9,20.3,24.6,27.3,30.0,28.9,22.7
IDCJAC0003,5007,1999,28.3,24.8,22.8,21.5,15.2,16.3,16.2,19.0,24.2,28.4,29.4,29.7,23.0
IDCJAC0003,5007,2000,29.7,26.6,19.5,20.3,18.3,16.4,15.2,19.8,23.4,26.8,29.6,28.6,22.9
IDCJAC0003,5007,2001,26.0,26.1,26.3,22.1,15.9,15.8,16.0,19.8,21.4,24.7,29.3,30.4,22.8
IDCJAC0003,5007,2002,29.4,28.0,22.9,21.4,15.6,15.6,16.3,20.8,24.2,26.7,29.3,30.3,23.4
IDCJAC0003,5007,2003,27.7,26.0,23.1,20.3,16.1,13.9,17.3,19.3,22.9,27.7,28.8,28.5,22.6
IDCJAC0003,5007,2004,28.7,27.0,25.1,21.0,16.7,16.5,12.1,21.1,23.7,26.9,27.1,27.8,22.8
IDCJAC0003,5007,2005,29.8,28.6,23.4,19.1,15.5,14.5,16.3,18.8,22.1,27.1,29.8,null,null
IDCJAC0003,5007,2006,27.7,27.3,22.7,20.9,15.8,15.2,17.1,20.5,25.4,28.9,29.3,29.3,23.3
IDCJAC0003,5007,2007,28.4,27.5,24.1,19.3,16.5,15.6,15.1,20.8,23.8,27.1,29.6,28.9,23.1
IDCJAC0003,5007,2008,29.6,25.1,21.5,18.4,17.5,14.8,15.9,19.6,23.5,26.9,28.9,30.4,22.7
IDCJAC0003,5007,2009,28.2,24.1,25.3,18.7,16.8,14.1,15.4,19.6,23.8,27.7,28.1,30.4,22.7
IDCJAC0003,5007,2010,29.5,28.3,25.2,20.2,17.4,13.8,14.7,16.8,23.3,28.2,28.3,27.9,22.8
IDCJAC0003,5007,2011,25.2,22.2,23.8,19.1,14.7,13.5,13.2,18.9,23.3,25.5,29.9,30.5,21.6
IDCJAC0003,5007,2012,26.2,28.0,23.1,21.0,17.7,14.5,17.2,21.4,24.4,28.2,28.8,26.2,23.1
IDCJAC0003,5007,2013,27.8,27.4,24.9,20.3,15.9,13.8,16.0,20.0,23.2,26.5,28.7,27.7,22.7
IDCJAC0003,5007,2014,27.8,27.0,22.8,19.4,15.6,14.6,16.8,19.6,22.9,26.5,28.8,30.3,22.7
IDCJAC0003,5007,2015,28.4,26.2,20.8,16.3,16.2,14.9,14.0,18.9,23.4,26.9,29.1,29.7,22.1
IDCJAC0003,5007,2016,25.6,26.1,22.9,18.8,16.1,13.3,13.8,19.4,22.9,23.4,28.3,28.6,21.6
IDCJAC0003,5007,2017,27.3,24.3,23.9,19.6,17.6,15.3,17.1,19.0,22.9,26.9,28.7,28.0,22.5
IDCJAC0003,5007,2018,28.3,27.1,24.3,19.7,17.1,14.7,16.7,19.6,23.2,26.6,28.4,30.3,23.0
IDCJAC0003,5007,2019,28.8,27.4,22.8,19.5,17.7,15.0,15.9,18.9,23.1,27.0,29.6,30.0,23.0
IDCJAC0003,5007,2020,29.5,26.9,23.8,20.0,16.4,15.2,16.7,18.8,23.0,26.5,null,null,null
