Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,36031,1990,29.0,27.7,17.9,16.1,15.3,14.2,15.8,16.9,22.5,24.4,29.0,28.2,21.4
IDCJAC0003,36031,1991,19.9,23.4,25.0,19.7,16.6,14.6,15.8,18.8,22.1,26.6,26.8,29.4,21.6
IDCJAC0003,36031,1992,30.5,23.8,24.2,19.0,14.0,15.6,15.8,17.1,21.6,25.8,27.5,24.9,21.7
IDCJAC0003,36031,1993,24.4,22.3,23.6,20.5,16.0,14.4,13.9,16.6,20.7,25.3,27.2,27.4,21.0
IDCJAC0003,36031,1994,27.6,24.4,22.1,19.0,15.8,15.1,16.2,20.2,20.6,20.0,26.3,28.9,21.4
IDCJAC0003,36031,1995,26.8,24.0,22.8,20.3,14.7,15.7,16.4,19.3,22.6,25.0,25.8,29.1,21.9
IDCJAC0003,36031,1996,25.5,28.4,23.6,20.5,17.8,15.3,16.0,18.1,24.6,23.5,30.0,27.3,22.6
IDCJAC0003,36031,1997,22.6,24.6,24.2,21.4,15.5,15.4,15.8,19.5,22.8,26.7,25.4,25.3,21.6
IDCJAC0003,36031,1998,25.3,26.5,24.8,19.3,16.4,14.3,14.9,17.7,22.6,24.0,26.0,26.0,21.5
IDCJAC0003,36031,1999,26.6,24.5,23.4,19.9,16.8,15.8,16.3,19.8,23.7,24.4,21.4,26.7,21.6
IDCJAC0003,36031,2000,29.0,21.6,24.1,15.1,15.3,14.2,16.9,19.4,23.5,22.3,24.5,23.5,20.8
IDCJAC0003,36031,2001,28.8,26.1,22.3,20.1,17.7,14.4,16.5,20.8,22.1,22.6,23.9,28.2,22.0
IDCJAC0003,36031,2002,26.3,26.6,25.1,20.7,17.9,16.1,17.6,20.1,22.6,28.3,29.1,30.0,23.4
IDCJAC0003,36031,2003,25.8,21.8,25.3,20.9,17.1,14.9,17.1,19.0,24.2,26.8,29.2,27.7,22.5
IDCJAC0003,36031,2004,25.4,26.7,23.5,19.5,16.6,16.5,17.0,20.0,24.5,27.8,28.0,27.1,22.7
IDCJAC0003,36031,2005,28.2,28.3,24.9,21.4,17.4,13.3,16.4,19.5,23.7,24.4,26.6,null,null
IDCJAC0003,36031,2006,26.6,26.7,21.5,17.7,17.8,15.7,15.8,20.9,24.2,28.0,29.8,24.7,22.4
IDCJAC0003,36031,2007,23.6,25.8,23.9,20.8,16.4,12.8,16.7,17.9,22.6,25.3,24.8,24.6,21.3
IDCJAC0003,36031,2008,23.4,22.3,23.5,21.2,17.1,14.5,15.4,19.3,20.5,26.3,25.7,27.6,21.4
IDCJAC0003,36031,2009,18.6,24.1,24.7,18.9,14.5,14.9,16.5,19.1,22.7,27.0,28.4,24.8,21.2
IDCJAC0003,36031,2010,23.4,22.4,22.2,18.6,16.1,15.2,14.0,17.9,17.8,24.2,23.2,23.5,19.9
IDCJAC0003,36031,2011,27.0,24.9,18.9,20.1,16.6,13.7,15.4,18.7,22.4,24.2,25.4,24.5,21.0
IDCJAC0003,36031,2012,26.1,24.7,20.0,19.4,15.9,14.5,15.6,20.3,22.6,26.4,27.9,28.1,21.8
IDCJAC0003,36031,2013,29.3,26.3,23.8,19.4,15.3,14.3,15.7,20.3,22.0,26.5,24.4,27.0,22.0
IDCJAC0003,36031,2014,26.9,21.1,22.5,20.2,16.5,15.6,16.5,18.8,22.3,26.5,26.1,25.1,21.5
IDCJAC0003,36031,2015,23.6,26.6,23.6,19.9,16.9,14.7,16.2,18.7,22.6,26.4,27.5,25.7,21.9
IDCJAC0003,36031,2016,25.9,24.8,20.9,19.1,15.2,13.8,14.6,18.3,18.5,24.9,24.7,24.2,20.4
IDCJAC0003,36031,2017,25.2,25.2,22.0,20.1,16.2,15.4,15.5,19.3,22.6,23.4,25.9,28.9,21.6
IDCJAC0003,36031,2018,27.3,24.9,21.3,19.7,16.2,14.8,16.2,19.0,22.6,26.3,27.8,28.9,22.1
IDCJAC0003,36031,2019,27.4,22.9,21.8,19.5,16.5,14.8,15.8,18.5,21.8,24.6,28.7,29.5,21.8
IDCJAC0003,36031,2020,25.2,25.5,22.9,19.2,15.5,15.5,16.2,19.1,21.9,25.9,null,null,null
