Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,48027,1990,01,26.8
IDCJAC0003,48027,1990,02,25.2
IDCJAC0003,48027,1990,03,20.8
IDCJAC0003,48027,1990,04,10.5
IDCJAC0003,48027,1990,05,12.1
IDCJAC0003,48027,1990,06,10.1
IDCJAC0003,48027,1990,07,9.8
IDCJAC0003,48027,1990,08,11.7
IDCJAC0003,48027,1990,09,19.5
IDCJAC0003,48027,1990,10,23.5
IDCJAC0003,48027,1990,11,29.2
IDCJAC0003,48027,1990,12,30.6
IDCJAC0003,48027,1991,01,26.9
IDCJAC0003,48027,1991,02,28.1
IDCJAC0003,48027,1991,03,24.2
IDCJAC0003,48027,1991,04,17.2
IDCJAC0003,48027,1991,05,13.1
IDCJAC0003,48027,1991,06,9.2
IDCJAC0003,48027,1991,07,10.8
IDCJAC0003,48027,1991,08,14.3
IDCJAC0003,48027,1991,09,19.5
IDCJAC0003,48027,1991,10,24.1
IDCJAC0003,48027,1991,11,26.9
IDCJAC0003,48027,1991,12,27.3
IDCJAC0003,48027,1992,01,30.8
IDCJAC0003,48027,1992,02,22.8
IDCJAC0003,48027,1992,03,22.6
IDCJAC0003,48027,1992,04,16.0
IDCJAC0003,48027,1992,05,12.3
IDCJAC0003,48027,1992,06,9.2
IDCJAC0003,48027,1992,07,11.3
IDCJAC0003,48027,1992,08,13.7
IDCJAC0003,48027,1992,09,18.5
IDCJAC0003,48027,1992,10,22.6
IDCJAC0003,48027,1992,11,26.9
IDCJAC0003,48027,1992,12,22.2
IDCJAC0003,48027,1993,01,28.6
IDCJAC0003,48027,1993,02,24.5
IDCJAC0003,48027,1993,03,21.7
IDCJAC0003,48027,1993,04,17.3
IDCJAC0003,48027,1993,05,12.3
IDCJAC0003,48027,1993,06,10.3
IDCJAC0003,48027,1993,07,10.1
IDCJAC0003,48027,1993,08,13.3
IDCJAC0003,48027,1993,09,17.2
IDCJAC0003,48027,1993,10,21.3
IDCJAC0003,48027,1993,11,29.1
IDCJAC0003,48027,1993,12,26.0
IDCJAC0003,48027,1994,01,31.1
IDCJAC0003,48027,1994,02,20.8
IDCJAC0003,48027,1994,03,23.3
IDCJAC0003,48027,1994,04,17.9
IDCJAC0003,48027,1994,05,13.4
