Category,Element,Residential Count,Business Count,Mixed Count,Residential Energy Consumption (kWh),Business Energy Consumption (kWh),No Controlled Load Count,Tariff 9000 Count,Tariff 9100 Count,Tariff 9000 and 9100 Count,Unit Count,Solar PV Count,Solar PV Installed Capacity,Count of Pools,Property Age <1980,Property Age 1980 to 1989,Property Age 1990 to 1999,Property Age >2000,Residential Quintile - Lowest,Residential Quintile - Low,Residential Quintile - Medium,Residential Quintile - High,Residential Quintile - Highest,Business Quintile - Lowest,Business Quintile - Low,Business Quintile - Medium,Business Quintile - High,Business Quintile - Highest
Postcode,4505,8514,452,7,52963862.25,33678319.52,4128,1362,2027,95,1522,3896,17205.68,2071,640,1344,2926,4062,1332,1497,1719,1847,2126,100,73,90,86,110
Postcode,4506,9020,503,7,53254255.89,60762769.7,4373,1152,2593,74,2198,3009,13381.15,1436,342,1449,2848,4891,1419,1704,1879,2000,2025,103,88,92,93,134
Postcode,4507,10159,741,2,44770352.34,33035891.18,4387,1880,3389,182,2999,4334,16423.58,1867,2248,2490,2956,3207,3016,2590,1982,1509,1064,223,185,122,113,100
Postcode,4508,7328,417,9,42411959.79,19151225.98,2139,986,3400,43,1263,2497,10054.36,1147,1575,1528,2121,2530,1048,1447,1690,1696,1456,93,91,98,79,65
Postcode,4509,11891,841,0,66908698.9,89522584.19,9778,700,993,46,2063,4114,19621.389,1551,94,138,339,12160,2208,2423,2435,2514,2311,175,126,185,167,188
Postcode,4510,20741,1815,31,114907579.9,122809046,10478,2187,6285,82,4903,7160,37008.506,2158,2854,3949,5332,10451,4123,4215,4214,4304,3916,415,436,380,314,301
Postcode,4511,3811,158,3,20668640.39,12318194.68,1764,823,1019,59,418,2066,7902.98,754,155,507,1115,2195,691,839,814,796,674,44,29,23,31,34
Postcode,4512,1187,177,11,8616034.55,8703447.505,616,178,299,18,51,640,3235.83,280,207,265,331,572,147,161,202,294,394,43,39,41,25,40
Postcode,4514,2637,313,14,15311952.17,21415936.83,1410,420,729,8,133,1326,6168.28,282,553,534,695,1182,481,489,543,559,579,90,64,66,57,50
Postcode,4515,1747,315,13,10012960.19,43841919.21,819,298,601,7,88,742,3520.29,74,674,326,356,719,319,321,361,385,374,93,72,54,68,41
Postcode,4516,1385,92,13,9900263.215,3472611.083,601,261,386,17,31,855,3956.16,404,124,170,539,657,141,164,285,354,454,34,14,21,14,22
Postcode,4517,302,58,2,1937066.4,2892304.893,148,56,96,0,7,149,698.89,49,85,48,81,148,31,58,66,70,79,12,17,7,12,12
Postcode,4518,1977,169,13,12460986.49,7699302.501,862,415,617,23,76,984,4222.58,402,314,348,716,781,241,394,398,456,501,49,36,31,41,25
Postcode,4519,3530,489,21,19891851.01,23613234.15,1870,584,910,31,643,1550,7320.19,458,461,646,978,1955,636,714,743,752,706,120,121,91,102,76
Postcode,4520,4700,309,9,37527696.83,7737282.042,2361,735,1189,97,202,2423,11679.15,1631,779,920,1400,1919,481,550,707,1004,1967,76,70,63,67,42
Postcode,4521,1869,216,5,11472660.93,3846255.022,1040,260,521,8,47,880,3901.72,245,408,349,449,884,316,320,350,423,465,77,45,39,33,27
Postcode,4550,1800,158,7,10541646.83,8407773.736,742,346,539,27,192,768,3220.16,322,252,518,420,775,272,340,391,412,392,47,41,35,19,23
Postcode,4551,29013,2349,23,143108998.2,117503898.3,13867,4428,8070,480,10400,10061,40455.035,4601,5692,4134,6619,14934,7162,6706,5990,5112,4066,599,595,425,379,374
Postcode,4552,4172,518,30,20992954.86,13850872.61,2060,950,1052,26,708,1880,7360.45,259,867,1016,1299,1537,1107,898,848,730,619,154,133,120,83,58
Postcode,4553,3303,152,7,20061870.25,5601562.442,2002,466,548,48,130,1347,6253.598,543,292,571,609,1990,709,504,540,639,918,42,37,26,31,23
Postcode,4554,679,40,7,4633424.853,496409.8267,333,126,167,9,14,289,1347.22,152,146,147,224,209,101,97,126,150,212,14,12,7,13,1
Postcode,4555,2730,221,30,17221418.24,14567127.36,1002,650,856,55,310,1272,5041.875,640,644,347,770,1220,414,472,558,606,710,68,66,55,31,31
Postcode,4556,17962,1968,14,107826644.9,94491276.49,6214,4714,5425,637,6378,6742,30306.25,4813,2105,2422,6726,8686,3012,3480,3608,3806,4070,353,491,445,392,301
Postcode,4557,9030,653,8,48696658.68,49619259.85,4950,1080,2086,214,4152,2325,9830.245,1891,1175,2889,2333,3293,1876,2114,1913,1658,1477,102,151,141,131,136
Postcode,4558,10227,1938,13,48852287.59,127970296.1,5137,1388,3375,88,6879,2027,8612.42,1050,1990,2647,3532,4008,2649,2783,2156,1621,1031,311,410,448,435,347
Postcode,4559,2397,239,18,15663056.23,8797468.626,1017,488,705,54,228,1103,5320.757,597,806,342,561,944,359,376,462,578,640,83,53,51,36,34
Postcode,4560,14664,1418,53,76942804.01,81807584.32,6015,2843,4978,185,3502,5571,22444.4,1910,4043,2602,3607,5882,3145,3193,3057,2920,2402,450,301,279,226,215
Postcode,4561,3076,429,29,19130168.15,22603963,1572,573,812,54,357,1418,22102.646,611,601,506,865,1562,523,519,594,672,797,132,123,66,83,54
Postcode,4562,3351,248,22,24547627.83,4735300.722,1528,714,808,157,118,1503,7190.6,1166,487,592,1184,1357,416,437,579,757,1184,76,71,52,45,26
Postcode,4563,3969,367,14,23213577.07,13743853.52,1779,925,1031,95,511,1857,8263.1,922,715,866,1102,1667,842,692,776,817,856,79,102,77,71,52
Postcode,4564,4965,433,9,26395479.08,26262418.13,1773,1025,1862,138,2070,1664,6659.443,1242,367,652,1793,2595,926,1123,1114,1040,771,83,130,86,77,66
Postcode,4565,6737,364,15,36577895.46,14508712.02,2073,1863,2328,225,1253,2557,10643.39,1666,962,1606,2538,2010,1358,1354,1402,1405,1233,94,89,73,70,53
Postcode,4566,5637,1268,18,31813744.98,44666630.33,3104,776,1125,186,3660,1527,8238.55,1508,366,1013,2822,2721,1054,1359,1239,984,1019,315,355,276,183,157
Postcode,4567,8019,686,4,50633965.12,48853483.82,4104,1160,2258,224,3928,1507,7341.73,2334,1198,2753,2960,1798,1355,1655,1666,1631,1716,100,158,168,131,133
Postcode,4568,1546,145,4,9030140.218,3130176.363,576,398,492,34,58,703,3088.94,318,353,271,462,609,253,298,331,337,331,40,38,31,25,15
Postcode,4569,723,31,2,3641120.711,390697.2543,290,177,212,10,14,302,1261.79,105,116,167,212,261,165,149,154,144,113,11,8,5,5,4
Postcode,4570,16266,2419,93,88330922.55,223600577.9,6272,3474,5902,137,1638,6011,28637.605,1739,6200,3028,3421,6128,3329,3288,3410,3412,2920,689,547,516,437,323
Postcode,4571,381,50,5,1818223.29,664271.2702,221,58,97,4,1,150,661.22,43,136,106,94,100,114,78,69,73,52,29,8,8,6,4
Postcode,4572,2138,97,3,10276501.97,11259891.86,1383,190,479,22,1365,293,1346.57,353,740,560,512,426,652,521,393,294,281,11,13,26,18,32
Postcode,4573,13765,1099,5,70407938.33,40321202.71,7204,1989,3600,262,4684,3761,16348.23,2869,1307,2427,3461,7674,2998,3049,2935,2594,2194,272,293,220,163,156
Postcode,4574,616,160,15,3441570.776,6884312.044,320,109,199,4,29,202,969.98,54,361,101,152,176,159,123,106,122,121,49,35,26,32,33
Postcode,4575,10577,1484,2,61719514.51,136242314.5,3486,1774,4208,310,3448,4109,17394.285,2775,2103,3382,2265,4312,1968,2204,2120,2273,2014,307,281,318,326,254
Postcode,4580,2875,217,5,11054627.44,7105280.966,1157,605,998,16,360,1242,4655,265,248,414,794,1640,1069,725,555,331,200,81,50,31,31,29
Postcode,4581,1126,160,4,4946750.121,6296561.096,441,256,384,16,481,261,1191.215,171,125,266,442,457,396,283,174,158,119,42,42,28,19,33
