Category,Element,Residential Count,Business Count,Mixed Count,Residential Energy Consumption (kWh),Business Energy Consumption (kWh),No Controlled Load Count,Tariff 9000 Count,Tariff 9100 Count,Tariff 9000 and 9100 Count,Unit Count,Solar PV Count,Solar PV Installed Capacity,Count of Pools,Property Age <1980,Property Age 1980 to 1989,Property Age 1990 to 1999,Property Age >2000,Residential Quintile - Lowest,Residential Quintile - Low,Residential Quintile - Medium,Residential Quintile - High,Residential Quintile - Highest,Business Quintile - Lowest,Business Quintile - Low,Business Quintile - Medium,Business Quintile - High,Business Quintile - Highest
Postcode,4074,8861,859,2,57773694.39,57560060.66,2005,1554,4578,101,1139,3717,15620.96,3324,3973,2298,2084,1366,793,1380,1966,2310,2414,158,188,197,171,147
Postcode,4075,10086,741,6,53586417.4,115175017,5291,692,3611,23,3066,2450,11065.95,1417,5254,433,1211,3934,2205,2164,1986,1962,1775,147,147,135,162,156
Postcode,4076,1842,986,7,10327742.58,227205164.2,517,134,1106,4,678,653,7071.96,76,1232,241,376,985,305,408,440,378,318,122,114,163,234,360
Postcode,4077,11580,647,7,57084550.43,102341163.6,5459,801,4773,12,3047,3250,13631.32,488,5174,886,1519,4654,2615,2657,2561,2250,1504,93,110,118,122,211
Postcode,4078,9042,181,3,55467565.48,22793905.89,3196,2107,2866,80,567,3494,13052.34,1399,546,155,4919,3606,1120,1623,1969,2198,2135,37,28,18,48,53
Postcode,4101,10105,1588,10,42016321.87,357885586.7,8299,150,1607,0,7802,917,4590.9,372,3981,1115,1384,5221,4304,2498,1522,1030,761,178,202,327,413,478
Postcode,4102,3324,933,1,14613482.54,189299245.8,2406,58,803,4,2079,446,2445.85,107,1927,451,525,1354,1326,785,553,404,257,150,150,193,221,220
Postcode,4103,6934,392,2,27940883.42,20247635.84,4675,172,1915,4,3629,1005,4008.165,411,3693,633,1050,1951,2563,1690,1251,871,561,78,75,84,77,80
Postcode,4104,3156,168,1,15716462.54,11086206.45,2067,136,839,9,1660,471,2258.13,419,1351,244,481,1249,1039,660,513,474,471,25,28,32,43,41
Postcode,4105,6154,701,6,27481933.18,61881930.77,3356,254,2308,11,2581,1177,5242.46,544,3809,465,841,1746,1887,1410,1252,971,640,130,148,148,154,127
Postcode,4106,727,749,2,3609841.396,101626145.2,316,60,350,1,405,242,2971.01,25,674,192,209,403,172,159,150,135,113,95,122,146,197,191
Postcode,4107,2598,531,0,13937408.53,46237893.14,783,209,1385,3,544,803,4236.535,234,1997,99,250,783,417,569,623,544,445,67,107,87,123,147
Postcode,4108,2299,1304,4,12247817.13,96499896.76,784,261,1144,9,1115,774,4556.51,151,1455,311,835,1006,512,462,479,459,391,192,278,293,297,248
Postcode,4109,13249,658,6,77985604.24,80611208.4,3759,1796,6928,93,2436,5356,20086.96,3240,6646,2546,2427,2294,1914,2475,2881,3154,2831,93,95,134,158,184
Postcode,4110,5179,1340,14,26134206.11,210879209.6,2789,270,1907,2,1060,1836,14451.075,288,2385,403,478,3267,1266,1103,1079,957,788,183,215,215,326,415
Postcode,4111,371,15,0,1809678.864,27532142.83,112,22,219,4,102,103,401.2,59,295,52,13,26,88,85,75,69,54,1,0,0,4,10
Postcode,4112,2669,52,0,17262396.62,1204963.99,757,763,919,25,375,1248,4794.39,422,236,13,1035,1437,239,431,583,704,712,9,9,17,9,8
Postcode,4113,10315,533,3,57570634.2,75048151.37,3615,1805,4192,91,3348,3624,14852.85,1615,1951,1617,3775,3507,1406,2216,2479,2483,1734,74,51,80,137,194
Postcode,4114,11355,948,2,56367066.8,58971287.61,5283,740,4845,8,4175,2226,9008.5,1052,6799,2752,1480,1273,2773,2520,2333,2066,1665,200,192,189,197,172
Postcode,4115,6562,146,1,41341501.01,32959924.61,1649,1493,2792,121,922,2975,11702.89,1784,1331,1001,1572,2805,645,1158,1460,1704,1596,34,22,13,32,46
Postcode,4116,8543,223,2,50166063.01,25002067.39,3390,1759,2710,108,1942,3843,15184.76,1460,77,715,3220,4756,1142,1651,1953,2045,1754,37,27,32,58,71
Postcode,4117,600,115,1,3786456.546,17171376.04,508,12,63,3,114,265,3686.16,32,22,11,78,605,56,78,163,172,132,19,12,30,15,40
Postcode,4118,10749,835,3,68537279.93,63680151.47,2831,1870,4893,94,1450,4484,18406.48,2614,915,3773,3784,3114,1074,1792,2433,2716,2737,140,154,214,164,166
Postcode,4119,2366,873,3,13741490.15,40742419.95,1040,389,826,8,1016,1048,5539.54,292,922,294,416,1610,324,463,530,581,471,161,197,220,177,121
Postcode,4120,4839,597,1,20487360.32,46112780.8,3081,128,1514,3,3071,524,2390.71,230,2470,643,841,1481,1707,1216,865,631,421,114,124,165,110,85
Postcode,4121,10202,391,3,55071453.99,15462167.2,4747,685,4267,31,1710,2523,10500.455,1592,7454,535,764,1841,2099,1979,2145,2187,1795,78,103,74,73,66
Postcode,4122,17591,1242,4,93494951.85,137517136.7,6644,1887,8088,111,5154,4621,18768.48,2682,10057,1360,2924,4494,3568,3615,3846,3625,2941,195,220,276,292,263
Postcode,4123,7908,253,7,45725574.78,26797507.78,3356,788,3339,46,756,3102,14009.85,1847,3657,1706,475,2330,1308,1459,1659,1834,1655,58,41,60,44,57
Postcode,4124,7336,191,11,50562182.09,11040522.47,3417,949,2427,47,476,3533,15852.665,1616,680,1452,2052,3353,945,946,1337,1732,2387,46,37,34,39,46
