Small Unit Installation Postcode,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW
3053,1,2.880,1,6.160,1,5.270,2,32.170,2,5.890,0,0.000,2,19.800,3,54.020,3,51.980,0,0.000,0,0.000,1,3.600,1,3.250,5,46.998,1,32.830,0,0.000,2,32.800,0,0.000,3,11.520,0,0.000
3054,4,15.570,7,29.000,2,7.900,3,12.470,4,19.010,0,0.000,3,18.445,3,17.760,3,10.620,7,25.675,2,7.520,4,23.520,3,9.790,4,11.240,6,27.965,3,110.190,0,0.000,6,28.980,4,14.580,0,0.000
3055,4,21.940,4,45.550,8,43.019,4,17.190,6,28.345,4,31.070,3,17.215,1,3.790,2,8.505,6,31.925,4,24.630,6,82.595,2,8.525,5,28.810,6,27.790,6,57.820,5,28.110,3,16.950,4,22.540,1,6.500
3056,9,41.960,7,129.800,10,43.990,10,55.885,10,38.170,8,61.050,8,46.750,32,69.240,9,70.605,12,76.885,8,91.035,9,39.875,8,73.550,10,49.065,18,105.380,13,139.680,9,93.765,7,57.990,4,39.780,3,44.840
3057,2,9.550,7,33.385,4,29.150,4,19.215,4,18.610,0,0.000,1,5.180,2,16.740,1,4.200,5,26.400,6,55.065,2,7.235,2,13.100,13,66.150,11,56.785,5,21.615,5,28.020,5,26.405,2,12.575,0,0.000
3058,20,131.160,15,87.225,24,156.125,23,141.340,17,231.025,13,84.865,9,75.220,16,103.655,14,90.675,17,84.385,17,115.775,23,174.195,23,155.165,17,100.495,17,133.890,31,166.105,18,168.305,25,170.740,18,114.285,3,23.990
3059,17,98.700,21,132.240,23,153.995,16,96.950,11,62.650,10,78.890,5,28.065,9,59.490,11,72.980,18,108.820,15,88.805,19,147.605,16,108.410,26,193.075,22,183.250,12,79.495,20,158.380,24,185.580,38,296.155,5,36.360
3060,8,41.380,6,35.180,5,26.800,5,25.650,6,22.370,7,53.315,0,0.000,4,21.855,7,41.490,2,10.940,6,131.010,12,75.020,6,35.460,14,107.275,5,57.675,5,32.340,3,20.070,5,34.120,2,13.200,0,0.000
3061,3,23.310,7,42.180,7,141.240,5,41.050,4,92.440,5,66.695,9,186.650,9,289.475,3,143.630,9,126.420,7,234.960,13,242.450,3,116.700,5,39.155,6,156.190,9,131.700,3,19.830,7,264.070,11,208.020,2,46.200
3062,1,90.060,0,0.000,1,50.320,0,0.000,2,42.350,2,42.125,1,63.360,1,20.100,0,0.000,1,6.615,1,98.670,2,198.940,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.270,0,0.000,0,0.000
3063,1,6.210,1,10.830,0,0.000,0,0.000,0,0.000,0,0.000,1,9.920,1,6.600,1,11.880,0,0.000,1,9.900,2,15.280,0,0.000,1,6.600,1,19.800,0,0.000,0,0.000,2,20.950,1,10.080,0,0.000
3064,112,707.430,136,869.390,143,876.450,83,515.345,51,319.610,44,252.190,57,396.470,122,867.125,141,955.900,201,"1,330.875",219,"1,456.155",202,"1,359.390",196,"1,334.300",222,"1,484.175",190,"1,307.685",131,894.480,187,"1,236.085",220,"1,603.500",287,"1,976.065",24,163.485
3065,3,16.315,1,4.560,3,9.630,5,26.610,4,17.550,8,12.040,0,0.000,2,15.320,3,17.010,2,8.900,4,49.510,4,48.020,2,7.975,2,7.550,1,3.960,2,8.100,1,2.900,1,4.440,3,37.000,0,0.000
3066,2,18.640,5,33.405,2,6.780,2,10.035,2,42.905,3,59.960,2,9.675,3,18.270,1,34.830,0,0.000,3,16.640,0,0.000,1,28.380,3,18.690,2,19.570,0,0.000,2,11.880,2,8.295,2,13.520,0,0.000
3067,0,0.000,2,40.510,4,12.520,4,34.700,4,83.990,1,29.760,2,50.800,2,6.630,1,6.000,1,3.200,3,15.940,6,44.850,3,21.315,3,18.690,4,51.520,2,17.520,1,3.300,0,0.000,4,28.230,0,0.000
3068,8,35.715,8,34.045,12,69.580,9,58.890,12,53.916,4,19.020,4,18.860,8,35.715,6,24.875,10,50.010,10,50.260,8,104.770,5,26.030,5,29.970,8,40.665,9,46.400,8,87.445,10,61.240,7,24.550,1,29.040
3070,12,59.530,9,37.855,17,121.181,18,84.885,29,177.605,22,226.675,48,282.020,31,183.005,11,74.175,9,40.205,9,53.045,17,185.522,3,14.810,10,63.400,14,77.890,7,35.245,14,76.995,14,87.690,13,75.950,6,14.140
3071,10,48.915,7,38.870,10,47.825,7,39.995,15,115.595,24,224.340,28,149.220,11,105.795,6,130.370,5,31.240,6,31.805,8,125.120,3,15.440,7,39.490,10,60.705,8,47.285,8,156.465,11,123.980,9,55.000,0,0.000
3072,7,42.560,16,99.563,18,121.285,25,170.955,39,298.250,30,169.866,34,156.420,25,232.175,12,167.605,6,32.050,18,207.375,23,191.670,8,41.850,19,211.685,12,57.130,20,188.855,13,73.790,14,118.285,16,101.055,3,20.000
3073,20,143.630,22,212.620,28,151.665,27,221.385,51,362.150,48,249.125,43,258.885,26,182.610,17,105.790,13,77.380,23,161.270,18,121.120,18,110.215,20,139.645,27,239.530,20,105.605,27,183.210,21,180.115,20,122.920,1,6.600
3074,16,205.005,20,251.480,16,146.025,8,39.990,9,175.180,7,88.440,6,65.580,10,161.050,21,296.495,15,110.780,20,342.845,11,81.215,8,42.845,12,79.745,15,232.610,16,142.955,13,172.625,24,172.710,19,216.840,2,13.200
3075,18,120.155,11,72.890,10,51.035,13,77.650,27,122.790,3,19.020,7,35.635,10,64.045,14,111.960,9,50.890,11,68.145,12,79.935,15,123.720,19,111.170,24,150.835,13,83.065,18,143.585,21,127.880,18,144.055,2,46.200
3076,26,140.680,19,109.110,32,187.515,24,224.985,19,252.255,5,30.200,10,60.640,23,137.255,26,196.370,35,353.000,28,200.320,23,284.230,34,298.180,38,238.825,34,308.265,22,139.160,29,326.950,43,363.810,51,347.865,6,39.660
3078,8,94.445,11,57.130,11,66.365,14,87.415,20,96.640,6,27.125,11,67.635,11,73.165,14,65.850,8,86.730,9,32.540,13,87.440,7,25.840,16,72.900,6,37.060,5,27.670,2,11.580,2,10.620,3,33.150,1,5.950
3079,7,217.610,12,80.915,8,48.605,5,29.225,12,74.495,2,10.500,5,32.970,8,50.155,6,29.945,7,52.285,13,79.210,10,131.030,7,27.490,9,45.950,9,64.315,9,51.830,6,35.790,9,57.155,5,32.240,2,13.260
3081,5,23.205,9,160.762,9,49.710,3,37.080,5,118.410,4,14.270,7,156.745,6,82.485,4,82.310,3,82.580,10,149.150,6,30.750,8,46.455,7,39.100,9,64.420,19,61.465,22,78.395,8,39.535,8,47.210,1,10.360
3082,29,162.595,23,139.210,38,233.190,25,157.625,15,88.225,5,22.680,10,86.330,15,88.175,21,129.380,24,141.785,28,176.510,26,160.465,15,89.660,26,164.015,33,238.600,20,130.140,10,59.445,24,151.970,26,169.180,0,0.000
3083,21,122.125,20,231.465,28,161.025,15,93.506,22,205.967,10,110.570,13,80.790,9,65.805,14,100.375,21,125.815,28,164.095,20,137.745,19,117.890,23,163.750,21,140.525,18,109.060,19,106.430,29,160.030,18,127.090,2,13.215
3084,17,97.075,27,164.040,14,76.035,11,66.650,11,57.320,13,75.715,9,55.415,9,48.320,13,81.055,14,121.840,19,113.720,18,114.675,7,40.260,17,102.250,13,70.865,8,54.400,23,213.575,14,100.080,24,158.720,2,13.260
3085,8,37.825,6,39.730,21,108.670,11,54.620,6,32.910,1,6.325,6,35.060,7,47.725,4,25.890,9,88.985,6,33.720,8,47.660,7,44.010,5,47.210,10,63.215,15,121.020,4,23.680,7,40.275,4,33.280,0,0.000
3087,3,14.570,5,26.790,4,18.977,10,51.265,3,12.865,0,0.000,3,16.700,5,27.925,4,24.740,8,58.375,5,28.620,6,35.355,6,32.380,8,44.875,9,49.715,2,12.915,9,52.580,6,33.990,5,26.940,2,9.310
3088,25,135.875,29,152.770,24,126.755,19,108.035,18,108.075,8,45.365,12,64.985,8,49.375,10,62.715,10,80.225,13,75.120,16,187.445,12,82.245,21,118.985,23,137.500,23,293.180,13,83.225,17,113.785,18,112.600,2,13.310
3089,8,38.895,15,92.830,17,106.345,7,37.025,7,34.045,2,10.400,0,0.000,12,171.440,7,43.725,6,40.555,10,58.400,8,46.500,9,50.055,12,70.390,12,74.390,11,70.280,15,95.435,8,52.730,13,97.115,1,6.600
3090,2,12.150,5,37.270,4,35.565,1,6.600,4,38.480,3,18.800,0,0.000,0,0.000,5,62.250,2,28.510,0,0.000,1,6.510,1,6.600,3,21.915,1,15.180,0,0.000,1,10.725,1,6.600,2,19.520,0,0.000
3091,1,6.325,3,26.480,1,10.450,1,25.300,2,16.200,2,12.600,0,0.000,0,0.000,2,28.690,2,21.480,5,52.710,1,6.600,2,21.780,0,0.000,2,16.020,0,0.000,4,61.650,2,17.080,2,24.200,0,0.000
3093,2,7.700,5,28.080,5,38.860,1,20.020,1,3.240,4,118.845,1,6.160,1,16.500,3,24.210,1,12.600,5,33.750,0,0.000,1,5.940,3,17.185,2,12.590,4,35.800,4,29.230,4,26.700,3,18.590,0,0.000
3094,6,31.235,5,24.580,2,12.180,2,10.915,4,25.170,4,34.330,7,33.030,4,25.000,5,22.415,2,12.475,9,46.730,8,60.930,6,34.870,8,43.410,7,37.860,4,19.895,9,45.635,5,27.360,2,10.765,1,6.600
3095,23,142.175,28,153.390,19,110.720,17,92.650,12,76.270,12,133.165,10,51.560,13,76.735,21,111.570,26,185.375,19,114.130,23,173.070,11,62.460,24,142.000,30,174.515,40,244.160,16,101.565,20,156.150,15,104.205,3,22.200
3096,0,0.000,2,12.700,2,13.110,0,0.000,1,6.600,1,6.600,2,22.500,0,0.000,1,1.240,1,6.080,1,5.985,2,12.540,0,0.000,3,17.245,3,19.800,1,6.380,2,18.480,1,6.600,2,14.670,0,0.000
3097,1,3.200,2,18.371,1,4.125,2,10.505,4,34.215,1,1.925,2,20.985,2,11.655,0,0.000,1,9.900,2,14.850,2,28.020,0,0.000,4,28.210,1,6.600,2,12.800,2,12.780,2,32.400,0,0.000,1,21.840
3099,1,6.600,5,34.070,11,73.945,1,2.970,2,10.725,1,6.600,3,17.925,0,0.000,1,6.600,3,18.435,5,35.120,3,17.750,3,30.960,5,32.730,7,39.105,4,21.440,3,21.210,3,17.400,4,31.730,0,0.000
3101,19,99.925,15,180.445,14,125.365,13,83.125,11,86.090,11,158.735,10,66.630,8,52.866,12,246.400,6,42.365,10,75.875,9,58.135,5,31.080,14,110.690,17,128.530,8,51.095,7,66.410,10,74.535,5,36.375,1,12.000
3102,0,0.000,4,29.655,5,57.850,3,28.310,2,10.940,1,6.325,3,14.265,2,9.800,1,6.600,3,19.200,4,24.690,4,22.365,2,6.900,4,26.410,5,35.520,3,19.800,5,28.005,8,62.100,1,5.280,0,0.000
3103,3,17.100,7,55.610,7,42.335,8,51.265,11,73.665,4,19.975,5,34.435,6,31.470,7,57.450,9,45.165,7,49.855,9,80.985,5,32.700,7,41.835,11,78.020,11,71.155,3,28.470,7,42.330,6,36.090,1,6.600
3104,12,73.240,6,47.245,14,85.085,20,136.400,5,36.400,2,10.840,9,59.040,11,69.780,6,39.300,15,107.195,10,74.595,12,147.145,6,43.920,8,63.115,10,92.270,12,71.415,8,62.085,4,35.100,12,79.265,1,7.260
3105,9,59.765,8,37.185,7,30.210,3,18.215,10,59.100,2,15.130,4,39.060,7,47.030,1,6.555,10,64.920,6,59.370,8,51.450,5,29.030,5,30.305,10,76.455,5,29.400,4,25.020,8,52.910,8,50.310,0,0.000
3106,13,76.930,11,63.615,8,44.725,22,147.505,6,39.985,8,139.340,10,75.665,6,36.240,13,80.920,14,94.620,10,65.070,14,117.145,20,126.465,21,137.240,12,69.435,14,116.775,19,132.305,12,91.745,13,85.060,2,13.200
3107,6,33.500,7,41.450,9,56.905,10,153.306,6,39.040,2,11.260,6,49.210,4,40.010,9,53.310,7,134.920,11,64.665,8,46.125,13,85.340,8,49.975,11,87.580,9,62.325,5,41.875,7,43.575,10,72.735,0,0.000
3108,13,79.220,19,111.430,20,125.470,14,89.655,23,123.160,9,57.480,2,11.550,13,73.245,14,99.610,13,69.005,19,125.470,19,143.035,22,132.155,24,142.990,27,167.540,9,61.135,13,77.750,13,81.835,20,123.140,2,13.200
3109,24,141.690,24,129.835,23,132.850,22,138.980,19,147.520,7,48.005,16,130.695,7,44.990,14,93.610,23,161.990,34,198.445,24,157.865,18,109.665,33,198.695,23,137.035,12,80.625,24,151.160,21,155.035,10,62.940,6,40.715
3111,5,27.045,12,84.525,7,43.280,9,64.100,5,54.015,4,26.700,5,45.705,3,19.055,9,64.715,8,52.435,11,94.043,13,96.830,8,63.650,11,69.960,14,93.315,8,55.040,9,79.115,16,142.630,13,85.570,0,0.000
3113,2,8.400,7,55.935,7,45.180,2,10.800,2,13.200,4,33.715,0,0.000,2,11.475,3,24.480,7,58.790,4,31.780,6,35.095,7,38.610,6,36.700,10,63.275,13,112.365,5,51.750,11,80.050,5,36.295,1,6.600
3114,1,9.900,1,5.225,5,31.010,6,53.375,3,14.185,0,0.000,1,6.300,5,40.385,1,6.600,3,27.140,4,29.380,0,0.000,0,0.000,5,30.680,5,40.430,3,19.850,2,14.520,2,13.200,6,45.915,0,0.000
3115,4,34.980,2,26.400,4,25.700,6,43.570,3,23.440,2,6.820,2,39.100,3,24.425,7,50.725,3,28.405,1,10.080,4,36.155,2,41.010,4,32.530,0,0.000,0,0.000,3,28.080,1,6.600,3,19.800,0,0.000
3116,16,181.775,12,72.215,12,63.380,10,65.425,12,124.030,6,37.105,7,47.915,9,52.400,2,9.915,22,134.065,5,34.215,13,70.625,6,41.870,11,70.300,6,39.690,8,47.415,7,43.600,9,61.830,10,74.855,1,6.660
3121,4,17.790,3,14.290,6,41.895,7,26.775,16,114.115,3,15.650,6,24.030,10,108.305,1,5.500,6,34.470,9,47.850,9,116.930,4,22.990,7,88.110,11,89.110,11,62.105,4,22.110,6,22.840,9,94.520,0,0.000
3122,3,14.535,12,67.980,9,48.789,3,14.520,11,59.025,7,38.535,8,53.175,5,40.625,3,23.505,3,16.485,8,62.345,3,24.615,3,14.960,7,43.260,18,113.275,7,57.400,4,24.270,4,23.200,4,117.580,0,0.000
3123,2,10.500,6,43.775,7,41.295,12,47.420,18,42.975,3,19.250,2,10.275,2,9.680,1,19.800,5,115.750,3,13.375,3,23.415,2,11.850,10,71.975,4,25.680,6,55.195,8,41.880,3,33.000,5,36.280,1,11.310
3124,7,43.215,12,60.500,13,102.010,4,20.050,10,70.495,9,75.485,12,75.735,8,47.415,11,80.630,5,80.430,13,169.955,9,59.055,4,25.675,10,168.790,14,94.110,16,95.485,14,98.715,11,90.785,7,82.940,0,0.000
3125,3,11.925,4,49.555,10,53.810,14,99.070,6,35.335,2,12.300,6,85.965,5,28.670,5,22.650,9,90.300,12,128.365,7,142.220,8,47.920,8,86.510,10,61.005,6,34.350,8,40.845,7,56.865,7,48.645,1,3.960
3126,4,22.200,4,26.190,1,24.700,2,12.585,1,5.520,0,0.000,2,12.240,2,7.595,5,55.490,0,0.000,1,11.220,3,48.710,3,21.065,2,10.280,2,8.950,2,10.860,7,48.225,1,4.620,4,25.495,0,0.000
3127,13,77.505,13,62.005,12,73.185,16,100.835,9,56.105,9,51.110,5,40.860,5,29.245,8,63.115,11,69.390,8,68.225,14,115.715,8,45.800,15,83.700,10,55.465,8,45.360,10,80.860,5,31.550,6,41.470,0,0.000
3128,15,85.270,9,75.090,13,75.185,7,127.070,14,93.685,6,37.680,3,28.050,11,68.695,7,43.125,12,107.165,11,60.320,14,172.405,5,36.905,12,66.925,10,63.980,12,94.935,14,178.395,6,48.990,6,35.560,2,12.890
3129,12,76.705,6,103.115,18,100.915,14,76.095,6,43.000,5,32.725,7,47.430,7,38.035,5,27.745,5,29.820,13,79.645,4,26.430,11,62.610,8,47.940,11,64.790,9,48.130,7,41.265,4,37.620,5,30.160,3,19.200
3130,21,100.925,19,117.837,27,240.210,25,143.875,11,83.630,13,80.964,11,84.930,15,86.725,20,116.800,20,118.365,29,190.860,23,139.490,24,138.655,27,164.010,25,215.645,19,112.415,26,173.030,21,116.545,20,125.870,3,54.510
3131,15,84.720,16,92.080,16,98.650,13,75.335,17,90.870,8,62.545,9,106.430,12,85.545,15,111.205,29,159.460,26,202.810,19,174.260,19,120.315,20,206.765,23,138.160,10,158.105,25,257.490,15,91.295,17,109.825,1,4.290
3132,12,63.835,10,51.785,19,116.280,10,72.315,11,102.360,4,48.190,7,57.960,9,59.605,8,51.535,16,139.675,12,59.480,21,118.680,16,92.495,8,48.320,13,72.155,9,48.130,9,42.015,11,81.725,15,96.870,2,16.830
3133,14,80.030,25,166.920,24,148.140,22,124.515,13,84.110,6,52.720,7,39.660,15,91.695,18,130.020,27,166.775,25,149.765,21,143.040,22,134.565,31,207.895,32,212.225,10,55.020,9,83.575,25,169.480,19,127.800,4,26.260
3134,13,72.235,31,157.005,23,147.815,21,150.220,21,134.575,11,86.815,15,369.265,19,111.025,21,225.330,15,278.055,18,109.935,21,270.495,16,119.245,18,115.190,27,164.135,14,95.370,17,100.770,24,160.650,27,174.985,1,3.600
3135,15,173.265,14,167.240,21,147.850,19,102.765,11,173.905,5,24.538,3,15.015,12,70.460,10,64.390,11,74.645,20,184.615,16,100.510,17,111.880,17,116.915,11,68.810,13,82.110,10,59.130,10,73.900,13,81.085,3,19.710
3136,47,238.615,65,320.755,46,294.590,37,228.395,16,99.593,14,122.665,11,161.975,22,105.145,60,331.070,46,301.230,29,144.880,38,333.140,36,199.330,39,212.255,43,452.640,30,271.225,35,232.930,26,175.405,28,180.280,3,16.760
3137,10,56.900,14,80.515,13,160.805,11,55.665,10,184.315,6,42.490,6,42.635,10,140.700,7,36.300,10,69.965,9,47.425,9,70.155,5,125.670,13,74.175,11,82.790,15,194.150,7,137.300,13,84.385,16,102.730,1,3.150
3138,22,124.560,22,146.250,17,100.990,22,133.910,12,75.485,5,25.120,5,24.275,13,101.010,6,38.905,21,126.325,11,73.685,24,142.855,8,56.620,16,100.055,28,171.665,22,131.610,15,87.550,17,101.460,19,127.160,2,13.200
3139,11,59.865,21,260.120,16,218.205,7,47.070,12,132.230,7,121.175,8,99.530,5,32.580,6,37.885,15,111.090,11,71.705,20,164.860,18,118.885,11,65.200,25,183.080,10,91.070,11,93.935,18,277.780,10,79.180,3,24.090
3140,7,34.905,16,95.540,14,83.615,8,45.050,12,138.530,7,63.415,6,44.910,10,64.205,3,16.980,11,95.340,16,98.360,16,117.960,15,99.160,11,72.790,16,101.715,10,63.215,13,108.150,16,134.345,12,72.120,0,0.000
3141,2,6.510,3,15.855,6,30.585,1,3.300,1,31.600,2,17.420,0,0.000,3,10.430,0,0.000,5,33.918,2,10.800,4,26.500,0,0.000,4,32.150,2,17.480,3,42.720,5,42.710,1,13.440,2,9.720,0,0.000
3142,3,7.640,6,168.115,1,5.400,8,44.065,5,55.600,1,20.400,4,54.295,4,33.490,7,55.365,2,42.840,3,27.110,6,21.395,5,123.570,2,12.975,3,23.880,3,27.895,2,14.640,1,9.900,0,0.000,0,0.000
3143,3,10.780,2,11.130,3,16.355,2,16.120,1,3.720,2,6.165,0,0.000,4,92.460,6,120.670,2,17.845,3,25.140,3,30.010,2,12.125,1,4.950,2,13.250,2,13.230,1,6.600,3,28.095,0,0.000,0,0.000
